iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes,Random #
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-klnhr,,,0.3025535876
TPAM (no official IUPAC name provided),THF,480,615,null,null,"No official IUPAC name provided for TPAM, structure can't be determined from the name",chemrxiv_10.26434_SLASH_chemrxiv-2023-9650g,,,0.0215975884
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vf8bj,,,0.00001534
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-r1pps,,,0.0150965548
SR-5,ethanol,null,708,null,null,"planar structure with intramolecular hydrogen bond, exhibits longer λabs and λem wavelengths",chemrxiv_10.26434_SLASH_chemrxiv-2024-h6dvb,,,0.0892178917
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hbcnw-v2,,,0.4518613368
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-5rgkp,,,0.2024144146
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-mlqb2,,,0.3825363284
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-kmpmr,,,0.7722733442
"(S)-2,2'-[5,5'-(9,9-Dimethyl-9H-fluorene-2,7-diyl)di(4,1-phenylene)]bis(1-(binaphtho[2,1-d]furan-2-yl)ethanone)",null,600,null,0.733,null,Chiral AIEgen with high photoluminescence quantum yield,chemrxiv_10.26434_SLASH_chemrxiv-2024-z1xfj,,,0.8800950509
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-r4hpx,,,0.3805882679
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wfl5b,,,0.0430156542
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rwn79,,,0.9095593854
CB-AN-PBI,null,null,null,null,null,"TSCT molecular system with a U-shaped configuration, used for gas sensing",chemrxiv_10.26434_SLASH_chemrxiv-2023-4q2v2,,,0.5880299425
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-srmwb,,,0.581449555
"1,3,3-Trimethylindoline-5-spiro-2'-[3H]chromene, 5-methoxy",DMSO/water (1:1),460,null,null,"22,080 (M–1 cm–1, 460 nm)","similar to SP4, but less soluble",chemrxiv_10.26434_SLASH_chemrxiv-2023-g3rlm,,,0.0123225495
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1g8tf,,,0.5376745041
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bx28l,,,0.1490916007
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-flsz3,,,0.6177542042
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-0t55g-v2,,,0.414030703
Zn(II) tetraphenylporphyrin,THF,420,null,0.72,560000 (420 nm),null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cgxp1,,,0.4836076032
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rlfnp,,,0.496704319
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-p2tcc,,,0.8178304196
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-3hbhd,,,0.6427119758
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qlj57-v2,,,0.0410527156
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7056b,,,0.1125487261
pHluo-Halo-2,Glycerol (40%),468,null,null,null,"pKa = 6.6, moderate fluorescence activation and pH sensitivity",chemrxiv_10.26434_SLASH_chemrxiv-2024-rcfzm-v2,,,0.1989105879
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-z157s,,,0.399021657
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hqk71,,,0.8707066274
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gk33d,,,0.6980186773
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4mv0v,,,0.1086113791
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-v9kpm,,,0.0984891092
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d4mth-v2,,,0.9820888506
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-xvj01,,,0.7887436813
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-jpx09,,,0.6630993742
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-q9vvc,,,0.7493672289
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-gb6qv,,,0.7314303862
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-18hp0,,,0.3438042996
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4xbg8-v2,,,0.0232148755
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1xv7z,,,0.0739376973
bathocuproine copper(I) complex with Xantphos,acetonitrile,388,null,0.034,5690 (388 nm),complex exhibits a pseudo Jahn-Teller distortion from a tetrahedral ground state geometry to a square-planar geometry in the excited state,chemrxiv_10.26434_SLASH_chemrxiv-2023-wmk67,,,0.3258660168
"2,7-dibromo-4-N-(2,6-dichlorophenyl)bis(2,4,6-trichlorophenyl)methyl (CzBr2-TTM)",cyclohexane,null,null,0.4,null,Monomer exhibits a long photoluminescence lifetime of 36 ns in toluene solution,chemrxiv_10.26434_SLASH_chemrxiv-2022-7m2br-v2,,,0.8787570014
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tzgph,,,0.4752734441
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-xkxpb,,,0.4423050862
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-q4blz,,,0.9994748072
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vnj32-v2,,,0.5698979783
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-zcww7-v2,,,0.0768924914
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bwnmw,,,0.4972016546
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-w0p5m,,,0.72253051
Rubrene,Toluene,590.04,null,0.23,null,Photoluminescence quantum yield (PLQY) measured by an integrating sphere for porous film with only rubrene,chemrxiv_10.26434_SLASH_chemrxiv-2022-mjjxb-v2,,,0.3819516068
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dw3w5,,,0.3143409188
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9trjb,,,0.1757857839
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-c0nvk,,,0.8601605287
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-xt99k,,,0.5547146855
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-d22xj-v2,,,0.5112434051
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0cdr1,,,0.2489749182
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-n0mf2,,,0.4872873211
2TT-BTD,THF,511,null,null,null,TICT plus weak AIE,chemrxiv_10.26434_SLASH_chemrxiv-2022-89q4q-v3,,,0.6547809809
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9t1d3,,,0.1074335461
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-cxsb8,,,0.3715769288
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rmhsr,,,0.5250284418
Chrom9,dichloromethane,1057,1088,0.5,107000 (1057 nm),null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dxdr9,,,0.8711776095
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gh1mw,,,0.4890079198
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-h82bh,,,0.7933577523
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4wmgw,,,0.5817776944
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-x939w,,,0.7404647677
Ir(C6)2(acac),hexyl benzoate,null,null,null,null,Used as a donor in TTA-UC,chemrxiv_10.26434_SLASH_chemrxiv-2023-jplm7,,,0.6664864679
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zwkjc,,,0.6214217388
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nhr99,,,0.6785097646
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-37p57,,,0.0589107363
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-62g35,,,0.2772207719
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v77tj,,,0.5505911992
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-jn9ph,,,0.210166164
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-zsvnt,,,0.5311125589
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7cf61-v2,,,0.5464356421
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-h4m00-v2,,,0.3747160172
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-6whwl-v2,,,0.7499358882
4Cz-NBN,toluene,511,524,0.99,null,High PLQY and narrow FWHM,chemrxiv_10.26434_SLASH_chemrxiv-2023-nkhr1,,,0.7512161091
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hd7sq,,,0.09068842
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-fnj9h,,,0.1608545342
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-495wv,,,0.7578731726
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-kjz7v,,,0.2306708945
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8pjvp,,,0.0834225402
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-31ctw,,,0.9969609967
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rgdbm-v2,,,0.109724706
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-xzt9f,,,0.4968937391
Rubrene/PdTPTAP pair,PVA film (porous),810,560,0.037,null,Upconversion quantum yield (ΦUC) measured under 810-nm-CW laser excitation for Film2 with reduced PdTPTAP concentration,chemrxiv_10.26434_SLASH_chemrxiv-2022-mjjxb-v2,,,0.5487296658
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-h5dtk-v2,,,0.1146799265
BIDIPY-3-Cl,null,506,null,null,null,"Similar to BIDIPY-1 and 2, with all chlorides bridging in a polymeric arrangement",chemrxiv_10.26434_SLASH_chemrxiv-2023-hcls5,,,0.4716529273
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-slmcb,,,0.0644274508
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-l4g1v,,,0.9937470632
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v0mrn,,,0.9914898432
