iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes,rand
PtNPs,water,null,null,null,null,Platinum nanoparticles encapsulated in APCN microcapsules,chemrxiv_10.26434_SLASH_chemrxiv-2023-kmpmr,TN,,0.4915297588
NiII(pyrimidine),"DMF, THF",300,null,null,null,Electrochemically generated organonickel complex,chemrxiv_10.26434_SLASH_chemrxiv-2023-kqtm5,FP,,0.4032517851
perylene diimide,dichloromethane,660,null,null,null,This chromophore is a perylene diimide dye with reported absorption spectra.,chemrxiv_10.26434_SLASH_chemrxiv-2023-mkwmh,FP,,0.8477861858
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-n578f-v2,TN,,0.7070399106
"2,6-D2PEAQ",DI water,450,550,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-nfg6z-v2,FP,,0.3607449688
Paracetamol,water,null,250,null,null,Pharmaceutical drug used in the study,chemrxiv_10.26434_SLASH_chemrxiv-2023-nss4q-v2,FP,,0.8232611266
Cd2S2,not provided,708.9,900.6,null,null,This compound is a direct bandgap semiconductor with potential for photocatalytic applications.,chemrxiv_10.26434_SLASH_chemrxiv-2023-pn3bw,FP,,0.0454486967
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-pp9p5,TN,,0.8546109269
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-qfb1n-v2,TN,,0.9223124259
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-tnz1x-v4,TN,,0.8164909072
propylene,none,579.08,null,null,null,solvent not specified,chemrxiv_10.26434_SLASH_chemrxiv-2023-wltcr-v2,FP,,0.164386194
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-z1fq5,TN,,0.6477115722
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-zhktd-v2,TN,,0.6195620676
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-0c329,TN,,0.0455310363
Nitroguanidine,Not provided,498.6,530,0.18,Not provided,This is the absorption and emission spectrum of nitroguanidine.,chemrxiv_10.26434_SLASH_chemrxiv-2024-0s8c9,FP,,0.7739755402
Cl-tCo,null,357,null,null,null,tCo derivative,chemrxiv_10.26434_SLASH_chemrxiv-2024-37crl-v2,TP,,0.2619437568
benzophenone,not provided,260,350,0.001,not provided,not provided,chemrxiv_10.26434_SLASH_chemrxiv-2024-7mq3w,FP,,0.2618929415
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-86w74,TN,,0.3149943529
polythiophene,DI water,500,null,null,null,conducting polymer used in organic photovoltaics and field effect transistors,chemrxiv_10.26434_SLASH_chemrxiv-2024-8vlmz,FP,,0.2867283206
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-ck8c5-v2,TN,,0.5726063373
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-d7s84,TN,,0.5954267182
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-dpbq3,FN,,0.8637092735
cddd peptide,water,270,null,0,null,The paper does not provide specific information about the peak emission wavelength and quantum yield for CDDD peptide. The absorption range is from null nanometers.,chemrxiv_10.26434_SLASH_chemrxiv-2024-fkcf8,FP,,0.6422174298
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-h2xgs,TN,,0.7096250621
biphenyl,none,340,490,0.6,null,This is a static analysis of the biphenyl molecule under no external force or solvent.,chemrxiv_10.26434_SLASH_chemrxiv-2024-h9skd,FP,,0.5290178105
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-kld98,TN,,0.6178602551
NiICdII-MFU-4l,Not provided,233,335,0.4,Not provided,This is a metal–organic framework (MOF) and not a chromophore,chemrxiv_10.26434_SLASH_chemrxiv-2024-kw01p,FP,,0.1944951057
resorcin[4]arene 4,null,null,null,null,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2024-nzc9j,TN,,0.4433909596
gamma_aminobutyric acid,MilliQ water (no GABA for control),870.45,365.53,0,molar_absorptivity=(8.1E+4)(nm),No comments provided.,chemrxiv_10.26434_SLASH_chemrxiv-2024-r9hwp-v2,FP,,0.4457441256
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-t9pdh-v3,TN,,0.5713235114
iupac_name,null,910.97,803.63,0.05,value (nm),no information found,chemrxiv_10.26434_SLASH_chemrxiv-2024-tfk5v,FP,,0.2120853893
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-v0tjs-v2,TN,,0.8049252783
null,null,780.9,null,null,null,Teflon lab on a film microfluidic chip fabrication,chemrxiv_10.26434_SLASH_chemrxiv-2024-vm2pz,TN,,0.0746671355
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-ws15r,TN,,0.4012975732
failed,failed,failed,failed,failed,failed,failed,Pubmed_10219960,TN,,0.1090697739
photolyase,E. coli,null,1012,null,"The photolyase enzyme is a key component in the understanding of DNA repair mechanisms. Sancar has spent a significant portion of his scientific career studying this enzyme, and has also searched for its equivalent in human beings.","This entry represents the discovery and study of the photolyase enzyme, which is important in terms of introducing the DNA repair mechanism as a discipline from the first years it was described.",Pubmed_10512686,TN,,0.445748531
SlGST11,water,412,440,null,null,This chromophore is a glutathione S-transferase (SlGST11) from tomato (Solanum lycopersicum). The peak absorption wavelength was reported to be at 412 nm in water.,Pubmed_10525892,TP,emission not mentioned in paper,0.0772187999
failed,failed,failed,failed,failed,failed,failed,pubmed_10716487,TN,,0.6279206737
carbazole imidazolium cation,water,927.05,983.87,0.27,null,This work investigates the use of an ionic material (IM) composed of carbazole imidazolium cation ([CI]) as a FRET-based bioimaging agent and fluorescent probe.,Pubmed_10763496,TP,information wrong,0.449937941
CsPbCl3,not specified,420.2,560.42,0.42,null,CsPbCl3 photocatalyst for organic chemical transformations,pubmed_10780689,FP,,0.1453180509
failed,failed,failed,failed,failed,failed,failed,Pubmed_10781030,TN,,0.7699471887
failed,failed,failed,failed,failed,failed,failed,Pubmed_10860145,TN,,0.1908455119
failed,failed,failed,failed,failed,failed,failed,Pubmed_10935345,TN,,0.6971318619
carbon nanofiber,null,null,null,0.61,molar_absorptivity= 880 mPa s (12.5% wt/vol),Prepared from PAN-nanopolymer,Pubmed_10995123,TP,incorrect and missed info,0.5087917079
"ladder-type quinoline-fused pyrrolo[3,2-b]pyrrole",toluene,479.1,712.8,0.86,null,no information found,pubmed_11002929,TP,some incorrect information,0.4329809693
failed,failed,failed,failed,failed,failed,failed,pubmed_11059481,FN,,0.013924462
water,247.96,911,null,0.12,null,This tyrosinase is used in a proximity labeling method for electron microscopy.,Pubmed_11212136,TP,incorrect,0.832714824
HMBR,DMSO,null,null,null,0.98 (744 nm),no information found,pubmed_11219735,TP,"correct, missed info",0.0288539643
failed,failed,failed,failed,failed,failed,failed,Pubmed_9571026,TN,,0.7840398496
Paraburkholderia fungorum,null,null,null,null,"Bacillus subtilis, Enterobacter, Serratia, Pseudomonas, Rhizobium, Burkholderia phytofirmans, Streptomyces, Nocardiopsis, Sorghum bicolor",no information found,Pubmed_9610570,FN,,0.0716544264
failed,failed,failed,failed,failed,failed,failed,Pubmed_9647494,FN,,0.5953801479
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-4kxmh,TN,,0.861907054
NapO(Ac)-L-Phe-L-Phe-OH,water,689.74,356.08,0.86,null (not provided),no information found,chemrxiv_10.26434_SLASH_chemrxiv-2022-snfj4,,,0.0164960646
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-5w94f,,,0.59750761
pyrene-1-carboxamide,null,330,380,null,null,reference compound,chemrxiv_10.26434_SLASH_chemrxiv-2023-ft59l,,,0.3431233109
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-t3wcj,,,0.486786207
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-5d4sh,,,0.2823819257
poly(phenylacetylene),not provided,null,null,null,This is a generic entry as no specific chromophore was identified with absorption or emission spectra.,,pubmed_10060220,,,0.3220218488
failed,failed,failed,failed,failed,failed,failed,pubmed_11021663,,,0.3449041592
"PBS (10 mM, pH 7.4)","PBS (10 mM, pH 7.4)",null,null,null,null,physiological medium,pubmed_11123821,,,0.8628790714
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-pfh2g,,,0.0464574061
failed,failed,failed,failed,failed,failed,failed,pubmed_9818789,,,0.5474564384
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-x25jj,,,0.9606747907
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-mm6pw,,,0.7065499499
"phytochrome,C1CC(=O)N(C2=CC=CC=C2)C(=O)NC(=O)C1=CC=CC=C1,InChI=1S/C16H14N2O4/c1-7-9-10-13(15)14(16)12-8-6-11-12/h1-10,12-13H,1-7H2,8H3,9H4,11H5,14H6,15H7,16H8",6-7,null,null,null,null,"maximum quantum yield of PSII remained stable in the studied plants on WFL and BL, and a decrease in this indicator was observed under RL; the largest decrease was in the triple mutant (0.794)",pubmed_9658692,,,0.7098548873
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-zn2th,,,0.2222040414
styrene,chloroform,280,340,null,null,monomer,chemrxiv_10.26434_SLASH_chemrxiv-2024-wpmm3,,,0.2254766561
azulene,not provided,370,480,0.0001,not provided,"This compound is a prototypical case of a Kasha's rule violation, exhibiting anomalous fluorescence from its second singlet excited state (S2) instead of the more generally observed Kasha-like fluorescence from the lowest singlet excited state (S1).",chemrxiv_10.26434_SLASH_chemrxiv-2022-4ngk1,,,0.0395139651
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-45wll-v2,,,0.9985956587
indole,none,200,300,null,null,This is an example chromophore and does not have experimental data.,chemrxiv_10.26434_SLASH_chemrxiv-2024-5h2nd-v3,,,0.5755500593
iron oxide nanoparticles doped with Ga,null,806.9,935.91,0.97,null (not provided),r1 = 17.4 mM^-1s^-1 at 1 T,chemrxiv_10.26434_SLASH_chemrxiv-2023-m0326-v2,,,0.9345187147
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-zmtk4,,,0.5713908391
Fmoc_Glutamic_Acid_(R),Water,null,null,0.8,(X=I) 20 (Fmoc_Glutamic_Acid_(R)) R=unknown,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2024-fqx3t,,,0.4077945291
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-3n41t,,,0.8211554855
N-pentadecylpyrrolidin-2-one,DCM,300,null,null,null,Electrochemical decarboxylative alkylation of pyrazole,chemrxiv_10.26434_SLASH_chemrxiv-2024-996qd,,,0.8454536006
failed,failed,failed,failed,failed,failed,failed,pubmed_11203657,,,0.2451164017
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-cktrh,,,0.1550567937
failed,failed,failed,failed,failed,failed,failed,pubmed_10808969,,,0.851948611
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-p4rn7,,,0.938283918
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-bqd0k,,,0.040967745
Artemisia annua,DMSO,820.13,613.9,0.53,47000 (350 nm),"This chromophore is Artemisinin, with the provided InChI identifier. The peak absorption wavelength is 820.13 nm and the peak emission wavelength is 613.9 nm. The quantum yield is 0.53. The molar absorptivity is given at 47000 L/(mol·cm) with a wavelength of 350 nm.",pubmed_9889874,,,0.4269303007
failed,failed,failed,failed,failed,failed,failed,pubmed_9981598,,,0.0445635186
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-51bqx,,,0.9283749138
PhO-:ImNH2,n/a,595,655,0.4,null,This is a monomethine dye derived from the phenoxy and imidazoloxy nuclei.,arxiv_1008.4982v2,,,0.9227134492
"1-isobutyl-3,5-dimethoxybenzene",HFIP,null,null,null,null,"This is the IUPAC name, SMILES notation, and InChI of an arene that was used in the paper but no spectroscopic data was provided.",chemrxiv_10.26434_SLASH_chemrxiv-2024-wmmr7,,,0.036407267
H2O,null,null,967,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-9rx0m,,,0.7809997716
N-(4-methylphenyl)benzamide,DMSO,290,457.81,0.36,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-q5zgx-v4,,,0.460635602
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-0h4zp,,,0.1078278867
2-imidazolone,AcOH/TFE (v/v = 1/1),300,null,null,null,Catalytic C(heteroaryl)–H activation of N-aryl-2-imidazolones,chemrxiv_10.26434_SLASH_chemrxiv-2023-nlvw0,,,0.2775300224
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-m0r2f,,,0.3726605128
AgCl_treated_InP MSCs,null,389.1,604.12,0.45,no information found,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2023-khl9g,,,0.1611542834
RM734_analogue_7,null,null,null,null,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2023-2zv1h,,,0.5561676798
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-m9259,,,0.663563872
failed,failed,failed,failed,failed,failed,failed,pubmed_10797717,,,0.6100991892
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-f9p7h,,,0.9566215244
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-rqsqc,,,0.2162673422
failed,failed,failed,failed,failed,failed,failed,pubmed_9599464,,,0.4941017528
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-6xj3m,,,0.9735868245
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-w2ps0,,,0.9058207697
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-zc01b,,,0.0602812218
N-tert-butyl-N-methoxybenzamide,toluene,989.68,null,null,null,This information is not provided in the paper.,chemrxiv_10.26434_SLASH_chemrxiv-2022-3tdb7,,,0.2916467555
PbI4,,330.97,505.48,null,2.75 (nm),,chemrxiv_10.26434_SLASH_chemrxiv-2022-t04v9,,,0.145367231
2-chloro-3-methoxy-pyridine,THF,421.73,449.65,0.93,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lrdz4-v2,,,0.4876548962
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-p0zfm-v3,,,0.5779116645
Fe(III) complexes,null,null,null,null,null,"These are Fe(III) complexes, but no specific chromophore is provided with absorption or emission spectra.",chemrxiv_10.26434_SLASH_chemrxiv-2023-4g7qv,,,0.1469535991
pyridine,null,264,264,0,,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-z8ltp,,,0.4284275332
MoO(=CHtBu)(OSiMe3),null,980,null,null,null,"This chromophore is a molybdenum alkylidyne complex used in alkyne metathesis catalysis. The IUPAC name and SMILES notation are provided, but no InChI key was found.",chemrxiv_10.26434_SLASH_chemrxiv-2022-44f05,,,0.7591157181
Pyropia yezoensis,water,565,570,null,"The primary light harvesting pigment in red seaweed Pyropia yezoensis consists of a series of bilin chromophores bound to hexamer (αβ). The purification process involves fractionation, ultrafiltration, ion exchange, and size-exclusion chromatography.",null,pubmed_11122725,,,0.3343615672
TiOF2,none,304.56,966.83,0.42,null,experimental data not provided,chemrxiv_10.26434_SLASH_chemrxiv-2024-8dfgq-v2,,,0.981486721
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-69z8f,,,0.6542398073
butadiene,none,579.08,null,null,null,solvent not specified,chemrxiv_10.26434_SLASH_chemrxiv-2023-wltcr-v2,,,0.0920638433
"1-Phenothiazine-3,4-dicarbonyl-9,9'-(spirobi[fluorene]-2,7-diyl)bis-, 5-cyano-",toluene,296,515,null,null,TADF emission,chemrxiv_10.26434_SLASH_chemrxiv-2024-sqwhs,,,0.4232918057
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-3pcgp,,,0.3890459286
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-07q8z-v4,,,0.0332711833
TiO2,water,275.4,null,null,null,Ce and europium doped TiO2,pubmed_10734741,,,0.7663998145
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-fk05l,,,0.4359231822
failed,failed,failed,failed,failed,failed,failed,pubmed_11171763,,,0.4511213908
failed,failed,failed,failed,failed,failed,failed,pubmed_10410741,,,0.7137635441
Pd,aqueous electrolyte,null,null,null,null,Electrochemical CO2 reduction catalyst,chemrxiv_10.26434_SLASH_chemrxiv-2022-9rx0m,,,0.5988826372
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-dzrp1,,,0.7935915901
Phenanthrene-based NIR emitter,not provided,450,700,null,not provided,not provided,pubmed_9823557,,,0.322466105
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-w8h26,,,0.0930049336
rhodopsins,water,830,null,null,Optogenetic actuator used for depolarization of cardiomyocytes.,null,pubmed_10730638,,,0.4007627512
Co-Ru nanoalloys,octan-1-ol,null,null,null,null,The paper does not provide any information about the absorption or emission spectra of the Co-Ru nanoalloys.,chemrxiv_10.26434_SLASH_chemrxiv-2022-lwkmf,,,0.5979355569
4-methoxybenzyl alcohol,AcOH,null,270,null,null,substrate in aerobic oxidation,chemrxiv_10.26434_SLASH_chemrxiv-2023-g0j05,,,0.5506424776
solvent,This is the solvent used for CHEX-seq experiments,null,null,null,null,,pubmed_10645931,,,0.8037739731
Betulin,DCM/MeCN (5:1),280,null,null,null,A natural product with potential pharmacological activities,chemrxiv_10.26434_SLASH_chemrxiv-2023-9sq84,,,0.200366315
pyrazine,none,290.71,440.72,0.59,not provided,"This is the IUPAC name, SMILES notation, and InChI identifier for pyrazine. The solvent is not specified in the paper. The peak absorption wavelength is 290.71 nm with an absorption range of 6-11 nm. The peak emission wavelength is 440.72 nm with an emission range of 10-17 nm. The quantum yield is 0.59, but the molar absorptivity is not provided in the paper.",chemrxiv_10.26434_SLASH_chemrxiv-2022-vb60d,,,0.3668310593
furfural disulfide,water,309,null,null,null,This chromophore is not used for emission spectroscopy,chemrxiv_10.26434_SLASH_chemrxiv-2023-b9mtd,,,0.0125167894
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-8jrzc,,,0.8807770081
failed,failed,failed,failed,failed,failed,failed,pubmed_10191859,,,0.5092897469
iupac_name,DMSO-d6,204.1,382.44,0.63,extinction coefficient (ε) = 582 M^-1 cm^-1 at λ= 382 nm,,chemrxiv_10.26434_SLASH_chemrxiv-2023-lczzd,,,0.2511176779
2-arylazo-biphenyl-4-carboxamide,"1,4 dioxane",475.2,569.55,0.56,[CC1=C(N=C1)C1=CC=CC=C1] (475 nm),"The reaction of 3-oxo-2-arylhydrazonopropanals with acetoacetanilide in an equimolar ratio, under DBU/1,4-dioxane/microwave irradiation reaction conditions, resulted in chemoselective formation of 4-arylazo-5-hydroxy-benzamide derivatives. The structures of the obtained biphenyl-4-carboxamides were characterized by several spectroscopic techniques including IR.",pubmed_10442861,,,0.4765125222
