iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes
porphyrin 5,dichloromethane,425.5,598.6,0.085,4.2E4 (425 nm),null,pubmed_11575637,“,All values accurate except QY & MA
porphyrin 5a,dichloromethane,423.5,605.6,0.046,4.2E4 (424 nm),null,pubmed_11575637,“,All values accurate except QY & MA
porphyrin 6a,dichloromethane,425.5,598.6,0.74,4.2E4 (425 nm),null,pubmed_11575637,“,All values accurate except QY & MA
1[OTf],toluene,353,399,0.595,null,null,pubmed_11575608,TP,"All good except QY's not with correct compounds, notably grabs computational instead of experimental values which are both present"
2[OTf],toluene,363,435,0.475,null,null,pubmed_11575608,“,"All good except QY's not with correct compounds, notably grabs computational instead of experimental values which are both present"
3[OTf],toluene,379,456,0.173,null,null,pubmed_11575608,“,"All good except QY's not with correct compounds, notably grabs computational instead of experimental values which are both present"
4[OTf],toluene,330,403,0.164,null,null,pubmed_11575608,“,"All good except QY's not with correct compounds, notably grabs computational instead of experimental values which are both present"
5[OTf],toluene,359,428,0.595,null,null,pubmed_11575608,“,"All good except QY's not with correct compounds, notably grabs computational instead of experimental values which are both present"
6[OTf],toluene,348,420,0.916,null,null,pubmed_11575608,“,"All good except QY's not with correct compounds, notably grabs computational instead of experimental values which are both present"
7[OTf],toluene,380,439,0.407,null,null,pubmed_11575608,“,"All good except QY's not with correct compounds, notably grabs computational instead of experimental values which are both present"
1-H,MeOH,786,809,0.029,155400 (786 nm),Determined in MeOH,pubmed_11575602,TP,
1-Med,PBS,806,843,0.02,42000 (806 nm),"Determined in PBS (10 mM, pH = 7.4)",pubmed_11575602,“,
1-Ph,MeOH,845,878,0.02,71430 (845 nm),Determined in MeOH,pubmed_11575602,“,
1-Ar,null,846,null,null,830 (846 nm),null,pubmed_11575602,“,wrong MA
null,null,null,null,null,null,null,Pubmed_11574814,TN,
failed,failed,failed,failed,failed,failed,failed,Pubmed_11574081,FN,
null,null,null,null,null,null,null,Pubmed_11574019,TN,
null,null,null,null,null,null,null,Pubmed_11571211,TN,
null,null,null,null,null,null,null,Pubmed_11566259,TN,
null,null,null,null,null,null,null,Pubmed_11564724,TN,
null,null,null,null,null,null,null,Pubmed_11563456,TN,
null,null,null,null,null,null,null,Pubmed_11563202,TN,
null,null,null,null,null,null,null,Pubmed_11562817,TN,
null,null,null,null,null,null,null,pubmed_11562003,TN,
null,null,null,null,null,null,null,Pubmed_11561307,TN,
null,null,null,null,null,null,null,Pubmed_11561045,TN,
null,null,null,null,null,null,null,Pubmed_11559061,TN,
null,null,null,null,null,null,null,Pubmed_11558544,TN,
null,null,null,null,null,null,null,Pubmed_11557920,TN,
null,null,null,null,null,null,null,Pubmed_11556312,TN,
null,null,null,null,null,null,null,Pubmed_11555671,FN,
null,null,null,null,null,null,null,pubmed_11555655,TN,
null,null,null,null,null,null,null,pubmed_11551916,TN,
null,null,null,null,null,null,null,pubmed_11551189,TN,
null,null,null,null,null,null,null,Pubmed_11549923,TN,
null,null,null,null,null,null,null,Pubmed_11535004,TN,
null,null,null,null,null,null,null,Pubmed_11548044,TN,
"4,4-difluoro-4-bora-3a,4a-diaza-s-indacene",null,517,529.7,0.1499,null,null,Pubmed_11547857,TP,"missed solvent, MA, & several compounds"
"4-cyano-4,4-difluoro-4-bora-3a,4a-diaza-s-indacene",null,521,536.4,0.0837,null,null,pubmed_11547857,“,"missed solvent, MA, & several compounds"
null,null,null,null,null,null,null,pubmed_11547852,TN,
null,null,null,null,null,null,null,pubmed_11547820,TN,
null,null,null,null,null,null,null,pubmed_11547791,TN,
null,null,null,null,null,null,null,pubmed_11547504,TN,
null,null,null,null,null,null,null,pubmed_11547196,TN,
null,null,null,null,null,null,null,pubmed_11546782,TN,
null,null,null,null,null,null,null,pubmed_11546702,TN,
lanthanum(III) fluoride,null,252,null,0.6,null,"Size=12 nm, doped with Ce3+, Tb=60",Pubmed_11546352,TP,"Misleading 'IUPAC” names, missed more results, otherwise correct"
calcium molybdate,null,null,null,0.52,null,"Size=50–70 nm, doped with MoO4²⁻, Tb=52",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
yttrium oxyselenide,null,null,null,0.57,null,"Size=22.35 ± 1.79 nm, doped with Tb=57",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
lanthanum molybdate,null,null,null,0.92,null,Doped with Tb + Eu,pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
calcium niobate,null,null,null,0.71,null,"Size=65 nm, doped with Dy=71.2",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
sodium yttrium fluoride,null,null,null,0.9,null,"Size=44 nm, doped with Ce3+=250, Tb=90",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
lanthanum niobate,null,null,null,0.43,null,Doped with Tb=43.2,pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
lanthanum phosphate,null,null,null,0.73,null,"Doped with Ce3+=266, Tb=73",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
cerium phosphate,null,null,null,0.7,null,"Size=48 nm, doped with Ce3+=277, Tb=70",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
lanthanum fluoride,null,null,null,0.54,null,"Size=39 nm, doped with Ce3+=282, Tb + Ce=54",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
strontium phosphate,null,null,null,0.96,null,"Size=30.99 nm, doped with PO4³⁻, Tb=96",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
potassium phosphate,null,null,null,0.13,null,"Size=200–500 nm, doped with PO4³⁻, Tb=13",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
yttrium vanadate,null,null,null,0.14,null,"Size=4 × 2 × 1 mm, doped with VO4³⁻, Tb=14.1",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
gadolinium oxide,null,null,null,0.61,null,"Size=38 nm, doped with Gd3+=275, Dy=61.2",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
potassium strontium vanadate,null,null,null,0.39,null,"Size=36.33 nm, doped with VO4³⁻, Dy=39",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
sodium gadolinium fluoride,null,null,null,0.89,null,"Size=100–400 nm, doped with Gd3+=273, Dy=88.86",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
sodium gadolinium tungstate,null,null,null,0.63,null,"Size=20 × 40 mm², doped with Gd3+=42, Dy=63",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
barium tungstate,null,null,null,0.67,null,"Size=46–14 µm, doped with WO4²⁻, Dy=67",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
gadolinium oxyfluoride,null,null,null,0.89,null,"Doped with Eu3+=255, Gd3+",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
strontium fluoride,null,null,null,0.8,null,"Size=55–6 nm, doped with Ce3+=310, Tb=79.7",pubmed_11546352,“,"Misleading 'IUPAC” names, missed more results, otherwise correct"
null,null,null,null,null,null,null,Pubmed_11544725,TN,
null,null,null,null,null,null,null,Pubmed_11541845,TN,
null,null,null,null,null,null,null,pubmed_11541523,TN,
null,null,null,null,null,null,null,Pubmed_11540641,TN,
null,null,null,null,null,null,null,Pubmed_11539334,TN,
null,null,null,null,null,null,null,pubmed_11537355,TN,
null,null,null,null,null,null,null,Pubmed_11537135,TN,
null,null,null,null,null,null,null,Pubmed_11537011,TN,
null,null,null,null,null,null,null,Pubmed_11536310,TN,
null,null,null,null,null,null,null,Pubmed_11536097,TN,
null,null,null,null,null,null,null,pubmed_11533990,TN,
null,null,null,null,null,null,null,Pubmed_11532775,TN,
null,null,null,null,null,null,null,Pubmed_11532646,TN,
null,null,null,null,null,null,null,Pubmed_11532467,TN,
null,null,null,null,null,null,null,Pubmed_11532293,TN,
null,null,null,null,null,null,null,Pubmed_11530890,TN,
null,null,null,null,null,null,null,Pubmed_11530492,TN,
null,null,null,null,null,null,null,Pubmed_11529560,TN,
null,null,null,null,null,null,null,Pubmed_11528912,TN,
null,null,null,null,null,null,null,Pubmed_11528372,TN,
null,null,null,null,null,null,null,arxiv_1008.4982v2,TN,
"methyl (E)-3-methyl-4-(2-(3’-(methylsulfonamido)-[1,1’-biphenyl]-4-yl)vinyl)benzoate",acetonitrile,336,null,null,null,New chromophore synthesized with absorption maximum at 336 nm,arxiv_2304.05376v5,TP,Hilarious
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jb16t,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d2zh7-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-smxcc-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5x2pv,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-q0m2n,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1fqq5,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-bb2fq,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wnzpf,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9f26t,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jqgzs,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3x784,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-gftq7,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jzqcz,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-w7c8m,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hl427,TN,seems like something we would do!
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tt5bm,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1hl8v-v2,TN,
Blue Evans,Milli-Q water,608,null,null,47243 (608 nm),Molar absorptivity at absorption maximum,chemrxiv_10.26434_SLASH_chemrxiv-2024-bxgpz,TP,"All correct, but names leave something to be desired"
Tropaeolin Orange III,Milli-Q water,483,null,null,17492 (483 nm),Molar absorptivity at absorption maximum,chemrxiv_10.26434_SLASH_chemrxiv-2024-bxgpz,“,
Procion Brilliant Red M-2B,Milli-Q water,510,null,null,11259 (510 nm),Molar absorptivity at absorption maximum,chemrxiv_10.26434_SLASH_chemrxiv-2024-bxgpz,“,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-88rh7,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-gw8l0,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3nxtx,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-slmcb,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-x8shp,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3trkk,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-m4nlc,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-69kfr,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jls7x,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pn13j,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-kwx47,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-x89jw,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lpm8c,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-fk624,TN,
"9,10-diphenylanthracene",toluene,385,409,null,null,"Upconversion emission onset at 409 nm, energy shift of 1.15 eV",chemrxiv_10.26434_SLASH_chemrxiv-2024-2gf9b,TP,
"9,10-bis(phenylethynyl)anthracene",toluene,null,481,null,null,"Upconversion emission onset at 481 nm, energy shift of 0.70 eV",chemrxiv_10.26434_SLASH_chemrxiv-2024-2gf9b,“,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-66xzb,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n3fc1,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4jms8,TN,
(Z)-N-(2-bromo-2-phenylvinyl)acetamide,null,null,482,null,null,Lifetime ~10 ns,chemrxiv_10.26434_SLASH_chemrxiv-2024-t6nqn,TP,Even got lifetime in the notes!
(Z)-N-(2-bromo-2-(4-butylphenyl)vinyl)acetamide,null,null,518,null,null,Lifetime ~11 ns,chemrxiv_10.26434_SLASH_chemrxiv-2024-t6nqn,“,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5vb65,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cq8cs,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4r9m0,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qjx32,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r2nmb,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mnf3b,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-gtf8v,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-16x50,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jr89d,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-g4q8t-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vx797-v3,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zxm1t-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-6t62h-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vh5mm-v3,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-w5dbg-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9zp2l,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d8ssv,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cmbzb,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-prw8k,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0f2t4,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vx59v,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1t4vt,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-xjg2k,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-22gt7-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-bxr73-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dtq6q,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6v2jn,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-ph6m0,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1dr10,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mvv2b,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d35f7,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v4j8t,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-w7w7l,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-44kkd,TN,
"3,6-bis(1,3,6,8-tetramethylcarbazol-9-yl)thioxanthone",toluene,null,485,0.82,null,PL quantum yield reduced to 63% when measured in air due to triplet state quenching by O2.,chemrxiv_10.26434_SLASH_chemrxiv-2024-vjl0k,TP,"missed other results, incorrect iupac name"
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9454q,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-c9np0,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-db406,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-w7j26,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6j5md,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-gsk41,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6pgl4,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-g1x43,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n3zvr,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tlgvb,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qn5pz,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dd895,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pzxww,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-x1nfd,TN,
null,null,null,null,null,null,null,SO_10.1038%2Fs41589-024-01554-z,TN,
null,null,null,null,null,null,null,SO_10.3389%2Ffmicb.2021.652328,TN,
null,null,null,null,null,null,null,SO_10.1371%2Fjournal.pbio.1000358,TN,
null,null,null,null,null,null,null,SO_10.1039%2Fd0ra08508a,FN,
null,null,null,null,null,null,null,SO_10.1371%2Fjournal.pgen.1002833,TN,
null,null,null,null,null,null,null,SO_10.1039%2Fd3ra08246f,FN,
null,null,null,null,null,null,null,SO_10.1016%2Fj.jlr.2022.100215,TN,
null,null,null,null,null,null,null,SO_10.17912%2Fmicropub.biology.000521,TN,
null,null,null,null,null,null,null,SO_10.3389%2Ffchem.2021.721272,FN,
11-cis-3-hydroxyretinal,null,485,null,null,null,Absorption maximum of Rh1 at ∼485 nm,SO_10.3109%2F01677063.2011.642430,TP,Inferred!!!!
null,null,null,null,null,null,null,SO_10.1186%2Fs12934-016-0426-6,TN,
