iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-gsk41,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6pgl4,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-g1x43,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n3zvr,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tlgvb,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1hl8v,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qn5pz,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dd895,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pzxww,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-x1nfd,TN,cool paper
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0glrn,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qnl9v,TN,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-vd53f,TN,super cool
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7mf2j,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-c9crj,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zxm1t,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6vqqc-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n35nl-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pg6bx-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-l9f24-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-q9j9k-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6q4xq,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d95l2,TN,
null,null,null,null,null,null,null,Pubmed_11575644,TN,
"10-Ethyl-7-(4-(10,15,20-triphenylporphyrin-5-yl)phenyl)-10H-phenothiazine",dichloromethane,420,649,0.01,null,Porphyrin derivative; free base,Pubmed_11575637,TP,Beautiful.
"5-(4-(10-Ethyl-7-formyl-10H-phenothiazin-3-yl)phenyl)-10,15,20-triphenylporphyrin indium(III) chloride",dichloromethane,425,654,0.3,null,Indium(III) chloride complex of porphyrin derivative,pubmed_11575637,“,
"5-(7-((Ferrocene-1-yl)vinyl)-10-methyl-10H-phenothiazine-3-yl)-10,15,20-triphenylporphyrin",dichloromethane,423,652,0.03,null,Porphyrin derivative with ferrocene substituent,pubmed_11575637,“,
"5-(7-((Ferrocene-1-yl)vinyl)-10-methyl-10H-phenothiazine-3-yl)-10,15,20-triphenylporphyrin indium(III) chloride",dichloromethane,424,654,0.29,null,Indium(III) chloride complex of compound 4,pubmed_11575637,“,
"5-(7-((Ferrocene-1-yl)vinyl)-10-methyl-10H-phenothiazine-3-yl)-10,15,20-triphenylporphyrin zinc(II)",dichloromethane,420,649,0.1,null,Zinc(II) complex of compound 4,pubmed_11575637,“,
"5-(10-Methyl-10H-phenothiazin-3-yl)-10,15,20-triphenylporphyrin",dichloromethane,420,656,0.03,null,Porphyrin derivative; free base,pubmed_11575637,“,
"5-(10-Methyl-10H-phenothiazin-3-yl)-10,15,20-triphenylporphyrin indium(III) chloride",dichloromethane,423,655,0.28,null,Indium(III) chloride complex of porphyrin derivative,pubmed_11575637,“,
"5,10,15,20-Tetraphenylporphyrin",dichloromethane,425,651,0.22,null,Standard tetraphenylporphyrin (TPP),pubmed_11575637,“,
"5,10,15,20-Tetraphenylporphyrin indium(III) chloride",dichloromethane,425,651,0.22,null,Indium(III) complex of TPP,pubmed_11575637,“,
failed,failed,failed,failed,failed,failed,failed,pubmed_11575608,FN,
failed,failed,failed,failed,failed,failed,failed,pubmed_11575602,FN,
null,null,null,null,null,null,null,pubmed_11574814,TN,
perylene,distilled water,null,470,0.016,null,Upconversion emission in HA-PCL/UC NPs excited at 635 nm,Pubmed_11574081,TP,
Palladium(II) tetraphenyltetrabenzoporphyrin,distilled water,null,null,null,null,"Photosensitizer in HA-PCL/UC NPs, excitation at 635 nm",pubmed_11574081,“,
null,null,null,null,null,null,null,Pubmed_11574019,TN,
null,null,null,null,null,null,null,Pubmed_11556312,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-x89jw,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lpm8c,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-fk624,TN,
"9,10-diphenylanthracene",toluene,385,409,1,null,Emission corresponds to DPA fluorescence following upconversion,chemrxiv_10.26434_SLASH_chemrxiv-2024-2gf9b,TP,QY = 1?
"9,10-bis(phenylethynyl)anthracene",toluene,null,481,1,null,Emission corresponds to BPEA fluorescence following upconversion,chemrxiv_10.26434_SLASH_chemrxiv-2024-2gf9b,“,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-66xzb,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n3fc1,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4jms8,TN,
"Acetamide, N-[(1Z)-2-bromo-1-phenylethenyl]",acetonitrile,null,482,null,null,Lifetime τ ~ 9.4 ns,chemrxiv_10.26434_SLASH_chemrxiv-2024-t6nqn,TP,"wonderful, got extra result over mini"
"Acetamide, N-[(1Z)-2-bromo-1-(4-propylphenyl)ethenyl]",acetonitrile,null,518,null,null,Lifetime τ ~ 9.4 ns,chemrxiv_10.26434_SLASH_chemrxiv-2024-t6nqn,“,
"Acetamide, N-[(1Z)-2-bromo-1-(4-butylphenyl)ethenyl]",acetonitrile,null,518,null,null,Lifetime τ ~ 11.5 ns,chemrxiv_10.26434_SLASH_chemrxiv-2024-t6nqn,“,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5vb65,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cq8cs,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4r9m0,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qjx32,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r2nmb,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mnf3b,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-gtf8v,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-16x50,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jr89d,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-g4q8t-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vx797-v3,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zxm1t-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-6t62h-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vh5mm-v3,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-w5dbg-v2,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d8ssv,TN,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cmbzb,TN,
null,null,null,null,null,null,null,SO_10.3389%2Ffmicb.2021.652328,TN,
null,null,null,null,null,null,null,SO_10.1371%2Fjournal.pbio.1000358,TN,
null,null,null,null,null,null,null,SO_10.1039%2Fd0ra08508a,FN,
null,null,null,null,null,null,null,SO_10.1371%2Fjournal.pgen.1002833,TN,
null,null,null,null,null,null,null,SO_10.1039%2Fd3ra08246f,FN,
null,null,null,null,null,null,null,SO_10.1016%2Fj.jlr.2022.100215,TN,
null,null,null,null,null,null,null,SO_10.17912%2Fmicropub.biology.000521,TN,
null,null,null,null,null,null,null,SO_10.3389%2Ffchem.2021.721272,FN,
11-cis-(3S)-3-hydroxyretinal,null,null,null,null,null,Chromophore utilized in Drosophila rhodopsin Rh1,SO_10.3109%2F01677063.2011.642430,TP,"missed absorption, mini got it!"
null,null,null,null,null,null,null,SO_10.1186%2Fs12934-016-0426-6,TN,
