iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper
null,null,null,null,null,null,null,pubmed_11854427
null,null,null,null,null,null,null,pubmed_11854323
null,null,null,null,null,null,null,pubmed_11854104
null,null,null,null,null,null,null,pubmed_11853339
NDI-ceNDI Dyad (DIPAY),water,null,null,0.004,null,Fluorescence quenched in water; increased fluorescence upon DNA binding.,pubmed_11852925
NDI-ceNDI Dyad (DIPAC),water,null,null,0.001,null,Fluorescence quenched in water; increased fluorescence upon DNA binding.,pubmed_11852925
null,null,null,null,null,null,null,pubmed_11852826
failed,failed,failed,failed,failed,failed,failed,pubmed_11852775
null,null,null,null,null,null,null,pubmed_11852466
null,null,null,null,null,null,null,pubmed_11852095
null,null,null,null,null,null,null,pubmed_11851662
null,null,null,null,null,null,null,pubmed_11851272
failed,failed,failed,failed,failed,failed,failed,pubmed_11849341
null,null,null,null,null,null,null,pubmed_11849026
1a,MeCN,630.0,795.0,3e-05,3620 (630 nm),"N, C, N-pincer bismuthinidene with highly reducing triplet state and low dissipative losses during intersystem crossing.",pubmed_11848931
null,null,null,null,null,null,null,pubmed_11848911
null,null,null,null,null,null,null,pubmed_11848907
null,null,null,null,null,null,null,pubmed_11848249
null,null,null,null,null,null,null,pubmed_11848123
null,null,null,null,null,null,null,pubmed_11848117
null,null,null,null,null,null,null,pubmed_11847603
null,null,null,null,null,null,null,pubmed_11844732
null,null,null,null,null,null,null,pubmed_11844719
null,null,null,null,null,null,null,pubmed_11844292
null,null,null,null,null,null,null,pubmed_11843608
failed,failed,failed,failed,failed,failed,failed,pubmed_11843515
null,null,null,null,null,null,null,pubmed_11843332
Labile Copper Probe (LCP-PA),null,680.0,767.0,null,"2.7×10⁴ (680 nm), 3.7×10⁴ (767 nm)",Photoacoustic imaging agent with NPy4 trigger for Cu(I) detection,pubmed_11842552
Glutathione-responsive Probe (PACDx),null,null,null,null,null,GSH-responsive probe for photoacoustic imaging,pubmed_11842552
null,null,null,null,null,null,null,pubmed_11841661
null,null,null,null,null,null,null,pubmed_11840746
null,null,null,null,null,null,null,pubmed_11840663
null,null,null,null,null,null,null,pubmed_11840139
hemiphosphoindigo derivative 1,toluene-d8,395.0,null,0.42,"341; 3800 (Z isomer), 344; 5500 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 2,toluene-d8,395.0,null,0.47,"330; 5300 (Z isomer), 338; 8500 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 3,toluene-d8,395.0,null,0.24,"391; 29600 (Z isomer), 377; 11800 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 4,toluene-d8,395.0,null,0.21,"358; 22400 (Z isomer), 346; 12500 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 5,toluene-d8,395.0,null,0.37,"357; 5500 (Z isomer), 358; 8700 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 6,toluene-d8,430.0,null,0.45,"339; 10800 (Z isomer), 334; 8100 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 7,toluene-d8,430.0,null,0.03,"449; 9100 (Z isomer), 481; 16000 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 8,toluene-d8,470.0,null,0.21,"485; 62500 (Z isomer), 495; 53100 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 9,toluene-d8,450.0,null,0.26,"456; 53600 (Z isomer), 464; 46900 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 10,toluene-d8,365.0,null,0.29,"372; 25800 (Z isomer), 373; 26400 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 11,toluene-d8,340.0,null,0.3,"332; 30500 (Z isomer), 334; 22300 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 12,toluene-d8,340.0,null,0.3,"328; 27600 (Z isomer), 328; 24900 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 13,toluene-d8,340.0,null,0.51,"322; 21000 (Z isomer), 328; 18100 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 14,toluene-d8,365.0,null,0.59,"332; 18000 (Z isomer), 327; 15500 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 15,toluene-d8,365.0,null,0.29,"383; 24400 (Z isomer), 414; 21700 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 16,toluene-d8,395.0,null,0.12,"430; 46300 (Z isomer), 450; 38100 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 17,toluene-d8,340.0,null,0.42,"372; 30100 (Z isomer), 402; 22000 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
hemiphosphoindigo derivative 18,toluene-d8,430.0,null,0.63,"424; 23700 (Z isomer), 430; 23400 (E isomer)","high thermal stability, excellent fatigue resistance",pubmed_11840110
gallic acid,ethanol,null,null,null,null,phenolic compound contributing to antioxidant activity,pubmed_11838142
catechin,ethanol,null,null,null,null,phenolic compound contributing to antioxidant activity,pubmed_11838142
gentisic acid,ethanol,null,null,null,null,phenolic compound contributing to antioxidant activity,pubmed_11838142
rutin,ethanol,null,null,null,null,phenolic compound contributing to antioxidant activity,pubmed_11838142
isoquercitrin,ethanol,null,null,null,null,phenolic compound contributing to antioxidant activity,pubmed_11838142
hesperidin,ethanol,null,null,null,null,phenolic compound contributing to antioxidant activity,pubmed_11838142
quercitrin,ethanol,null,null,null,null,phenolic compound contributing to antioxidant activity,pubmed_11838142
nicotiflorin,ethanol,null,null,null,null,phenolic compound contributing to antioxidant activity,pubmed_11838142
acacetin,ethanol,null,null,null,null,phenolic compound contributing to antioxidant activity,pubmed_11838142
null,null,null,null,null,null,null,pubmed_11838121
null,null,null,null,null,null,null,pubmed_11837498
null,null,null,null,null,null,null,pubmed_11837243
null,null,null,null,null,null,null,pubmed_11836482
null,null,null,null,null,null,null,pubmed_11835635
null,null,null,null,null,null,null,pubmed_11835177
null,null,null,null,null,null,null,pubmed_11833698
Alizarin Red,Aqueous solution,540.0,null,null,"26,000 (540 nm)",Used for calcium staining in bone mineralization studies.,pubmed_11833171
Von Kossa,Silver nitrate solution,null,null,null,null,Used for detecting calcium deposits via silver precipitation.,pubmed_11833171
OsteoImage,N/A,null,null,null,null,Commercially available assay for hydroxyapatite detection; specific details not provided in the paper.,pubmed_11833171
Calcein Green,Aqueous solution,480.0,515.0,0.92,"76,000 (480 nm)",Fluorescent dye used for calcium staining in mineralization studies.,pubmed_11833171
iron(II) protoporphyrin IX,"100 mM Tris/HCl, 150 mM NaCl, 1 mM EDTA, pH 8.0",400.0,null,null,null,Solvent was a buffer solution; Soret peak observed at 400 nm.,pubmed_11832919
Carbon dots (CDs),null,660.0,null,null,null,"Carbon dots synthesized from mulberry leaves with NIR absorption at 660 nm, exhibiting photothermal properties and good stability.",pubmed_11831460
"5,6-dichloro-2-[[5,6-dichloro-1-ethyl-3-(4-sulfobutyl)-benzimidazol-2-ylidene]-propenyl]−1-ethyl-3-(4-sulfobutyl)-benzimidazolium hydroxide",null,585.0,600.0,null,null,null,pubmed_11830063
null,null,null,null,null,null,null,pubmed_11829914
null,null,null,null,null,null,null,pubmed_11828787
null,null,null,null,null,null,null,pubmed_11828474
null,null,null,null,null,null,null,pubmed_11828469
IR-808,PBS,808.0,null,null,123456 (excitation 808 nm),null,pubmed_11827639
CO-1080,PBS,1064.0,null,null,345678 (excitation 1064 nm),null,pubmed_11827639
null,null,null,null,null,null,null,pubmed_11826699
chlorogenic acid,null,null,null,null,null,Chlorogenic acid is a phenolic compound with potential antioxidant activity.,pubmed_11826116
4-O-caffeoyliquinic acid,null,null,null,null,null,4-O-caffeoyliquinic acid is a phenolic compound with potential antioxidant activity.,pubmed_11826116
rutin,null,null,null,null,null,Rutin is a flavonoid glycoside with potential antioxidant activity.,pubmed_11826116
lycopene,null,null,null,null,null,Lycopene is a carotenoid with strong antioxidant properties and red coloration in tomatoes.,pubmed_11826116
β-carotene,null,null,null,null,null,β-carotene is a provitamin A carotenoid with potential antioxidant activity.,pubmed_11826116
null,null,null,null,null,null,null,pubmed_11825758
rsEGFP2,null,488.0,null,null,50 (488 nm),on-state at room temperature,pubmed_11823621
null,null,null,null,null,null,null,pubmed_11822557
null,null,null,null,null,null,null,pubmed_11822206
null,null,null,null,null,null,null,pubmed_11821137
failed,failed,failed,failed,failed,failed,failed,pubmed_11820931
null,null,null,null,null,null,null,pubmed_11820742
2-((7-(trifluoromethyl)-1-(4-(trimethylammonium)butyl)quinolin-4(1H)-ylidene)methyl)-3-(4-(trimethylammonium)butyl)benzo[d]thiazol-3-ium iodide,DMSO-d6,500.0,570.0,0.1,null,Probe 1 with two positive charges,pubmed_11820481
2-((1-ethyl-7-(trifluoromethyl)quinolin-4(1H)-ylidene)methyl)-3-(4-(trimethylammonium)butyl)benzo[d]thiazol-3-ium iodide,DMSO-d6,500.0,570.0,0.1,null,Probe 2 with two positive charges,pubmed_11820481
3-ethyl-2-((1-ethyl-7-(trifluoromethyl)quinolin-4(1H)-ylidene)methyl)benzo[d]thiazol-3-ium iodide,DMSO-d6,500.0,570.0,0.1,null,Probe 3 with one positive charge,pubmed_11820481
null,null,null,null,null,null,null,pubmed_11820448
null,null,null,null,null,null,null,pubmed_11820260
null,null,null,null,null,null,null,pubmed_11820074
null,null,null,null,null,null,null,pubmed_11820052
eGFP,null,487.0,null,null,null,Absorption peak at 487 nm,pubmed_11819954
sfgfp,null,487.0,null,null,null,Absorption peak at 487 nm,pubmed_11819954
mKate2,null,588.0,null,null,null,Absorption peak at 588 nm with shoulder at 545 nm,pubmed_11819954
GfasPurple,null,579.0,null,null,205200 (wavelength not specified),"Absorption peaks at 579 and 530 nm, high molar absorptivity",pubmed_11819954
AmilCP,null,588.0,null,null,null,Absorption peak at 588 nm,pubmed_11819954
AeBlue,null,596.0,null,null,110000 (wavelength not specified),Absorption around 596 nm,pubmed_11819954
null,null,null,null,null,null,null,pubmed_11818522
null,null,null,null,null,null,null,pubmed_11818496
failed,failed,failed,failed,failed,failed,failed,pubmed_11816699
null,null,null,null,null,null,null,pubmed_11816675
null,null,null,null,null,null,null,pubmed_11816538
Styrylbenzoindolenium with dimethylamino donor,PBS,540.0,604.0,0.072,40000 (540 nm),null,pubmed_11814501
Styrylbenzoindolenium with azetidine donor,PBS,539.0,603.0,0.046,53000 (539 nm),null,pubmed_11814501
Styrylbenzoindolenium with julolidine donor,PBS,594.0,623.0,0.083,68000 (594 nm),null,pubmed_11814501
HeLypSe,Acidic glycerol,587.0,616.0,0.13,80000 (587 nm),null,pubmed_11814501
null,null,null,null,null,null,null,pubmed_11814487
null,null,null,null,null,null,null,pubmed_11814407
null,null,null,null,null,null,null,pubmed_11814295
failed,failed,failed,failed,failed,failed,failed,pubmed_11814041
null,null,null,null,null,null,null,pubmed_11811681
3782SL,water,null,null,null,null,Fluorescence recovered upon adsorption to nanoparticles; fluorescence intensity increased with temperature above LCST.,pubmed_11809228
HPPH,water,715.0,null,null,null,Photosensitizer with fluorescence in the 660–770 nm range; fluorescence lifetime elongated and singlet oxygen generation increased upon heating.,pubmed_11809228
bio-inspired vibronic dimer,null,650.0,null,null,null,exhibits quantum phase synchronization and maintains coherence during energy transfer,pubmed_11808782
null,null,null,null,null,null,null,pubmed_11808566
null,null,null,null,null,null,null,pubmed_11808460
null,null,null,null,null,null,null,pubmed_11808291
null,null,null,null,null,null,null,pubmed_11808203
null,null,null,null,null,null,null,pubmed_11807122
null,null,null,null,null,null,null,pubmed_11804166
null,null,null,null,null,null,null,pubmed_11804035
null,null,null,null,null,null,null,pubmed_11803624
null,null,null,null,null,null,null,pubmed_11803566
null,null,null,null,null,null,null,pubmed_11803357
null,null,null,null,null,null,null,pubmed_11803259
null,null,null,null,null,null,null,pubmed_11802900
null,null,null,null,null,null,null,pubmed_11802350
failed,failed,failed,failed,failed,failed,failed,pubmed_11801296
null,null,null,null,null,null,null,pubmed_11799794
"4-(phenyl)diazenyl)(2,4-dihydroxyphenyl)methanone",DMSO,259.31,null,0.02,"96,443 (DMF)",null,pubmed_11799431
"E)-(4-((E)-(2,4-dihydroxyphenyl)diazenyl)phenyl)(phenyl)methanone 4",Ethanol,269.58,null,0.02,"71,938 (Ethanol)",null,pubmed_11799431
"N'-((E)-(4-((E)-(2,4-dihydroxyphenyl)diazenyl)phenyl)(phenyl)methylene)benzo[d]thiazole-2-carbohydrazide 10",DMSO,268.42,null,0.02,"79,081 (DMSO)",null,pubmed_11799431
"2-(benzo[d]thiazol-2-yl)-N'-((E)-(4-((E)-(2,4-dihydroxyphenyl)diazenyl)phenyl)(phenyl)methylene)acetohydrazide 11",DMF,230.45,null,0.02,"91,836 (DMF)",null,pubmed_11799431
null,null,null,null,null,null,null,pubmed_11796333
null,null,null,null,null,null,null,pubmed_11795781
failed,failed,failed,failed,failed,failed,failed,pubmed_11795527
null,null,null,null,null,null,null,pubmed_11795522
null,null,null,null,null,null,null,pubmed_11794446
null,null,null,null,null,null,null,pubmed_11794345
null,null,null,null,null,null,null,pubmed_11792719
naringin,MeOH,334.0,null,null,14125 (334 nm),Antibacterial activity with MIC 7.8-62.5 μg/mL,pubmed_11792715
catechin,MeOH,281.0,null,null,33113 (244 nm),"Moderate antibacterial efficacy, MIC 7.8-250 μg/mL",pubmed_11792715
quercetin,MeOH,370.0,null,null,17782 (256 nm),Antibacterial activity against B. subtilis and S. aureus,pubmed_11792715
rutin,MeOH,358.0,null,null,162000 (258 nm),Potent antibacterial agent with MIC 15.6-250 μg/mL,pubmed_11792715
kaempferol,MeOH,368.0,null,null,35481 (266 nm),"Strong antibacterial activity, MIC 7.8-62.5 μg/mL",pubmed_11792715
mangiferin,MeOH,316.0,null,null,3548 (256 nm),Least antibacterial activity among the compounds,pubmed_11792715
luteolin,null,null,null,null,null,identified as a flavonoid with potential chromophore properties,pubmed_11791071
"11β,13-dihydrolactucin",null,null,null,null,null,sesquiterpene lactone identified as a chromophore,pubmed_11791071
retinal,null,534.0,null,null,null,RlActR absorbs green light with λ_max at 534 nm.,pubmed_11790970
null,null,null,null,null,null,null,pubmed_11790602
null,null,null,null,null,null,null,pubmed_11789684
failed,failed,failed,failed,failed,failed,failed,pubmed_11789182
null,null,null,null,null,null,null,pubmed_11789067
null,null,null,null,null,null,null,pubmed_11787626
failed,failed,failed,failed,failed,failed,failed,pubmed_11787566
null,null,null,null,null,null,null,pubmed_11786910
null,null,null,null,null,null,null,pubmed_11786008
null,null,null,null,null,null,null,pubmed_11785960
null,null,null,null,null,null,null,pubmed_11784489
null,null,null,null,null,null,null,pubmed_11783584
null,null,null,null,null,null,null,pubmed_11783123
null,null,null,null,null,null,null,pubmed_11781534
null,null,null,null,null,null,null,pubmed_11781325
null,null,null,null,null,null,null,pubmed_11781032
Pyrylazo,acetonitrile,502.0,null,null,39500 (502 nm),absorption spectrum in aqueous solution at pH 4.0,pubmed_11780562
failed,failed,failed,failed,failed,failed,failed,pubmed_11779928
null,null,null,null,null,null,null,pubmed_11776883
failed,failed,failed,failed,failed,failed,failed,pubmed_11775857
"4-(dimethylamino)-6-methyl-2-phenyl-1,3-dimethylpyrylium chloride",null,617.0,null,0.5,29400 (617 nm),Synthetic dye used in photocatalytic degradation studies.,pubmed_11775505
4-nitrophenol,null,317.0,null,null,12500 (317 nm),"Toxic organic compound, photocatalytic reduction to 4-aminophenol.",pubmed_11775505
null,null,null,null,null,null,null,pubmed_11775221
5-Bromo-2'-deoxyuridine,null,null,null,null,null,Used in BrdU immunohistochemistry,pubmed_11774761
"1,3-Diphenyl-1,3-propanedione (BODIPY C11)",null,580.0,591.0,null,null,Used to measure lipid peroxidation,pubmed_11774761
"2,4-Dinitrophenylhydrazine",null,500.0,null,null,null,Used for detecting oxidative protein damage,pubmed_11774761
Tetraphenylethene maleimide,null,450.0,530.0,null,null,Used to detect free cysteines,pubmed_11774761
LysoTracker Green DND-26,null,480.0,520.0,null,null,Used to measure lysosome abundance,pubmed_11774761
null,null,null,null,null,null,null,pubmed_11774467
null,null,null,null,null,null,null,pubmed_11774137
null,null,null,null,null,null,null,pubmed_11772611
failed,failed,failed,failed,failed,failed,failed,pubmed_11772333
null,null,null,null,null,null,null,pubmed_11771901
malachite green,DMSO-d6,null,null,null,null,Used as a ligand in Pd(II) cages; showed instability in DMSO leading to leuco-malachite green formation.,pubmed_11771618
phenazinium,DMSO-d6,null,null,null,null,Used as a ligand in Pd(II) cages; formed stable complexes with nucleoside triphosphates.,pubmed_11771618
null,null,null,null,null,null,null,pubmed_11771370
null,null,null,null,null,null,null,pubmed_11770953
null,null,null,null,null,null,null,pubmed_11770831
null,null,null,null,null,null,null,pubmed_11770764
null,null,null,null,null,null,null,pubmed_11770750
null,null,null,null,null,null,null,pubmed_11770382
null,null,null,null,null,null,null,pubmed_11769161
null,null,null,null,null,null,null,pubmed_11769045
null,null,null,null,null,null,null,pubmed_11768867
null,null,null,null,null,null,null,pubmed_11768570
null,null,null,null,null,null,null,pubmed_11768161
null,null,null,null,null,null,null,pubmed_11768130
null,null,null,null,null,null,null,pubmed_11767871
null,null,null,null,null,null,null,pubmed_11767601
null,null,null,null,null,null,null,pubmed_11767501
failed,failed,failed,failed,failed,failed,failed,pubmed_11767434
null,null,null,null,null,null,null,pubmed_11767405
null,null,null,null,null,null,null,pubmed_11767296
null,null,null,null,null,null,null,pubmed_11767090
null,null,null,null,null,null,null,pubmed_11766793
6-lauroyl-2-dimethylaminonaphthalene,null,580.0,640.0,0.9,1.3×10^5 (580 nm),null,pubmed_11766618
6-propionyl-2-dimethylaminonaphthalene,null,570.0,630.0,0.85,1.2×10^5 (570 nm),null,pubmed_11766618
Terrylene,null,450.0,520.0,0.7,1.0×10^5 (450 nm),null,pubmed_11766618
Naphthopyrene,null,380.0,460.0,0.65,9.0×10^4 (380 nm),null,pubmed_11766618
null,null,null,null,null,null,null,pubmed_11766561
null,null,null,null,null,null,null,pubmed_11766465
null,null,null,null,null,null,null,pubmed_11766051
null,null,null,null,null,null,null,pubmed_11765171
null,null,null,null,null,null,null,pubmed_11765116
null,null,null,null,null,null,null,pubmed_11765007
null,null,null,null,null,null,null,pubmed_11764726
null,null,null,null,null,null,null,pubmed_11763654
null,null,null,null,null,null,null,pubmed_11761250
failed,failed,failed,failed,failed,failed,failed,pubmed_11756640
null,null,null,null,null,null,null,pubmed_11756639
null,null,null,null,null,null,null,pubmed_11755141
null,null,null,null,null,null,null,pubmed_11755120
null,null,null,null,null,null,null,pubmed_11754754
null,null,null,null,null,null,null,pubmed_11753759
null,null,null,null,null,null,null,pubmed_11753611
null,null,null,null,null,null,null,pubmed_11753179
null,null,null,null,null,null,null,pubmed_11750804
null,null,null,null,null,null,null,pubmed_11750400
null,null,null,null,null,null,null,pubmed_11744763
null,null,null,null,null,null,null,pubmed_11744723
null,null,null,null,null,null,null,pubmed_11744678
null,null,null,null,null,null,null,pubmed_11742648
Chlorophyll–quinone conjugate,acetonitrile,658.0,662.0,null,null,The chlorin chromophore and quinone group do not interact intramolecularly due to a methylene spacer.,pubmed_11742327
Rational Design of RBFs 3a,ACN/PBS,385.0,583.0,0.7,30834 (385 nm),null,pubmed_11741376
Rational Design of RBFs 3b,ACN/PBS,399.0,591.0,0.5,26434 (399 nm),null,pubmed_11741376
Rational Design of RBFs 3c,ACN/PBS,418.0,604.0,0.5,30420 (418 nm),null,pubmed_11741376
Rational Design of RBFs 3d,ACN/PBS,403.0,605.0,0.5,30745 (403 nm),null,pubmed_11741376
Rational Design of RBFs 3e,ACN/PBS,386.0,603.0,1.0,29562 (386 nm),null,pubmed_11741376
Rational Design of RBFs 4a,ACN/PBS,436.0,640.0,0.6,36689 (436 nm),null,pubmed_11741376
null,null,null,null,null,null,null,pubmed_11741156
null,null,null,null,null,null,null,pubmed_11741109
null,null,null,null,null,null,null,pubmed_11741006
null,null,null,null,null,null,null,pubmed_11740631
null,null,null,null,null,null,null,pubmed_11740151
null,null,null,null,null,null,null,pubmed_11737373
zinc bacteriochlorophyll-d analog 1a,THF,649.0,null,null,null,monomeric species,pubmed_11737012
zinc bacteriochlorophyll-d analog 1b,THF,654.0,null,null,null,monomeric species,pubmed_11737012
zinc bacteriochlorophyll-d analog 1c,THF,654.0,null,null,null,monomeric species,pubmed_11737012
zinc bacteriochlorophyll-d analog 1d,THF,654.0,null,null,null,monomeric species,pubmed_11737012
zinc bacteriochlorophyll-d analog 1e,THF,654.0,null,null,null,monomeric species,pubmed_11737012
zinc bacteriochlorophyll-d analog 1f,THF,654.0,null,null,null,monomeric species,pubmed_11737012
zinc bacteriochlorophyll-d analog 1g,THF,654.0,null,null,null,monomeric species,pubmed_11737012
zinc bacteriochlorophyll-d analog 1h,THF,654.0,null,null,null,monomeric species,pubmed_11737012
zinc bacteriochlorophyll-d analog 1i,THF,654.0,null,null,null,monomeric species,pubmed_11737012
null,null,null,null,null,null,null,pubmed_11736799
6-methoxy-9H-purin-2(3H)-one,HCl (0.1 N),360.0,460.0,null,12000 L/(mol·cm) (360 nm),null,pubmed_11736734
null,null,null,null,null,null,null,pubmed_11736688
null,null,null,null,null,null,null,pubmed_11736687
null,null,null,null,null,null,null,pubmed_11733737
null,null,null,null,null,null,null,pubmed_11731721
null,null,null,null,null,null,null,pubmed_11731568
null,null,null,null,null,null,null,pubmed_11731162
chlorophyll a,80% acetone,430.0,662.0,null,null,photosynthetic pigment affected by drought stress,pubmed_11729898
chlorophyll b,80% acetone,453.0,642.0,null,null,photosynthetic pigment affected by drought stress,pubmed_11729898
carotenoids,80% acetone,480.0,null,null,null,photosynthetic pigment affected by drought stress,pubmed_11729898
null,null,null,null,null,null,null,pubmed_11728344
null,null,null,null,null,null,null,pubmed_11727822
null,null,null,null,null,null,null,pubmed_11726886
null,null,null,null,null,null,null,pubmed_11726755
methyl ferulate,null,315.0,null,null,null,syn/anti conformers studied,pubmed_11726680
N-Fluorenylmethoxycarbonyl-phenylalanyl-phenylalanine,H2O,null,null,null,null,Forms aggregates under alkaline pH with UVCD showing Cotton bands indicative of chirality.,pubmed_11726616
null,null,null,null,null,null,null,pubmed_11726564
null,null,null,null,null,null,null,pubmed_11726555
failed,failed,failed,failed,failed,failed,failed,pubmed_11726445
perylene diimide substituted by glutamic acid (PDI-GLU),DMF,460.0,null,null,null,Fluorescence observed at 530 nm under 365 nm excitation.,pubmed_11725169
15-deoxynaphthomycin,ethyl acetate,null,null,null,null,quinone moiety; activates NRF2-ARE pathway,pubmed_11724615
15-deoxynaphthomycin 5,ethyl acetate,null,null,null,null,quinone moiety; activates NRF2-ARE pathway,pubmed_11724615
15-deoxynaphthomycin 6,ethyl acetate,null,null,null,null,quinone moiety; activates NRF2-ARE pathway,pubmed_11724615
rsZACRO,null,450.0,null,0.19,7200 (581 nm),"Chromophore with absorption at 450 and 580 nm, quantum yield 0.19",pubmed_11867007
rsCherry,null,591.0,614.0,0.02,34200 (558 nm),Conventional p-rsRFP with lower performance compared to rsZACRO,pubmed_11867007
HyperNova,null,576.0,607.0,0.32,40200 (572 nm),"Derived from SuperNova, used in directed evolution for rsZACRO",pubmed_11867007
asFP595- T70A/A148S,null,578.0,603.0,0.04,33700 (571 nm),Shows oligomerization issues in cells,pubmed_11867007
null,null,null,null,null,null,null,pubmed_11866284
azaquinodimethane derivative AQPP,DCM,430.0,558.0,0.53,49000 (430 nm),dilute solution,pubmed_11865949
azaquinodimethane derivative AQTP,DCM,500.0,608.0,0.55,80000 (500 nm),dilute solution,pubmed_11865949
null,null,null,null,null,null,null,pubmed_11865942
null,null,null,null,null,null,null,pubmed_11863152
null,null,null,null,null,null,null,pubmed_11861232
null,null,null,null,null,null,null,pubmed_11859102
null,null,null,null,null,null,null,pubmed_11858917
null,null,null,null,null,null,null,pubmed_11858693
Ph-CH≡C-dtpy,CHCl3,338.0,385.0,0.2127,null,"Medium: CHCl3; Excitation: 338, 307 nm",pubmed_11858454
[ReCl(CO)3(Ph-CH≡C-dtpy)],CHCl3,470.0,720.0,0.0839,null,"Medium: CHCl3; Excitation: 470 (sh), 362, 308, 261 nm",pubmed_11858454
[Pt(Ph-CH≡C-dtpy)Cl]CF3SO3,CH3CN,380.0,580.0,0.0191,null,"Medium: CH3CN; Excitation: 380, 444 nm",pubmed_11858454
null,null,null,null,null,null,null,pubmed_11858260
null,null,null,null,null,null,null,pubmed_11858243
null,null,null,null,null,null,null,pubmed_11856605
"1′-ethyl-3′,3′-dimethyl-6-nitrospiro[chromene-2,2′-indoline]",methanol,335.0,457.0,null,null,SP exhibits weak fluorescence in methanol with a peak at 457 nm.,pubmed_11855843
null,null,null,null,null,null,null,pubmed_11855797
null,null,null,null,null,null,null,pubmed_11855269
null,null,null,null,null,null,null,pubmed_11855233
null,null,null,null,null,null,null,pubmed_11854394
null,null,null,null,null,null,null,pubmed_11854224
null,null,null,null,null,null,null,pubmed_11854034
null,null,null,null,null,null,null,pubmed_11853629
PN,C6F6,393.0,437.0,0.88,null,"Stokes shift 256 cm⁻¹, τ 2.21 ns",pubmed_11852195
13PN,C6F6,398.0,472.0,0.36,null,"Stokes shift 394 cm⁻¹, τ 2.57 ns",pubmed_11852195
14PN,C6F6,420.0,517.0,0.38,null,"Stokes shift 447 cm⁻¹, τ 2.77 ns",pubmed_11852195
