iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,TP/TN/FP/FN,Notes
4-diethylaminobenzaldehyde,acetonitrile,556,557,0.57,90000 cm⁻¹·M⁻¹,4-diethylaminobenzaldehyde derivative with high quantum yield and large Stokes shift,pubmed_11596234,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10403132,,
9-(dichlorophosphino)anthracene,null,null,null,0.4,7.2 (λ=350 nm),Anthracene derivative substituted with dichlorophosphino group,pubmed_9570788,,
2H-porphyrin,methylcyclohexane,430,650,0.65,null,Porphyrins exhibit J-type aggregation in supramolecular polymers with Q-band emission.,pubmed_10711788,,
"poly-1,3-diynediyl",null,635,null,null,Polydiacetylene chromophore involved in S1 state and triplet-pair separation.,null,arxiv_2002.12465v2,,
null,null,null,null,null,null,null,pubmed_9202861,,
null,null,null,null,null,null,null,pubmed_11406525,,
null,null,null,null,null,null,null,pubmed_11106648,,
lignin,null,null,null,null,null,"This study investigates the effect of lignin modification on transparent wood biocomposites, focusing on changes in chromophore behavior and optical properties.",pubmed_11398143,,
tetrahedral zinc blende cadmium diselenide cadmium disulfide,null,null,null,null,null,"CdSe/CdS core/shell tetrahedral colloidal quantum dots synthesized and characterized for enhanced emission polarization in bowtie nanoantenna structures, focusing on photocatalytic applications and field hotspots",arxiv_2206.10882v1,,
"4,7-di(9H-carbazol-3-yl)benzo[c][1,2,5]thiadiazole",null,239,309,0.42,null,Benzothiadiazole-based photocatalyst PC2 with moderate quantum yield and good selectivity.,chemrxiv_10.26434_SLASH_chemrxiv-2024-pktbw,,
sulfoquinovosyl diacylglycerol,null,null,null,null,The synthesis of sulfoquinovosyl diacylglycerol (SQDG) involves glycosylation of a glycerol moiety and subsequent protection and oxidation steps to form unsaturated lipoforms.,null,chemrxiv_10.26434_SLASH_chemrxiv.10566101.v1,,
LSSmOrange,null,552,610,0.9,10^4 (540 nm),High true positive rates >99%,pubmed_11526929,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7056b,,
4-undecyloxy-4'-iodobiphenyl,CH2Cl2,342,389,0.35,null,Undecyloxy-substituted compound demonstrated excellent solvatochromic behavior.,pubmed_9520553,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10178558,,
mcavgfp,null,506,516,0.54,83000 (506 nm),coral-derived GFP used as a template for engineering red fluorescent proteins.,pubmed_10636333,,
belotecan,null,null,null,null,null (wavelength not specified),"Belotecan binds RPL15 and RPL11 with moderate to high affinity, suggesting it as a candidate for ribosomal protein modulation in cancer treatment.",pubmed_9967338,,
null,null,null,null,null,null,null,pubmed_11854427,,
null,null,null,null,null,null,null,pubmed_11719890,,
null,null,null,null,null,null,null,pubmed_9317141,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-zhblh,,
pt,toluene,603,605,1,null,PT is a pyrene-bridged anthracene dimer with strong coupling.,pubmed_10599476,,
NAB,solvent not specified,554.65,480.95,0.76,[value (wavelength nm) or just the value if wavelength is not specified],ROS-activated H 2S donor for oxidative stress monitoring,pubmed_11181996,,
7[OTf],toluene,380,566,0.57,null,Temperature-dependent viscosity measurements and Arrhenius equation analysis.,pubmed_11575608,,
null,null,null,null,null,null,null,pubmed_9412256,,
photodynamic therapy,null,null,null,0.56,null,"Photoditazine is a chlorin e6-based photosensitizer used in photodynamic therapy. It predominantly targets the vasculature and causes vascular damage, leading to hypoxia and tumor cell death.",pubmed_10855179,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12824921.v1,,
null,null,null,null,null,null,null,pubmed_9503718,,
bodipy,"1,4-dioxane",532,550,0.6,null,The bodipy chromophore is used for its strong absorption at 532 nm and high quantum yield in solution.,chemrxiv_10.26434_SLASH_chemrxiv-2023-mgqg3,,
null,null,null,null,null,null,null,pubmed_10097317,,
null,null,null,null,null,null,null,pubmed_10689081,,
null,null,null,null,null,null,null,pubmed_9270284,,
rhodamine B,null,554,null,null,null,Catalytic hydrogenation of RhB using NaBH4 in Ag/g-C3N4/MCM-41 composite; removal efficiency 98% observed.,pubmed_10759964,,
iLOV,bacterial culture media,null,null,null,null,Fluorescent protein used for anaerobic conditions.,pubmed_10623331,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-6hqsj,,
methyl orange,aqueous,null,null,null,null,Methyl orange is another azo dye commonly used in water treatment applications. Its structure was derived from its official name.,pubmed_11429485,,
luteolin,"water, ethanol",null,null,0,null,Luteolin is a flavone aglycone isolated as a minor constituent in olive leaf extracts treated with oxalic acid and ethanol.,pubmed_11277424,,
rhenium(I) complex with CC-TPA ligand,CH₂Cl₂,476,null,null,value (wavelength nm),Ethynyl bridges maintain similar photophysical properties to thiophene.,pubmed_10951951,,
Peptide II (D-isomer),null,290,540,0.43,null,The D-isomer shows higher quantum yield and specific emission wavelength.,pubmed_9967182,,
null,null,null,null,null,null,null,pubmed_10068813,,
null,null,null,null,null,null,null,pubmed_11359619,,
null,null,null,null,null,null,null,pubmed_9962852,,
null,null,null,null,null,null,null,pubmed_10934194,,
null,null,null,null,null,null,null,pubmed_9698407,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10070235,,
null,null,null,null,null,null,null,pubmed_11206683,,
null,null,null,null,null,null,null,pubmed_10214443,,
null,null,null,null,null,null,null,pubmed_9609562,,
null,null,null,null,null,null,null,pubmed_9774123,,
ce6,null,null,null,null,null,Chlorin e6 is a photosensitizer used in photodynamic therapy (PDT) with AuNPs for enhanced efficacy.,pubmed_9250257,,
null,null,null,null,null,null,null,arxiv_2307.12805v1,,
null,null,null,null,null,null,null,pubmed_9718679,,
null,null,null,null,null,null,null,pubmed_10779966,,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.7368299.v1,,
null,null,null,null,null,null,null,pubmed_10783912,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10223613,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3nxtx,,
copper-based rotaxanes,null,600,800,0.6,null,Copper-based rotaxanes with TCBD units have distinct photophysical properties and are studied for their chiroptical behavior.,pubmed_10825803,,
S-2-((2-(9H-carbazol-9-yl)propa-noyl)oxy)thyl acrylate,null,290,364,0.247,null (absorption at 290 nm),Confinement in polymer matrix provides triplet energy level of 3.0 eV and long lifetimes.,pubmed_11004163,,
null,null,null,null,null,null,null,pubmed_9344281,,
null,null,null,null,null,null,null,arxiv_0510790v1,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gdmxs,,
5MeBDP,CDCl3,null,null,null,null (absorption coefficient not explicitly provided),"5MeBDP derivative modified with iodine at positions 2 and 6, effective in killing bacteria under laser irradiation at 545 nm",pubmed_11541523,,
bodipy-biph,toluene,460,520,0.5,21.2 (458 nm),"reference compound with fluorescence quantum yield of 0.50, peak absorption at 460 nm, and emission around 520 nm.",pubmed_10207891,,
cyanidin-3-(feruloyl)(feruloyl)-diglucoside-5-glucoside,deionised water,null,null,null,null (wavelength not specified),Anthocyanin derivative with feruloyl dimerization and diglucoside substitution,pubmed_10525587,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10970405,,
Styryl-azinium bicationic dye #4,ETN buffer,520,730,0.3,null,Moderate fluorescence and cytoplasm localization in HeLa cells.,pubmed_9230006,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n178z,,
MSCD,solvent not specified,554.65,480.95,0.76,[value (wavelength nm) or just the value if wavelength is not specified],Light-controlled NO release with fluorescence tracking,pubmed_11181996,,
null,null,null,null,null,null,null,pubmed_9348838,,
TCPA,THF,400,428,0.3,not specified (wavelength not provided),D-A system with balanced quantum yields.,pubmed_10099667,,
null,null,null,null,null,null,null,pubmed_10015432,,
null,null,null,null,null,null,null,pubmed_10049009,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-tbq57,,
null,null,null,null,null,null,null,pubmed_11648592,,
null,null,null,null,null,null,null,pubmed_10324103,,
si-rhodanine,PBS buffer,665,750,0.92,1.2 × 10^4 L/(mol·cm) (660 nm),"Efficient photocatalytic activation of dihydrotetrazines with far-red light, low phototoxicity, and high stability in biological environments.",chemrxiv_10.26434_SLASH_chemrxiv.13513215.v1,,
null,null,null,null,null,null,null,pubmed_9739037,,
null,null,null,null,null,null,null,pubmed_10291279,,
DHP,null,660.62,331.05,0.22,null,"4a,4b-dihydrophenanthrene (DHP) is formed via cyclization but does not contribute significantly to the quantum yield.",pubmed_11672677,,
null,null,null,null,null,null,null,pubmed_11764958,,
null,null,null,null,null,null,null,pubmed_10342001,,
Trigonella corniculata,methanol,null,null,null,null,"Mutant A (PEB), Mutant B (PEB), Mutant C (PEB), Mutant F (PEB), Mutant G (PEB), Mutant J (Pusa kasuri), Mutant L (Pusa kasuri), Mutant N (Pusa kasuri), Mutant O (Pusa kasuri)",pubmed_11285971,,
10R,null,null,null,null,null,Pro-aromatic molecule with a ten-membered ring.,chemrxiv_10.26434_SLASH_chemrxiv.13498515.v1,,
null,null,null,null,null,null,null,pubmed_11278898,,
N-(4-(10H-phenothiazin-10-yl)phenyl)-4-(10H-phenothiazin-10-yl)-N-phenylaniline,chloroform,719.119,null,null,1.72 × 10^4 (719.119 nm),DTMD6 has intermediate properties.,pubmed_10809687,,
leupeptin-derived pyrazinone,null,null,null,null,null,Leupeptin-derived pyrazinones selectively activate histamine receptor H4 (HRH4) in humans.,pubmed_11480411,,
null,null,null,null,null,null,null,pubmed_9691210,,
null,null,null,null,null,null,null,pubmed_10849145,,
null,null,null,null,null,null,null,pubmed_10038088,,
TePixJ,null,420,null,null,null,null,pubmed_9945933,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4wkrq,,
Rep-miRFP720(C15S),null,702,720,null,null,Rep-miRFP720(C15S) is a near-infrared fluorescent protein derived from bacterial phytochrome with a non-covalent biliverdin adduct enabling chromophore renewal for imaging.,pubmed_11026395,,
failed,failed,failed,failed,failed,failed,failed,pubmed_9472706,,
null,null,null,null,null,null,null,pubmed_10236257,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dkjt6-v3,,
resveratrol analogue (5),null,339,null,null,26378,"(E)-2-(2-(5-Methylthiophen-2-yl)vinyl)phenol(5), methyl-substituted resveratrol analogue with OH group in ortho position to thiophene ring.",pubmed_11597387,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12117024.v1,,
crypto-chlorogenic acid,aqueous solution,325,null,0.29,0.3 L/(mol·cm) (325 nm),4-O-caffeoylquinic acid derivative demonstrates high bioavailability and stability in complexes; Langmuir adsorption model applied for equilibrium studies.,pubmed_10385370,,
null,null,null,null,null,null,null,pubmed_10509242,,
Ag N-DNA (DNA) 2[Ag 15] 9+,water,810,700,0.73,176 GM at 1050 nm,High quantum yield and two-photon brightness for NIR imaging.,pubmed_11664824,,
null,null,null,null,null,null,null,pubmed_11085067,,
null,null,null,null,null,null,null,pubmed_10755747,,
null,null,null,null,null,null,null,pubmed_10688736,,
null,null,null,null,null,null,null,pubmed_10107957,,
null,null,null,null,null,null,null,pubmed_11704084,,
null,null,null,null,null,null,null,pubmed_10650491,,
"(CO)(H)(PPh3)(κ3-N,C,P-LutP`)ruthenium(II)",null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-b2d13-v2,,
CC10D1,chloroform,709.896,null,null,null,Derivative with acceptor moiety MDC; shows moderate absorption peak.,pubmed_9281312,,
zinc selenide,"octadecene, oleylamine, octylamine, selenium, trioctylphosphine, 1-octadecene, N-methylformamide, hexane, methanol",375,320,null,null,Chirality induction via ligand exchange; optical activity and circular dichroism analysis; ZnSe shows lower dissymmetry factor than CdSe when coated with L-cysteine,pubmed_9920291,,
null,null,null,null,null,null,null,pubmed_11644351,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zr6rw,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.13972910.v2,,
ATX-6,aqueous solution,757,923,0.38,null,ATX-6 exhibits absorption at 757 nm and emission at 923 nm in aqueous solution with a high quantum yield of 0.38.,pubmed_11268488,,
null,null,null,null,null,null,null,pubmed_9293669,,
null,null,null,null,null,null,null,pubmed_10291066,,
DB-EtPh-Pz,hexane,null,null,0.22,null (wavelength not specified),Dewar benzene diacid monoanion salt with an ethylbenzene-linked piperazinium cation used in quantum chain reactions with moderate efficiency.,pubmed_10998555,,
null,null,null,null,null,null,null,pubmed_9392779,,
aminoborane-1d,acetonitrile,null,null,0.2,null,"Electrochemical activation and photochemical properties explored, showing potential for photocatalytic reactions with PC10.",chemrxiv_10.26434_SLASH_chemrxiv-2022-dxnz4-v3,,
null,null,null,null,null,null,null,pubmed_11289762,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10701289,,
pDTCz-DPmS,Dichloromethane (DCM),363,524,0.42,12.8 × 10³ M⁻¹cm⁻¹,Donor–acceptor TADF compound with higher conjugation and thermally activated delayed fluorescence.,pubmed_10204087,,
"2G12,02,01–NO",CH 2Cl 2,null,null,null,31.2 (850 nm),Same as above.,pubmed_11168170,,
null,null,null,null,null,null,null,pubmed_9319432,,
null,null,null,null,null,null,null,pubmed_9496161,,
null,null,null,null,null,null,null,pubmed_9322362,,
null,null,null,null,null,null,null,pubmed_9962899,,
lavanducyanin,null,null,null,null,null,Natural phenazine-derived meroterpenoid with cytotoxic and antibiotic activities.,pubmed_11250029,,
1-acetylanthracene,acetone,null,null,0.65,null,Acetylanthracene derivative used in cocrystals with TCNB for quantum applications; 1-AAN:TCNB exhibits spin-polarized triplet state with ϕ T ~6.9 μs and fluorescence decay time.,pubmed_11707738,,
trinaphthylmethane-111,ACN/water,281.5,395,0.68,null,The 111-TNM isomer demonstrates strong TSC emission at 395 nm with an absolute luminescence quantum yield of 68% in the solid state.,chemrxiv_10.26434_SLASH_chemrxiv-2023-pj5cn,,
QLD4,tetrahydrofuran,801,780,0.28,5.1 × 10⁴ cm⁻¹ (801 nm),Multichromophore system with large hyperpolarizability.,pubmed_9683004,,
(4-(azepan-1-yl)-benzylidene)malononitrile,chloroform,null,null,0.045,null,"The chromophore forms a charge-transfer (CT) complex with PDAA and PCBM, affecting photocarrier generation.",pubmed_11101462,,
null,null,null,null,null,null,null,pubmed_10722396,,
null,null,null,null,null,null,null,arxiv_1805.05733v1,,
anthracene,null,350,590,0,null (absorption: 350 nm),Anthracene is used for white-light emission applications.,pubmed_10458872,,
short wavelength-sensitive opsin 1,null,432.15,null,null,432.15 (average of 425-466 nm),Expressed in blue-sensitive rods; some use A2,pubmed_10994157,,
null,null,null,null,null,null,null,pubmed_10573413,,
Water,null,null,null,null,null,null,pubmed_10797622,,
