iupac_name,pka_value,pka_type,functional_group,solvent,temperature,ionic_strength,method,uncertainty,additional_info,paper,"TP,TN,FP,FN",Human Notes,,
Oleanolic Acid,70.58,acid,functional_group_example,water,296.15,null,method_description,4.06,additional_info_including_units_and_context,Pubmed_10536188,FP,,,
5-methoxy-tryptamine,1.31,acid,amine,water,303.15,null,null,null,The introduction of a methoxy group at position 5 exhibited an increase in permeability.,chemrxiv_10.26434_SLASH_chemrxiv-2023-wlxmw,FP,,,
tryptamine,1.2,acid,amine,water,303.15,null,null,null,The study investigated the permeation behavior of twelve tryptamines and characterized the interactions that drive the process.,chemrxiv_10.26434_SLASH_chemrxiv-2023-wlxmw,FP,,,
iupac_name,37.89,null,null,null,346.79,null,null,5,null,Pubmed_10757125,FP,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11259431,TN,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,arxiv_1911.03296v2,TN,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,SO_10.1038%2Fs41586-023-06749-3,TN,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,SO_10.18632%2Foncotarget.14637,TN,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,SO_10.1016%2Fj.xcrm.2024.101593,TN,,,
null,null,null,null,null,null,null,null,null,null,Pubmed_11251789,TN,,,
null,null,null,null,null,null,null,null,null,null,Pubmed_11250905,TN,,,
null,null,null,null,null,null,null,null,null,null,Pubmed_11250819,TN,,,
null,null,null,null,null,null,null,null,null,null,Pubmed_11249424,TN,,,
null,null,null,null,null,null,null,null,null,null,Pubmed_11247864,TN,,,
null,null,null,null,null,null,null,null,null,null,Pubmed_11247110,TN,,,
null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tl9lx,TN,,,
null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-w3q1d-v2,TN,,,
null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v338f,TN,,,
null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n1928,TN,,,
pentaminomycins F and G,7.61,acid,cyclic pentapeptide,acetone,423.82,null,null,4.56,advanced Marfey's analysis under two different conditions,chemrxiv_10.26434_SLASH_chemrxiv.13142786.v1,TP,,,
Fe2(CO)5(PPh3){μ-(SCH2)2}SnMe2,81.45,acid,Fe(CO)3S2,MeCN,64.11,null,null,1.99,null,chemrxiv_10.26434_SLASH_chemrxiv.13025132.v1,TP,,,
NiCo-MOFs,0.75,acid,phenol,PBS,293.15,null,DPV,null,Calibration curve and detection limit for PAR determination in the presence of p-AP using NiCo-MOFs/CPE.,Pubmed_11308493,TP,,,
primary benzene sulfonamide derivatives,84.51,acid,S-N bond length,water,323.74,ionic strength not provided,quantum chemical method,4.21,"predicted pKa values match initial predictions within 0.26 units, deviate by up to 1.68 units from previous values",chemrxiv_10.26434_SLASH_chemrxiv.7988402.v1,TP,,,
another_example_name,56.19,base,carboxylic acid,deionized_water_at_20_degC,384,null,titration with strong base for pKa determination,null,data on ionic strength not mentioned in paper,chemrxiv_10.26434_SLASH_chemrxiv.8798174.v1,TP,,,
tetrakis(4-sulfonatophenyl)porphyrin,71.43,acid,aromatic amino acids,acetate buffer,298,null,UV/Vis titration,1.71,interaction with metal complexes of tetrakis-(4-sulfonatophenyl)porphyrin,Pubmed_10819004,TP,,,
Hydroxyapatite Nanorods Based Drug Delivery Systems for Bumetanide and Meloxicam,65.94,acid-base,drug_delivery,ethanol/water (3:1),273.15,null,"X-ray powder diffraction (XRPD), Fourier transform infrared spectroscopy (FT-IR), differential scanning calorimetry (DSC), and scanning electron microscopy with energy-dispersive spectroscopy (SEM-EDS)",0.46,Hydroxyapatite Nanorods Based Drug Delivery Systems for Bumetanide and Meloxicam: A Comprehensive Study on Solubility Enhancement Methods,Pubmed_10780568,TP,,,
Urazole,5.2,acid,,ethanol/water,640.78,null,gelation reaction at ambient temperatures and inert conditions.,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2021-54w4m,TP,,,
YW-1,5.6113,acid,benzothiazole carboxylate ester,PBS,298.15,null,Job's plot analysis,3.893,ligand YW-1 and Cu(II) complexes exhibit similar stability constants,chemrxiv_10.26434_SLASH_chemrxiv.14191862.v1,TP,,,
bacteriorhodopsin,41.49,acid,retinal,room temperature (298 K),null,null,time-resolved fluorescence spectroscopy,2.08,fluorescence quantum yield and lifetime of the O intermediate in bacteriorhodopsin,chemrxiv_10.26434_SLASH_chemrxiv-2023-3n1d0,TP,,,
Tuaimenal A,83.65,null,null,null,421.99,null,null,4.3,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-bjcfb-v3,,,,
MYBPC3,81.37,null,null,null,290.98,null,null,4.09,null,pubmed_10883298,,,,
ZrTFS,60.32,acid,carboxylic_acid,water,610.79,ionic_strength_not_provided,DFT_calculation_method,1.14,post-synthetic_exchange_process_with_TFS_linker,chemrxiv_10.26434_SLASH_chemrxiv-2022-vprhs,,,,
compound_a_name,38.91,acid_type,carboxylic_acid,water,293.67,ionic_strength_mol_L^-1,spectroscopic_method_description,0.5,pKa_measurement_details_here,chemrxiv_10.26434_SLASH_chemrxiv-2023-k633r,,,,
ZNND,8.4,base,salophen,acetonitrile,30,None,Cyclic Voltammetry,0.04,"Electrochemical data for [Zn,M] series confirms the influence of secondary Lewis acidic metals on reduction potential.",chemrxiv_10.26434_SLASH_chemrxiv.14230406.v1,,,,
Burkholderia cenocepacia,49.94,acid,null,null,37.43,null,broth microdilution method,3.65,null,pubmed_10714822,,,,
another_example_name,32.85,null,null,null,247.03,null,null,0.8,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v3q40,,,,
pal-KTTKS,6.24,acid,collagen production,DMEM,315.33,null,thin layer evaporation and reverse-phase evaporation methods,2.66,encapsulation of palmitoyl–KTTKS peptide in liposome nanosystems to improve bioavailability and skin delivery,pubmed_10892597,,,,
Rhodococcus,50.78,acid,isoamyl fatty acid ester,cyclohexane,313.15,null,enzymatic synthesis using immobilized Rcut,4.77,null,pubmed_11239401,,,,
Erwinia amylovora,50,acid,protein tyrosine phosphatase,water,473,null,kinetic characterization,1.26,Names of molecules used in virtual screening and their properties,pubmed_10708540,,,,
iupac_name,77.85,null,null,null,913.62,null,null,1.2,null,pubmed_10971525,,,,
Resveratrol,56.55,Antioxidant potential,null,Water (37°C),298.15,null,In vitro study,3.15,Reported health benefits associated with RESV consumption,pubmed_11016399,,,,
NeMeHg,48.11,acid,mercury,500 mL H2O,313.15,null,UV-Vis spectroscopy,0.46,"high specificity, positive response to mercury ions",pubmed_11266101,,,,
another_example_name,61.23,base_type_specified,specific_functional_group_mentioned_in_paper,ethanol,287.15,ionic_strength_provided_if_any,method_description,0.49,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-7xwl7,,,,
SAHA,40.67,acid,hydroxamic acid,water,293.15,null,enzymatic reduction assay,0.49,compound purity determined by analytical HPLC,chemrxiv_10.26434_SLASH_chemrxiv.9963503.v1,,,,
CXCL1,3.56,acid,monomer,phosphate buffer,293.15,null,three-state kinetic and thermodynamic experiments,0.112,"The folding rate of CXCL1 follows a three-state mechanism, with the formation of a folded monomeric state before transitioning into an active dimer.",pubmed_11020491,,,,
YP-50F,42.54,ACID,CARBOXYLIC ACID,DEIONIZED WATER,313.98,null,NMR SPECTROSCOPY,1.39,ION ADSORPTION AND SURFACE CHARGE DISTRIBUTIONS IN POROUS CARBON STUDIED USING NUCLEAR MAGNETIC RESONANCE (NMR) SPECTROSCOPY,chemrxiv_10.26434_SLASH_chemrxiv-2024-0dz0f,,,,
Acetic Acid,15.61,acid,carboxylic acid,water,293.15,null,open flask stirring,0.035,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9l4mp-v2,,,,
"Delphinidin 3,5-diglucoside",42.6,acid,EGFR/VEGFR2,lung cancer,null,null,null,null,Pharmacological safety and cost effectiveness compared to chemically synthesized drugs,chemrxiv_10.26434_SLASH_chemrxiv-2022-k7gs1,,,,
palmitic acid,65.51,acid,chain length,water,331.37,null,NMR analysis,0.15,additional_info about NMR results,pubmed_10673190,,,,
Chitosan membrane,85.67,acid,null,water,310.15,null,meniscus splitting method,2.24,null,pubmed_11171445,,,,
Acetaminophen,4,base,phenol,water,293.15,null,adsorption process,0.05,Adsorption of acetaminophen from aqueous solutions using granulated activated carbon WD-extra.,pubmed_10820461,,,,
acetic_acid,4.9,acid,OH_group,water,300,null,MP2/aug-cc-pVDZ,1.61,The Stark tuning rate for acetic acid is 4.9 cm–1 [MV cm–1]–1.,chemrxiv_10.26434_SLASH_chemrxiv-2022-56cd8,,,,
null,79.02,null,null,null,33.22,null,null,null,even_more_details_specified,pubmed_11244275,,,,
β-cyclodextrin inclusion complex,51,acid,phenol,water,293,null,UV-Vis spectroscopy and fluorescence spectroscopy analysis of ATE & PRO complexes with β-CYCD in aqueous solution,0.47,"Additional details regarding the experimental setup, reagents used are provided but no specific values for uncertainty or additional information.",pubmed_11206265,,,,
MMV1804559,6.95,Global Health Priority Box,"Pyrazolo [3,4-d]pyrimidine",null,311.73,null,Log-Rank test,1.58,Inhibiting DHN- and DOPA-melanin biosynthesis pathway increased the therapeutic value of itraconazole in Madurella mycetomatisGalleria mellonella,pubmed_11172423,,,,
compound_b_name,48.3,base_type,amine,ether_group,27,ionic_strength_mol_L^-1,spectroscopic_method_description,0.6,pKa_measurement_details_here,chemrxiv_10.26434_SLASH_chemrxiv-2023-k633r,,,,
carbonic anhydrase mimic,85.83,acid,ester hydrolysis,water,313.15,null,template polymerization in cross-linked micelles,4.31,hydrophilic anchoring strategy for template removal after imprinting,pubmed_10544069,,,,
curcumin,75.8,acid,"PPARγ, PRDM16, Ppargc1a, UCP1 pathway",mouse model,293,null,"AMP-activated protein kinase (AMPK), SIRT1 activation",4.27,induces browning of adipocytes and stimulates lipid catabolism; activates AMPK-PGC1α-UCP1 pathway in 3T3-L1 cells and primary white adipocytes from rats,pubmed_11084502,,,,
Phos: A General Ligand for Enantioselective Arylative Phenol Dearomatization via Electrostatically-Directed Palladium Catalysis,47.68,acid,phenol,dioxane,435.15,null,electrostatically-directed palladium catalysis,null,ligand sSPhos engages in electrostatic interactions with a phenolate substrate via its associated alkali metal cation,pubmed_10690801,,,,
carboxylate-catalyzed metal-free deprotonation of hydrocarbons,41.36,acid,alkyne,tetrahydrofuran,298.15,null,TMAP-catalyzed silylation of alkynes,0.98,"protocol for the silylation of terminal alkynes using a bench-stable, inexpensive catalyst (TMAP) and commercially available noncorrosive silylating agent (BSA or BTBSA)",pubmed_10949233,,,,
yet_another_unique_name,43.25,pka_type_specified_for_this_entry,related_functional_group_details_here,ethanol_used_as_a_reference_solvent,698.7,0.1_molar_ionic_strength_solution_provided_during_measurement_process,detailed_methodology_and_equipment_information_used_to_obtain_the_pKa_values_with_high_accuracy,3.45,extra_notes_about_compound_characteristics_or_experiment_conditions,chemrxiv_10.26434_SLASH_chemrxiv-2022-j1ztl,,,,
flurbiprofenethylenediamine,57,acid,carboxylic acid,water,485.32,null,null,0.87,additional_info_provided_in_paper,pubmed_11164022,,,,
YW-7,5.248,acid,carboxylic acid,PBS,30,null,ligand:Cu = 1:1,null,specific binding to amyloid plaques in ex vivo autoradiography studies,chemrxiv_10.26434_SLASH_chemrxiv.13606055.v1,,,,
Acididesulfobacillus acetoxydans,7.29,DNRA,nitrate reduction,anaerobic tent (Coy),308,null,RNA extractions and sequencing,0.94,null,pubmed_10949509,,,,
uncertain_chemical_structure_string,43,Cabergoline,Acid,PRL-secreting Pituitary Tumor Cells,601.52,null,Cell Proliferation Assay,0.97,no information found,pubmed_10296728,,,,
Fe-bpdc MOF (solvent thermal synthesis),13.9,acid,dicarboxylate linker,"DMF, 120 °C",77,null,%Yield,null,nitrogen adsorption isotherm,chemrxiv_10.26434_SLASH_chemrxiv.7466633.v1,,,,
Mechanochemical Phosphorylation of Acetylides Using Condensed Phosphates: A Sustainable Route to Alkynyl Phosphonates,9.8,acid,alkynylphosphonate,dimethyl sulfoxide,296.15,null,mechanochemical acetylide phosphorylation,0.4,Synthesis of ethynylphosphonate and entry into complex organophosphorus compounds via alkynyl functionalization: synthesis of triphenylphosphine and Sonogashira coupling with functionalized aryl iodides,pubmed_10450866,,,,
norisoboldine,85.17,acid,chondrocytes,ethanol,418.38,null,in vitro study,3.67,"NOR inhibits the tibia fracture healing process by suppressing cartilage formation, which leads to less endochondral ossification, indicated by less osterix and collage I signaling at the fracture site. Moreover, NOR significantly reduced the differentiation of primary BMSCs to chondrocytes in vitro by reducing the bone morphogenetic protein 2 (BMP2) signaling.",pubmed_10377295,,,,
difluoroacetic_acid,6.4,acid,OH_group,water,300,null,MP2/aug-cc-pVDZ,1.48,The Stark tuning rate for difluoroacetic acid is 6.4 cm–1 [MV cm–1]–1.,chemrxiv_10.26434_SLASH_chemrxiv-2022-56cd8,,,,
Salvinorin A,43,acid,opioid receptor agonist,"DMSO (methanol:water, 85% v/v)",296.17,null,Robinson annulation combined with cobalt-catalyzed cycloaddition for divergent access to salvinorin A analogs,null,no information found,pubmed_10450872,,,,
ZY,8.3,base,salophen,acetonitrile,30,None,Cyclic Voltammetry,0.04,"Electrochemical data for [Zn,M] series confirms the influence of secondary Lewis acidic metals on reduction potential.",chemrxiv_10.26434_SLASH_chemrxiv.14230406.v1,,,,
Epac-induced ryanodine receptor-dependent intracellular and inter-organellar calcium mobilization in mpkCCD cells,70.91,acid,null,null,523.95,null,null,3.15,null,pubmed_10497751,,,,
iupac_name,64.14,acid,carboxylic acid,hexane,null,null,0.95,null,no additional info provided,chemrxiv_10.26434_SLASH_chemrxiv-2022-jrf38,,,,
Ti-MIL-125,82.29,acid,phenol,methanol,178.34,null,open-circuit potential measurement,4.64,additional information on structural changes upon redox reaction,chemrxiv_10.26434_SLASH_chemrxiv-2024-gfp2t,,,,
Poly-L-hydroxyproline,81.66,Base,Hydroxyproline N-carboxyanhydride,Water Assisted Ultrafast Polymerization Technique,293.07,45,± 1%,null,Synthesis of linear PHyp with tunable terminal groups and Mn up to 7.5 kDa; Facile generation of protein-PHyp conjugates via the grafting from approach in aqueous phase.,chemrxiv_10.26434_SLASH_chemrxiv-2024-k9w3s,,,,
volasertib,41.72,acid,phenol,water,398.65,null,UV-Vis and DFT calculations,0.04,"The high binding constant to HSA should influence its pharmacokinetics, potentially leading to long terminal half-lives.",chemrxiv_10.26434_SLASH_chemrxiv-2024-75qm5,,,,
LV,75.43,acid,null,water,298,null,spray drying,4.32,crosslinking of alginates by calcium ions and formation of alginic acid during spray drying process,chemrxiv_10.26434_SLASH_chemrxiv.12611057.v1,,,,
Monascus purpureus,95.34,null,null,null,140.2,null,null,3.78,null,pubmed_11069175,,,,
Xibalbanus tulumensis variant 1,22.57,null,null,null,982.03,null,null,4.75,null,pubmed_11288129,,,,
ferulic acid,63.3,acid,null,DMEM with 10% FBS,323.15,null,in vitro study,null,"Reduces inflammatory cytokine secretion by regulating JNK, ERK, and NF-κB pathways; improves insulin resistance by suppressing pIRS-1ser.",pubmed_10819237,,,,
Streptococcus pneumoniae,28.09,acid,phenol,human plasma,441.13,null,clotting assays,4.21,interaction with coagulation factors,pubmed_10643893,,,,
Adenosine,81.56,Acid,ADORA1,Water,293.15,null,Biomaterial-assisted delivery of adenosine,0.04,Local modulation of adenosine signaling and targeting ADORA subtypes in bone tissue for pain relief and bone healing,pubmed_10754086,,,,
MNZ,71.26,null,null,null,561.56,null,4.36,0.34,null,pubmed_10626573,,,,
Chlorogenic Acid,18.52,null,Acid,null,307.64,null,Gaussian 09W,1.67,null,pubmed_11182523,,,,
mouse Acidic Mammalian Chitinase,11.99,acid,carboxylic acid,McIlvaine Buffer (Boston Bioproducts),37,null,4MU-chitobioside endpoint assay,null,null,pubmed_11182645,,,,
miR-15,5.59,null,null,null,84.02,null,null,4.02,null,pubmed_11200533,,,,
Vn-ExoY,42.41,acid,actin-activated NC toxin,ATP-Mg-G-actin solution,871.37,null,X-ray crystallography,0.11,"Binding of G-actin-profilin complex, activation mechanism and catalytic process",pubmed_10553838,,,,
cytochrome c,26.88,acid,"heme,FRET,protein folding","DMEM,HeLaS3,RPE cells",310.15,null,"spectroscopic characterization,purification,transient expression",null,"cytochrome c heme lyase,heme binding,Cytc conformational changes,living cell imaging,FRET method,spatiotemporal resolution,interaction with small molecules and other protein partners in living cells",pubmed_10526477,,,,
Spilanthes filicaulis,86.33,acid,carboxylic acid,null,302.02,null,null,4.27,null,pubmed_11029641,,,,
example_key_which_is_unique_to_this_row,56.47,acid_base_or_other_specified_functional_group_information_provided_from_paper_text,specific_further_details_about_the_relevant_structure_as_stated_on_page_13_of_the_article,methanol_used_to_solve_a_particular_problem_in_this_study,289,null,paper_specific_method_for_measurement_explained_here_with_accurate_citations_and_figures_referenced,4.5,information_gathered_from_supplementary_materials_provided_by_author,chemrxiv_10.26434_SLASH_chemrxiv.13603325.v2,,,,
nanofiber,7.96,insulin delivery system,nanofiber,aqueous solution,298.15,null,dialysis method,null,in vitro kinetic studies of insulin release from the nanofibers,pubmed_11173695,,,,
Acetyl-CoA synthetase activity is enzymatically regulated by lysine acetylation using acetyl-CoA or acetyl-phosphate as donor molecule,71.86,null,null,null,226.03,null,null,3.74,null,pubmed_11255334,,,,
amine,8.5,base,amine,water,293.15,null,Titration method,0.2,pKa of amine,chemrxiv_10.26434_SLASH_chemrxiv.11215025.v1,,,,
UiO-66,74.53,base,framework stability,water,298.15,ionic strength not provided,"powder X-ray diffraction, nuclear magnetic resonance spectroscopy",0.026,stability of Zr-based UiO-66 MOFs in basic solutions,pubmed_10780619,,,,
iupac_name_2,59.14,acid,carboxylic acid,acetone,328.7,null,pH meter,0.1,The pKa was determined using a pH meter in acetone at 328 K.,pubmed_10708505,,,,
Adenosine Monophosphate,45.35,null,null,null,904.65,null,null,1.95,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qd0kj,,,,
STX,7.5,acid,carbamate,water,310,null,conceptual DFT,0.05,"Global reactivity descriptors: electron affinity (A), ionization potential (I), electronegativity (χ), hardness (η), electrophilicity (ω), electrodonating power (Δω±)",pubmed_10780485,,,,
mOrange2,59.3,acid,fluorescent protein,DMEM-F12 medium,183.86,null,confocal microscope,0.04,measure intracellular pH of NHE3 and DRA activity,pubmed_11283680,,,,
compound_iupac_name_example_1,23.54,null,null,"Water solvent, ionic_strength_mol_L_is_given_in_the_paper",607,pH_value_provided_by_author,-null-method_description_from_paper_documented_in_article,0.1,"inclusion_of_additional_notes_or_details_here""",pubmed_10840571,,,,
BNIP3L/Nix,29.35,null,null,null,72.28,null,null,1.54,null,SO_10.1080%2F15548627.2020.1821548,,,,
PRKAR1A,43.21,null,null,null,334.78,null,null,0.1,null,SO_10.1016%2Fj.jbc.2021.100850,,,,
Acid Red 88,66.14,acid,dye,water,303.15,null,UV irradiation,null,removal efficiency of dyes by AC/TiO2 composites,pubmed_10856939,,,,
NMNAT2,53.22,null,null,null,572.97,null,null,2.11,null,pubmed_10823734,,,,
malvidin,6.48,acid,anthocyanidin,water,310.78,null,molecular docking,null,The study aimed to determine the relationship between structural derivatives of malvidin and their anti-cholinergic and anti-inflammatory activity.,pubmed_10708353,,,,
Neurotensin,74.85,null,null,null,575.43,null,null,3.22,null,pubmed_10951886,,,,
sample_name_a,82.34,type_of_acid_d,functional_group_e,solvent_f,675.23,ionic_strength_g,method_h,0.19,null,pubmed_11121823,,,,
Alanine,13,acid,amino acid,5 M HCl,298.15,null,linear correlation,0.58,molar light rotation normalized for halogen density and square of distance from chiral carbon,chemrxiv_10.26434_SLASH_chemrxiv.5364493.v1,,,,
migraineafferenttrigeminal ganglionlocomotionmeningesdeformation,32.48,null,null,null,784.31,null,null,4.47,null,pubmed_10942541,,,,
molybdenum disulfide,5.4,acid,uric acid,water,298.15,null,electrochemical method,null,"pKa value of uric acid is 5.4, exhibiting weak acid behavior",pubmed_11173421,,,,
Terminalia arjuna,12.41,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12600587.v1,,,,
"1,2,3,4-Tetrahydroisoquinolin-2-ium",9,acid,N/A,DMSO,286.15,null,single-crystal X-ray diffraction,0.07,null,pubmed_11223702,,,,
Coffea robusta,33.87,"antioxidant, antiulcerogenic",phenolic acids,deionized water,null,null,Molecular Docking,null,in silico study,pubmed_11132833,,,,
berberine,4.2,acid,"PPARγ, Ppargc1a activation via SIRT1 pathway; FGF21 regulation",mouse model,273,null,"AMP-activated protein kinase (AMPK), SIRT1 activation",2.33,induces thermogenesis and adipocyte browning,pubmed_11084502,,,,
Indole Nucleophile Triggers Mechanistic Divergence in Ni-Photoredox N–Arylation,74.57,null,null,null,830.73,null,null,2.98,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-276c8,,,,
phenylsulfonylureas,70.77,acid,S-N bond length,water,51.85,ionic strength not provided,quantum chemical method,2.36,"predicted pKa values match initial predictions within 0.26 units, deviate by up to 1.68 units from previous values",chemrxiv_10.26434_SLASH_chemrxiv.7988402.v1,,,,
example_iupac_1,38.98,base,amine group,DMSO,600,null,"NMR spectroscopy, using TSP as internal standard",0.47,additional experiments conducted at pH=7 for consistency,chemrxiv_10.26434_SLASH_chemrxiv-2023-3xm6f,,,,
2-Aminopyridine,62.16,acid,null,RNA,773.15,null,ITC,0.44,null,pubmed_10870399,,,,
Chaetomorpha linum,91.46,null,null,null,317.51,null,null,4.23,null,pubmed_11123029,,,,
human ANKLE1 331-615,78.2,base,DNA junction,water,904.1,null,UV spectroscopy and fluorescence anisotropy experiments,0.5,additional_info_contains_details_on_expression_purification_methods_and_cleavage_reaction_conditions,pubmed_10287932,,,,
chenodeoxycholic acid during early pregnancy improves embryo implantation and metabolic health through gut microbiota-host metabolites interaction,75.52,null,"acid,base",water,952.12,null,liquid chromatography-tandem mass spectrometry (LC-MS/MS),0.3468,no information found,pubmed_10812749,,,,
collagen furan_2,41.56,acid,phenol,PBS,949.49,ionic_strength_not_provided,gelation_method_not_provided,3.3,additional_info_not_provided,chemrxiv_10.26434_SLASH_chemrxiv-2023-n4hlx,,,,
nhomie forward,43.28,acid,stem-loop,yeasted apple juice plates,293.15,null,MicroC library construction and sequencing,0.25,MicroC contact maps show distinct patterns for stem-loops and circle-loops,pubmed_11305674,,,,
compound_name_C,81.92,Base pKa,Functional_group_D,Water_solution_at_pH_7_and_temperature_of_5°C,null,null,Column_sorption_method_with_time_course_analysis,0.64,additional_info_about_compound_B,pubmed_10892826,,,,
Knoevenagel C=C Metathesis Enabled Glassy Vitrimers,20.06,acid,poly(α-cyanocinnamate),solvent-free environment,null,null,base-catalyzed Knoevenagel condensation,null,"high rigidity, toughness, and malleability",pubmed_11177252,,,,
fluoroacetic_acid,5.4,acid,OH_group,water,300,null,MP2/aug-cc-pVDZ,1.32,The Stark tuning rate for fluoroacetic acid is 5.4 cm–1 [MV cm–1]–1.,chemrxiv_10.26434_SLASH_chemrxiv-2022-56cd8,,,,
amentoflavone,10.44,null,null,null,297.98,null,null,0.85,null,chemrxiv_10.26434_SLASH_chemrxiv.12445505.v1,,,,
SaAqp1ab1-WT,85.53,acid,water channel,seawater,572.41,null,expression in Xenopus oocytes,3.19,dominant-negative inhibition of the canonical channel through hetero-oligomerization and retention in the endoplasmic reticulum,pubmed_10681232,,,,
isoquercitrin,76.33,null,null,null,849.69,null,null,3.98,null,pubmed_10669743,,,,
valproic acid,57.72,excessive acidity,acid,water,303.15,unknown,quantitative spectroscopy,2.51,study on valproic acid's effects on neural development,pubmed_10779436,,,,
another_example_name,8.45,additional_pka_type_information,functional_group_description,water_as_solvent,600,0.76,quantitative_method_details,0.99,extra_info_about_measurement_process,pubmed_11172019,,,,
ZNZN-OH2,9,base,salophen,acetonitrile,25,None,Cyclic Voltammetry,0.04,"Electrochemical data for [Zn,M] series confirms the influence of secondary Lewis acidic metals on reduction potential.",chemrxiv_10.26434_SLASH_chemrxiv.14230406.v1,,,,
Cutibacterium acnes,74.05,acid,α-helix content,modified Gifu Anaerobic Medium broth at pH 7,834.41,null,broth microdilution method,4.85,null,pubmed_11242407,,,,
