iupac_name,smiles,inchi,pka_value,pka_type,functional_group,solvent,temperature,ionic_strength,method,uncertainty,additional_info,paper,"TP,TN,FP,FN",Human Notes,,,,,
,null,null,36.74,acid,carboxylic acid,water,298.15,null,HPLC',0.2,additional information about the pKa measurement or compound',Pubmed_10994658,FP,PKA refers to protein kinase A in this paper,,,,,
,Aspergillus nidulans,https://orcid.org/0009-0008-3241-8889,72.1,acid,gfdB,null,null,null,"Methodology, Software, Validation, Formal analysis, Investigation, Data curation, Writing – original draft, Writing – review & editing, Visualization, Funding acquisition",0.77,no additional information found,Pubmed_11051529,FP,PKA refers to protein kinase A in this paper,,,,,
,Gravi-D,"InChI=1S/NCC(=O)NC(COC(=O)NH2)(CCCCCCCN3CCCCCC)/c1-5-6(7)8-9-10(11,14)12-13(15)16/h3-4,10-11H,1-2H2,(H,16),5-6H3,(H,7,14)",6.3,acid,HDAC11 binding domain,null,298.15,null,Experimental peptide method,null,Inhibits the pool of HDAC11 that associates with gravin-α to stimulate adipocyte thermogenic signaling,Pubmed_11060728,FP,PKA refers to protein kinase A in this paper,,,,,
compound 1,S5,S5,9.6,acid,carboxylic acid,water,300.15,null,NMR spectroscopy,null,no additional information found,Pubmed_11095225,FP,"info present, but not numerical data on pKa",,,,,
compound 2,S6,S6,8.7,acid,carboxylic acid,water,300.15,null,NMR spectroscopy,null,no additional information found,Pubmed_11095225,FP,“,,,,,
Pseudomonas putida,P54595,C6WYA8,36.37,S-component,<no value>,null,null,null,<no value>,null,<no value>,pubmed_11109136,FP,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,77.03,acid,carboxylic acid,<no value>,298.15,<no value>,<no value>,3.51,<no additional information found>,Pubmed_11263020,FP,PKA refers to protein kinase A in this paper,,,,,
null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-2t0dq-v3,TN,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-7tbjx,TN,,,,,,
,<no value>,<no value>,null,<no value>,null,<no value>,298.15,null,<no value>,null,<no value>,chemrxiv_10.26434_SLASH_chemrxiv-2022-gl2gt,TN,,,,,,
,<no value>,<no value>,null,acid,enolate,<no value>,null,null,<no value>,null,<no value>,chemrxiv_10.26434_SLASH_chemrxiv-2022-j8nwb-v2,TN,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-rp7kd,TN,,,,,,
,<no value>,<no value>,null,C-H Arylation,<no value>,null,null,null,Pd/dcypt catalysis,null,<no value>,chemrxiv_10.26434_SLASH_chemrxiv-2022-wfhc5,TN,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-8sbll-v2,TN,,,,,,
,<no value>,<no value>,null,carbonic anhydrase,null,null,null,null,in vitro phosphorylation,null,The most prevalent carbonic anhydrase PTM is phosphorylation,chemrxiv_10.26434_SLASH_chemrxiv-2023-r1cs3,TN,,,,,,
,<no value>,<no value>,null,gem-difluorinative ring-expansion,<no value>,<no value>,null,null,<no value>,null,<no value>,chemrxiv_10.26434_SLASH_chemrxiv-2024-0wf3l,TN,,,,,,
,<no value>,<no value>,null,acetonitrile,water clustering,298.15,null,bulk aprotic electrolyte,null,null,microheterogeneous water clusters lead to significant amounts of CORR products (methane and ethylene) with a maximum ethylene Faradaic efficiency of 22% in acetonitrile,chemrxiv_10.26434_SLASH_chemrxiv-2024-pq2kg,TN,"paper mentions pKa, but no specific values for individual molecules, only mixtures",,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.12834977.v3,TN,pKa was measured but not reported in paper,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.14292119.v1,TN,,,,,,
,<no value>,<no value>,null,decarboxylative coupling,aryl,null,null,null,null,null,This work,chemrxiv_10.26434_SLASH_chemrxiv.9863363.v1,TN,only relative pKa discussed,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.9942038.v1,TN,,,,,,
,<no value>,<no value>,null,conformational transition,<no value>,<no value>,298.15,null,"finite-temperature string method, molecular dynamics simulations",null,<no value>,pubmed_10332359,TN,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,pubmed_10365893,TN,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,<no value>,null,<no information found>,Pubmed_10436748,TN,,,,,,
,<no value>,<no value>,null,Wnt,Axin/GSK-3 complex,null,null,null,Canonical Wnt pathway,null,null,pubmed_10528086,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,acid,<no value>,null,null,null,HPLC-MS/MS,null,<no information found>,pubmed_10541192,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,This information was not provided in the paper.,Pubmed_10604656,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,HPLC-MS/MS,null,This paper does not contain experimental pKa values or related information for compounds.,pubmed_10626707,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Review Article,null,<no value>,pubmed_10772180,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,null,null,null,null,null,<no value>,null,<no value>,pubmed_10778733,TN,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,not applicable,null,This paper does not contain experimental pKa values or related information for compounds.,pubmed_10779874,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,<no value>,null,null,<no value>,null,<no value>,Pubmed_10800791,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,null,null,null,null,null,RNA-seq,null,This study used RNA sequencing to analyze the differences between chicken ESCs and PGCs.,Pubmed_10812757,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,PKA,Creb1,null,null,null,In silico,null,"This study demonstrates that TAS1R3 is a key regulator of male reproduction, particularly testosterone biosynthesis, via PKA/CREB/StAR signaling.",Pubmed_10835302,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,catalase,null,null,null,null,biochemical characterization,null,This data is not explicitly provided in the paper.,Pubmed_10839757,TN,no data,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Not applicable,null,This paper does not contain any experimental pKa values or related information for compounds.,Pubmed_10866413,TN,no data,,,,,
,<no value>,<no value>,null,unknown,null,null,null,null,unknown,null,NMP peptides modulate NMDAR-dependent neuronal signaling to promote changes in gene expression,Pubmed_10881162,TN,no data,,,,,
,<no value>,<no value>,null,NAAA,hydrolase,<no value>,null,null,<no value>,null,<no value>,Pubmed_10894261,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,H+proton translocating pyrophosphatase (H+pHluorin),<no value>,<no value>,null,null,<no value>,null,<no value>,Pubmed_10976212,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,acid,hydroxide,null,null,null,null,null,This compound was not found to have a reported pKa value.,Pubmed_10976569,TN,"info present, but not numerical data on pKa",,,,,
,<no value>,<no value>,null,null,null,null,null,null,<no value>,null,<no information found>,Pubmed_10988123,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,Pubmed_11079205,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,This paper does not contain any experimental pKa values or related information.,Pubmed_11111587,TN,no data,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,Pubmed_11129193,TN,computed pKas = garbage,,,,,
,<no value>,<no value>,null,pKa,<no value>,<no value>,null,null,null,null,null,pubmed_11140865,TN,no data,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,Pubmed_11151483,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,Pubmed_11151932,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,HCl/MeOH (1:9),null,null,Pubmed_11169797,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,phenol,<no value>,null,null,null,<no value>,null,<no value>,Pubmed_11170973,TN,no data,,,,,
,<no value>,<no value>,null,BAP1,null,null,null,null,null,null,This study does not report experimental pKa values for any compounds.,Pubmed_11188379,TN,no data,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,Pubmed_11271308,TN,PKA refers to protein kinase A in this paper,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,"This study examines the integrated haemodynamic, endocrine and renal effects of osteocrin in normal sheep.",Pubmed_11291853,TN,PKA refers to protein kinase A in this paper,,,,,
,null,null,22.13,acid,carboxylic acid,water (solvent),748.59,0M,Arrhenius-type model,1.07,additional information not provided,chemrxiv_10.26434_SLASH_chemrxiv.12176865.v1,TP,"many more pKas than this in paper, with given names",,,,,
The provided text appears to be a series of figures and tables related to chemical reactions and spectroscopy experiments. It includes various compounds such as sodium glycolate (5),sodium acetate (6),sodium oxalate (10),7,sodium malonate (8),methanol (4),sodium mesoxalate (23),18.3,NaH13CO3,Na2SO3,4,5-dicyanoimidazole (DCI) in some experiments.,chemrxiv_10.26434_SLASH_chemrxiv.13692772.v1,TP,"nonsense, but there were pKas reported",,,,,
,BiVO4,"InChI=1S/BiO2V2O5/c1-3-6(7)9-8(2)10(5)11(4)12/h1-2,4-5,7-8,10H2,1-3O2,9O3",35.76,acid,V=O,water,297.15,0.1M Na2SO4,UV-Vis spectroscopy,1.48,,Pubmed_10456310,TP,"very wrong data, but there was pKa info in there",,,,,
,null,null,94.25,null,null,null,167.88,null,null,0.95,null,Pubmed_10669409,TP,"very wrong data, but there was pKa info in there",,,,,
,Bi2634,"InChI=1S/Bi2O5/c1-2(3)4-5/h1H,2H2,(3,4,5)(6,7,8)H3/q+2/m0/s1",42.27,acid,Bi-O bond,water,298.15,0.1 M NaCl,UV irradiation (365 nm),0,,Pubmed_10700395,TP,"pKa data present, but this is very wrong",,,,,
,null,null,9.19,base,hydroxyl,water,298.15,0.1,photoredox catalysis,3.28,no additional information found,pubmed_10856544,TP,"pKa data present, but this is very wrong",,,,,
,null,null,85.13,pseudopeptidic cage,Tyr residue within the cage cavity,null,816.17,0,null,2.34,Cage-PP binding studied by Fluorescence Emission,Pubmed_10859922,TP,"pKa data present, but this is very wrong",,,,,
,TA-PEG,null,7.45,acid,carboxylic acid,water,298.15,0.1M NaCl,potentiometric titration,0.03,This compound is a supramolecular fluorescence sensor designed for the recognition of PA.,Pubmed_10915586,TP,"pKa data present, but this is very wrong",,,,,
,<no value>,<no value>,10.339,acid,doxorubicin,water,298.15,null,pH-sensitivity study,null,null,Pubmed_10970284,TP,"pKa data present, but this is very wrong",,,,,
,<no value>,<no value>,10.41,acid,OH group,water,298.15,null,electrochemical open-circuit potential measurement,null,null,Pubmed_10996003,TP,"pKa data present, but this is very wrong",,,,,
,[CC(=O)N(C(=O)[NH3+])C(=O)NC1=CC=CC=C1],"[InChI=1S/C9H14N2O6/c1-8(5)7-6(9)10-3-4-2/h1-8H,5-7H2,9H3,(H,10,11)/t10+,11-,12+,13-",2.83,acid,carboxylic acid,water,298.15,0.1M,potentiometric titration,0.03,This compound is a carboxylic acid and its pKa was determined by potentiometric titration in water at 25°C with an ionic strength of 0.1 M.>,Pubmed_11075012,TP,"pKa data present, but this is very wrong",,,,,
,[Co(aPPy)Br]Br,"InChI=1S/Co.Br2/c1-4-5-3/h1H,2H3,(H2,4,5)/t3-,4+/m0/s1",7.6,acid,pyridine,DMF,298.15,null,cyclic voltammetry,null,"Electrochemical studies of the Co(aPPy) complex for proton reduction in organic solvents, specifically DMF. The complex was found to undergo redox events and catalytic activity in the presence of strong acids such as HBF4.",Pubmed_11080059,TP,"pKa data present, but this is very wrong",,,,,
metformin,C1CC(=O)NC(=O)Nc1ccncc1S([H])[CH2]O\C=O\C=[N+]([H])=O,"InChI=1/C9H13NO4/c1-8(5,6)7-10(9)4-3-2/h3-6H,1H2,(H,7,8)/t3-,4+/m0/s1",7.1,acid,glucose metabolism,null,null,null,not provided,null,not provided,Pubmed_11117706,TP,"pKa data present, but this is very wrong",,,,,
,<no value>,<no value>,10.47,acidic proton,H-atom abstraction,null,298.15,null,potentiometric titration,null,The pKa of the nitrogen centered radical cations (X) was determined by potentiometric titration in acetonitrile.,Pubmed_11191127,TP,"begrudgingly tp, I did not specify to not include calculated value",,,,,
,NBICS Technologies,null,51.06,complex of N-methylmesoporphyrin IX with mercury(II) ion,mercurated porphyrin complex,null,298.15,null,"UV-Vis spectroscopy, potentiometric titration",null,no uncertainty provided,Pubmed_11266101,TP,"pKa data present, but this is very wrong",,,,,
,Ruellia tuberosa,<no value>,null,acid,null,<no value>,298.15,null,Freeze-drying technique,null,<no information found>,pubmed_11142852,,,,,,,
,<no value>,<no value>,null,promoter,<no value>,null,null,null,in silico analysis,null,<no value>,pubmed_10687476,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,This paper does not provide experimental pKa values.,pubmed_10609598,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,HCl/EtOH,null,null,pubmed_11050338,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2021-pm752-v2,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.11462085.v1,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Experimental method,null,Additional information,pubmed_10924210,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_10701729,,,,,,,
,<no value>,<no value>,null,base,phosphorylation of endothelial nitric oxide synthase (eNOS),<no value>,null,null,real-time RT-PCR and ELISA,null,Impaired auto/paracrine endothelial CNP/GC-B/cGMP signaling leads to increased expression of proinflammatory E-selectin and VCAM-1 and diminished activity of eNOS.,pubmed_11277478,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,pubmed_10955164,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,<no value>,null,<no value>,pubmed_10974743,,,,,,,
,<no value>,<no value>,null,pKa not reported,null,null,null,null,null,null,null,pubmed_10533412,,,,,,,
,<no value>,<no value>,null,acid,phosphate,<no value>,null,null,titration,null,<no value>,pubmed_11067347,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_11205669,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,This work is licensed under a Creative Commons Attribution 4.0 International License,pubmed_10350233,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-lnz4f,,,,,,,
,SARS-CoV-2 Spike Glycoprotein,null,null,pH-dependent conformational changes,Fusion peptide proximal region (FPPR),null,null,null,"Molecular dynamics simulations, pH-replica exchange molecular dynamics",null,The study did not provide specific pKa values or uncertainties. The paper focused on exploring the possible pH-dependent conformational equilibrium of the FPPR within the SARS-CoV-2 spike glycoprotein and did not report any experimental measurements of pKa.,pubmed_11281432,,,,,,,
,chitosannanofiber,"InChI=1S/C14H23N5O11/c1-6(7)9-10(8)11-12(13,14)15-16(17)18-19(20)21-22(23)24-25(26)27/h3-5,7-10,12-14H,1-2,6,8,9,11,15,16,18,19,21,22,24,25,26,27H2",8.3,acid,insulin,water,298.15,0.1M HCl,UV-visible spectroscopy,0,"The release of insulin from nanofiber proceeds via burst release necessary to produce the desired therapeutic activity, followed by slow step.",pubmed_11173695,,,,,,,
,<no value>,<no value>,null,biodegradation,N-dealkylation,water,298.15,null,Controlled laboratory experiment using a mixed enrichment culture derived from a contaminated industrial site,null,"Negligible carbon and significant inverse nitrogen isotope fractionation was observed during aerobic biodegradation of 2,3-dichloroaniline (2,3-DCA) via dioxygenation",chemrxiv_10.26434_SLASH_chemrxiv-2022-wcjjj,,,,,,,
,Radix Paeoniae Rubra,CID_1234567890,53.28,acid,hydroxyl group,null,null,null,HPLC-MS/MS,null,null,pubmed_10826791,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,"This work was supported in part by the National Science Center, Poland, grant 2015/16/W/ST5/00413 and the Ministry of Science and Higher Education within the project POL-OPENSCREEN (decision no. DIR/WK/2018/06 of 24 October 2018).",pubmed_11119693,,,,,,,
,SMILES not provided,InChI not provided,91.57,base,methylene blue,water,298.15,0.1 M NaCl,UV-visible spectrophotometry,4.4,"Additional information: The study aimed to compare the adsorptive capacity of the naturally derived adsorbent, Fe3O4, for the removal of methylene blue from synthetic wastewater.",pubmed_10698139,,,,,,,
,<no value>,<no value>,null,null,<no value>,null,298.15,null,<no value>,null,<no value>,pubmed_10672974,,,,,,,
,<no value>,<no value>,97.99,acid,calcium,null,558.3,null,titration curve,null,The pKa of calcium in water,pubmed_10466197,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,pubmed_11213865,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-013k3,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,<no value>,pubmed_10407544,,,,,,,
,<no value>,<no value>,41.89,acid,malonate,null,300.15,null,Au-catalyzed C-H bond functionalization,null,The challenging gold-catalyzed α−C-H bond functionalization of tertiary amine was achieved via the intermediacy of a reactive α- imino gold carbene and thanks to the crucial presence of a malonate blocking group.,chemrxiv_10.26434_SLASH_chemrxiv-2022-l2mlb,,,,,,,
,<no value>,<no value>,null,kinase activity,null,<no value>,null,null,DNA-based kinase assay,null,<no information found>,pubmed_11263872,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,This paper does not contain any experimental pKa values or related information.,pubmed_11200644,,,,,,,
,<no value>,<no value>,null,acid,null,null,null,null,null,null,<no value>,pubmed_10626211,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,<no value>,null,<no value>,<no value>,null,<no information found>,pubmed_10855675,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_10395100,,,,,,,
,<no value>,<no value>,null,acid,hydroxyl,null,null,null,null,null,null,pubmed_11016399,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Laser desorption/ionization-mass spectrometry,null,<no value>,pubmed_10448071,,,,,,,
,<no value>,<no value>,null,pH,<no value>,null,null,null,<no value>,null,<no value>,pubmed_11199193,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-rf3dk-v3,,,,,,,
,<no value>,<no value>,null,acid,hydroxyl,null,null,null,null,null,Chitosan nanocrystals synthesis via aging and application towards Alginate hydrogels for Sustainable Drug Release,chemrxiv_10.26434_SLASH_chemrxiv.14541909.v1,,,,,,,
,<no value>,<no value>,7.35,acid,lysine,water,298.15,0.01M,constant pH Monte Carlo,4.66,simulation,chemrxiv_10.26434_SLASH_chemrxiv-2023-8s081-v2,,,,,,,
,<no value>,<no value>,null,mTOR,,,null,null,Not provided,null,,pubmed_11106905,,,,,,,
,<no value>,<no value>,null,not specified,not specified,not specified,null,not specified,not specified,null,This paper does not provide experimental pKa values for any compounds.,pubmed_10917225,,,,,,,
