iupac_name,pka_value,solvent,temperature,functional_group,uncertainty,additional_info,paper,"TP, TN, FP, FN",Human Notes,,,,,
null,null,null,null,null,null,null,Pubmed_10348772,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-27934,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_10412880,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-j1bgd,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_10390263,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-06bv8,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-707rs-v3,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_10709146,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rvkg6,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-xxcfb,TN,,,,,,
null,null,null,null,null,null,null,pubmed_10823476,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0d815-v3,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-75f22-v2,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-2ndlx-v2,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_10848417,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_11323023,TN,"pkas in SI, but not paper proper",,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-kn9w8,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-wqmdv,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dgmp9,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wtv9l,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-278n2-v3,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-lvvtz,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_11006765,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-fvd6p,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-chjqg,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hgwv3,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_11122002,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9sbjn-v3,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d3fhc,TN,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-zxbzz,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_11411808,TN,,,,,,
null,null,null,null,null,null,null,Pubmed_10407821,TN,,,,,,
Acetic acid,4.756,null,298.15,-COOH,null,null,arxiv_0611211v1,TP,Beautiful,,,,,
N-hydroxyheptafluorobutyramide (HFBA),4.5,ethanol,298.15,hydroxamic acid,null,doping experiment for 24 hours,arxiv_0702198v1,TP,Beautiful,,,,,
Propanoic acid,4.87,null,null,COOH,null,Calculated using HF and B3LYP methods,arxiv_2007.13070v1,TP,Beautiful,,,,,
nitrous acid,3.257,freshwater,278.15,null,0.003,calibrated on NBS scale,chemrxiv_10.26434_SLASH_chemrxiv-2023-3hbvq,TP,Perfect,,,,,
Phenylalanyl-Phenylalanyl-Aspartic acid,5,phosphate buffer,298.15,C-terminal carboxylic group,null,pH range 4-6,chemrxiv_10.26434_SLASH_chemrxiv-2023-4ssgd,TP,Nice,,,,,
Acetic acid,4.76,dichloromethane,298.15,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-906jv,TP,Perfect,,,,,
Hydroxyl groups on γ-Al2O3 surface,0.12,γ-Al2O3 surface sites,0,Brønsted acid,null,Estimated from δiso(109Ag) = 598 ppm using linear correlation,chemrxiv_10.26434_SLASH_chemrxiv-2023-cxlm1-v3,TP,"Unfortunate issue of sentence structure caused it to get the wrong value: “...pKa values of approx. 12 and 7...” the approx. abbreviation made it treat the 12 as a decimal, instead of just 12",,,,,
7a,3.85,DMSO,318.15,anilinic nitrogen,null,"measured pKa, significant disruption of resonance",chemrxiv_10.26434_SLASH_chemrxiv-2023-g1b0d,TP,"temp may be incorrect, rest is correct",,,,,
compound with IUPAC name not provided,3.9,80:20 methanol:water solution,296.15,null,null,first protonation of cage 3a,chemrxiv_10.26434_SLASH_chemrxiv-2023-k1zv3,TP,"xray crystal structure provided in image, understandable it did not get name",,,,,
2-oxabicyclo[2.2.2]octane-1-carboxylic acid (37),4.4,null,298.15,carboxylic acid,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rbgz3,TP,Perfect,,,,,
"3,4,5-trimethyl-2-carbethoxypyrrole",3.6,null,null,null,null,Measured pKa value for protonated carbon,chemrxiv_10.26434_SLASH_chemrxiv-2024-0hnnl,TP,"missed negative sign, but that is something I imposed, not the models fault",,,,,
5-phenyl tetrazole,3,water,353.15,null,null,DFT calculated pKa value at 80 °C and 1 atm,chemrxiv_10.26434_SLASH_chemrxiv-2024-29p7m,TP,calculated value,,,,,
carboxy-biotin,2.8,water,298.15,carboxyl group,0.3,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4g15q,TP,Perfect,,,,,
Formic acid,3.52,50 mM phthalate buffer,310,Carboxyl,null,Buffer solution for pKa determination,chemrxiv_10.26434_SLASH_chemrxiv-2024-dxxmg,TP,temp seems wrong,,,,,
1-Naphthyl arsonic acid,3.66,null,298.15,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lkl5t-v4,TP,Perfect,,,,,
"2,2-Dihydroxypropanoic acid",3.6,aqueous solution,571.15,null,null,at neutral pH,chemrxiv_10.26434_SLASH_chemrxiv-2024-msxnr,TP,,,,,,
Formic Acid (HCOOH),3.77,aqueous solution,298.15,null,null,used as reference for pKa calculation,chemrxiv_10.26434_SLASH_chemrxiv-2024-r9qks,TP,,,,,,
benzoic acid derivative with -SH group,4.05,null,298.15,null,null,"pKa value compared to other modulators (NO2, SO3)",chemrxiv_10.26434_SLASH_chemrxiv-2024-zb5t4,TP,,,,,,
citric acid,3.13,water,298.15,carboxylic group,null,first dissociation constant value at room temperature,Pubmed_10384185,TP,,,,,,
formic acid,3.2,water,null,null,null,"solution phase, ATR-FTIR measurement",Pubmed_10390803,TP,,,,,,
"7-[[(2Z)-2-(2-Amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino]-3-[(6-hydroxy-2-methyl-5-pyridinyl)methyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2.72,null,null,acid,null,Wishart et al. (2018a) reported value for pKa (acid),Pubmed_10398570,TP,"added extra digit, probably a parsing issue",,,,,
sulfasalazine (SSZ),2.7,null,null,null,null,solid state,pubmed_10401639,TP,,,,,,
NbutylS,1.76,null,298.15,aromatic amine,0.07,pH-spectrometric titration,Pubmed_10405214,TP,,,,,,
NethylS,4.77,water (ε = 78.3553),298.15,aromatic amine,null,calculated using M06 functional,pubmed_10405214,TP,,,,,,
Trifluoroacetic acid,0.5,null,298.15,Carboxyl,null,Used in industry as a raw material in organic synthesis,Pubmed_10419856,TP,,,,,,
"3′,4′,5,7-tetrahydroxy-flavone-3-rutinoside",4.3,null,null,null,0,Physicochemical property reported without specific experimental conditions,Pubmed_10421072,TP,,,,,,
poly(N-cyanobenzyl glycine)-block-poly(N-decyl glycine)-block-poly(N-methyl glycine),2.5,water,298.15,cationic site (secondary ammonium terminus),0.19,null,Pubmed_10428163,TP,,,,,,
Graphene Oxide (GO),3,null,null,null,0.3,"Carboxylic, Enolic, and Phenolic functional groups",Pubmed_10433945,TP,,,,,,
Acetic acid,4.8,null,null,Carboxyl group,null,Antimicrobial effects primarily attributed to undissociated molecules,Pubmed_10458850,TP,,,,,,
2-Methyl-4-chlorophenoxyacetic acid (MCPA),3.1,null,293.15,Carboxylic acid,null,Negative logarithm of the acid dissociation constant (pKa) as reported in Table 1,Pubmed_10490996,TP,,,,,,
2-(4-Isobutylphenyl)propanoic acid,4.43,null,298.15,Carboxylic acid,null,Ibuprofen's pKa value at 25°C (room temperature in Kelvin: 298.15),pubmed_10534719,TP,,,,,,
Carbamazepine,2.77,null,293.15,null,null,pKa value reported for CBZ (additional pKa value of 13.9 also mentioned but not included as separate entry due to lack of additional context),Pubmed_10579815,TP,,,,,,
Rhodamine-Based Cyclic Hydroxamate,4.1,aqueous media,298.15,six-membered N–O spirolactam ring of rhodamine B,null,ideal for monitoring acidic lysosome-related organelles with a pH range of 4.5–5.5,Pubmed_10606023,TP,,,,,,
Simple phenylboronic acid (PBA),1.3,null,null,null,null,"used for comparison, no experimental conditions provided",Pubmed_10619626,TP,"incorrect, missed digits",,,,,
"3,4-dihydroxyphenylacetic acid",2.01,1 M KBr,null,null,null,CDAC measurement,pubmed_10669202,,,,,,,
Gallic acid,3.72,1 M KBr + 0.1 M H2O,null,null,null,"CDAC measurement, oxidative dimerization observed",pubmed_10669202,,,,,,,
Posaconazole,4.6,citrate buffer pH 4.8,277.15,triazole,null,Solubility enhancement in citrate buffer pH 4.8 compared to water,pubmed_10670537,,,,,,,
macropa (originally known as H2bp18c6),2.4,null,298.15,null,0.15,"Determined by NMR, deuterium-corrected",pubmed_10731647,,,,,,,
Taxifolin,4.01,null,null,null,null,null,pubmed_10740111,,,,,,,
"iron(III),oxo,hydroxo complex",4.65,acetonitrile (MeCN),null,Fe-OH,null,comparison with related Mn and Co complexes in Table 2,pubmed_10743362,,,,,,,
oxalic acid,1.27,null,null,null,null,dicarboxylic acid with low acidity constants,pubmed_10747223,,,,,,,
"2-nitro-N,N-dimethylethanamine",4.77,water,298.15,C-H (α to nitro group),null,measured by potentiometric titration,pubmed_10780269,,,,,,,
gamma-hydroxybutyric acid,4.7,null,null,null,null,Physiological pH conditions,pubmed_10821532,,,,,,,
7-ethyl-10-hydroxycamptothecin (SN38),2.01,null,298.15,null,null,Physiological pH instability and hydrophobicity noted,pubmed_10826519,,,,,,,
6-methyl-3-{(2-EHb)-VLX600},4.86,30% (v/v) DMSO/H₂O,567.15,"(N,N,S)",null,[Ka1 for H₃L²⁺ dissociation],pubmed_10848209,,,,,,,
Basic Red 13,2.9,null,null,null,null,cationic dye,pubmed_10856939,,,,,,,
Acetic acid,4.76,null,null,Carboxyl (-COOH),null,null,pubmed_10859675,,,,,,,
3-Hydroxypropanoic acid,4.51,null,null,Carboxyl,null,Predominantly undissociated at pH below this value,pubmed_10881976,,,,,,,
Alanine,2.39,water,null,COOH,null,Experimental,pubmed_10895671,,,,,,,
Pyrazinoic acid,3.62,null,null,Carboxylic acid group,null,Uncoupler of oxidative phosphorylation,pubmed_10896915,,,,,,,
ABT-737 (theoretical values from Chemaxon),4.7,null,null,null,null,Theoretical pKa values attributed to charged groups highlighted in color in the molecular structure,pubmed_10900936,,,,,,,
tetracycline,3.3,null,null,null,null,"IUPAC name and pKa value extracted from Table 2; no solvent, temperature, functional group, or uncertainty information provided for this compound",pubmed_10902398,,,,,,,
Fluorescein,3.03,1 M NaCl solution,295.15,null,null,null,pubmed_10934543,,,,,,,
Cholesteryl sulfate,3.3,null,298.15,Sulfate moiety,null,Predominantly ionized under physiologic conditions,pubmed_10963326,,,,,,,
Benzoic Acid,4.2,Water,298.15,Carboxylic Acid,null,"CAM-B3LYP functional, 6-311G+(d,p) basis set, SMD solvation model",pubmed_10974196,,,,,,,
Meloxicam (C14 13 34 2),4.08,null,293.15,null,null,"pKa value mentioned for Meloxicam in phosphate buffer at pH 7.5, where the active ingredient has high solubility",pubmed_10975188,,,,,,,
Phenylalanine,1.82,null,298.15,Carboxyl group,0.04,Calculated value,pubmed_10985536,,,,,,,
nitric acid,1.18,water,298.15,null,1.53,range provided in paper,pubmed_10991257,,,,,,,
Malvidin-3-O-Glucoside (M3G),3.86,null,null,null,0.1,Acid–Base Constants of M3G,pubmed_10995998,,,,,,,
8-Thiomethyladenine,4.53,Water (implied from context),298.15,null,0.1,Potentiometric titration at 298.15 K,pubmed_11033863,,,,,,,
4-[[(4-dimethylamino)phenyl]-azo]benzenesulfonic acid sodium salt,3.7,aqueous solutions,298.15,null,0,"Methyl orange (MO), also known as the compound being studied for adsorption properties",pubmed_11054346,,,,,,,
D407 (A),4.52,null,null,carboxyl group of Asp407,null,PROPKA v2.0 calculation from Yamane et al. 2013,pubmed_11058585,,,,,,,
Compound (IUPAC name not explicitly provided),4.6,null,299.15,null,null,pKa value range for studied analytes,pubmed_11085463,,,,,,,
potassium acid phthalate (KHP),2.95,null,298.15,carboxylic acid,null,ionization of HP-,pubmed_11098914,,,,,,,
"5,7-Difluoro-3-hydroxy-1,1-dimethyl-1,3-dihydrobenzo[c][1,2]oxaborole",4.7,null,298.15,null,0.2,null,pubmed_11110727,,,,,,,
(±)-2-(4-Isobutylphenyl)propanoic acid,4.91,water,298.15,carboxylic acid,null,Solubility in water (at 25 °C): 21 mg/L; Molar mass: 206.28 g/mol,pubmed_11124334,,,,,,,
Gabapentin,3.68,null,null,Carboxylic acid group,null,null,pubmed_11127077,,,,,,,
"3,4,5-trihydroxy-benzoic acid",4,null,null,phenolic acid,null,Gallic acid's pKa value mentioned in the context of its properties as a weak phenolic acid,pubmed_11172128,,,,,,,
carboxymethyl cellulose,3.5,water,298.15,null,null,null,pubmed_11176294,,,,,,,
"* ""EGRERDHELRHRRHHHQSPK""",3.11,null,null,Glu,0.03,Deprotonation constant from potentiometric titration,pubmed_11200262,,,,,,,
Acetic Acid,4.75,Water (intracellular environment),null,Carboxyl (-COOH),null,"Value indicates predominance of undissociated acetic acid molecules at pH values below pKa, affecting Saccharomyces cerevisiae growth and metabolism.",pubmed_11205669,,,,,,,
nitrous acid,3.2,gastric mucosa (in vivo),310.15,null,null,pH of microclimate lining human gastric mucosa,pubmed_11218869,,,,,,,
Indole,2.4,null,293.15,null,null,pKa value mentioned for comparison with tryptophan,pubmed_11276446,,,,,,,
methanesulfonic acid (MSA),1.92,water,298.15,null,0,pKa value for MSA in water at 25 °C,pubmed_11284624,,,,,,,
histidine (H22),4.86,null,null,protonated form,0.03,"from Table 1, residue H22",pubmed_11328173,,,,,,,
etodolac,4.65,null,298.15,carboxylic acid,null,"weak acid, ionized form dominates at pH > pKa, improving aqueous solubility",pubmed_11355714,,,,,,,
polymeric azobenzene (AB),2.72,aqueous solution,298.15,azobenzene moiety,null,Protonation-induced color change from yellow to red-purple,pubmed_11360014,,,,,,,
sanggenon C (SGC),2.64,null,null,null,0.69,null,pubmed_11381475,,,,,,,
"2′,2′-difluorodeoxycytidine (dFdC)",3.6,null,310.15,weak base,null,"also known as Gemcitabine, a chemotherapy drug acting as an antimetabolite",pubmed_11394165,,,,,,,
"diflunisal (2′,4′-difluoro-4-hydroxy-(1,1′-biphenyl)-3-carboxylic acid)",2.69,null,null,null,0,acidic pKa value mentioned in the context of comparing DIF and NAF's acid–base properties,pubmed_11396828,,,,,,,
tetracycline (TC),3.3,null,null,null,0,pka1 value,pubmed_11397017,,,,,,,
3-Methyl-2-oxobutanoic acid (Asp),3.7,null,null,carboxyl,null,experimental value for Asp in BBL,pubmed_11398383,,,,,,,
Pic,2.47,null,null,null,0.09,Acidity constant for [H4L]4+ = [H3L]3++ H+,pubmed_11412068,,,,,,,
"IDPi catalysts (e.g., 2b)",3.23,Acetonitrile (implied from referenced acidity scale),null,Brønsted Acid,null,Qualitative order of acidity substantiated by cotitration of catalysts,pubmed_11487569,,,,,,,
Hybrid 7,5,POPC lipid vesicles,298.15,null,0.2,"pH-dependent membrane insertion, sequence: DDSEAGVEDADEG",pubmed_10461461,,,,,,,
8a (6-Bromo-7-hydroxycoumarin-4-yl)methyl-caged N,5,D2O/CD3CN,null,null,null,pKa value determined by NMR spectroscopy,pubmed_11356963,,,,,,,
2-Propylpentanoic acid,5.14,null,298.15,Carboxylic acid,null,Valproic acid's pKa value mentioned in the context of its acidic nature and solubility,pubmed_10453491,,,,,,,
pyridine,5.21,null,298.15,null,null,pKa value for protonated pyridine,chemrxiv_10.26434_SLASH_chemrxiv-2024-3vwf1,,,,,,,
shepherin I,5.29,aqueous solution of 4 mM HClO4,298.15,**His**,1,first deprotonation constant (Table 1),pubmed_10698721,,,,,,,
Pyridinium,5.3,Water (neutral pH),298.15,null,null,"Comparison value for pyridinium, no specific uncertainty provided",chemrxiv_10.26434_SLASH_chemrxiv-2023-2pj07,,,,,,,
"1,3,3-Trimethylindolino-6'-nitrobenzopyrylospiran",5.3,DMSO/water (1:1),298.15,null,null,effective pKaH’ value for spiropyran SP1 in its ground state,chemrxiv_10.26434_SLASH_chemrxiv-2023-g3rlm,,,,,,,
"propane-1,3-dioic acid",5.33,water,298.15,null,null,Potentiometric-pH Titration,pubmed_10785783,,,,,,,
"1,2-Difluoroethylphosphonic acid",5.4,null,298.15,Phosphonate (Difluorophosphonate),0.1,NMR-based pKa determination,chemrxiv_10.26434_SLASH_chemrxiv-2023-jd2pn,,,,,,,
2-decen-1-yl-succinic acid (C10),5.41,null,298.15,carboxylate,null,"pH-dependent vesicle formation, transitions from vesicles to oil droplets below pH 4.5",chemrxiv_10.26434_SLASH_chemrxiv-2024-sxv4k-v2,,,,,,,
3-Hydroxyaspartic acid,5.6,aqueous solution (buffer base mix),298.15,null,0.2,kinetic pKa value for aspartic acid of WT SHP-1,chemrxiv_10.26434_SLASH_chemrxiv-2024-rbbnk,,,,,,,
Crizotinib,5.6,null,298.15,Basic,null,Physiologically based pharmacokinetic input parameters,pubmed_10703149,,,,,,,
H2L3,5.62,null,null,null,0.065,null,pubmed_11181322,,,,,,,
triaz1.H,5.7,Britton-Robinson universal buffer,null,null,null,pH range between 2 and 10,chemrxiv_10.26434_SLASH_chemrxiv-2024-kk8l6,,,,,,,
Uric Acid,5.75,null,null,null,null,exists as urate in bodily fluids under pH 7.4,pubmed_11446379,,,,,,,
pHluo-Halo-1,5.9,40% glycerol buffer,298.15,null,0,"Characterized in vitro, dual-input pH probe",chemrxiv_10.26434_SLASH_chemrxiv-2024-rcfzm-v2,,,,,,,
"2,4,6-trimethylphenyl hydrogen chloride (HCl)",5.91,water,298.15,Brønsted acid,null,Conjugate acid of Cl- ligand,chemrxiv_10.26434_SLASH_chemrxiv-2023-cxlm1-v3,,,,,,,
"1-ethyl-1,4-dihydro-7-methyl-4-oxo-1,8-naphthyridine-3-carboxylic acid",5.95,null,null,"carboxylic group (implied by context, but not explicitly stated for pKa)",null,pKa value mentioned in the context of explaining pH-dependent removal efficiency,pubmed_10421493,,,,,,,
Treponema pallidum Superoxide Reductase (E48A variant),6,acetate/glycine-NaOH/pH-dependent,298.15,null,0,"pH-dependent spectral and redox changes, glutamate 48 mutated to alanine",arxiv_1412.5037v1,,,,,,,
ciprofloxacin,6.1,water,298.15,carboxyl (pKa1),null,pH-dependent speciation,pubmed_11253669,,,,,,,
spiro phosphoric acid catalyst (R)-C8,6.12,uMSO (dimethyl sulfoxide),null,null,0.09,measured by overlapping indicator method,chemrxiv_10.26434_SLASH_chemrxiv-2023-g4zwj,,,,,,,
1H-Benzimidazole,6.12,null,298.15,null,null,"Table 1, pH titration plots of BZ drugs",pubmed_10733925,,,,,,,
apHLIP(WT),6.16,null,null,null,null,null,pubmed_10461461,,,,,,,
Glucosamine-6-phosphate,6.2,null,298.15,phosphonate group,0.1,natural ligand of the glmS ribozyme,pubmed_10594590,,,,,,,
BiVO4(010),6.2,NaCl,null,Bi7fOH2,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-bs1rr,,,,,,,
2-(3-Aminopropyl-amino)ethane,6.2,null,298.15,null,0.1,null,pubmed_11039317,,,,,,,
Human Carbonic Anhydrase II,6.25,null,308.15,His64,0.08,null,pubmed_10492700,,,,,,,
mSAASoti,6.3,null,298.15,Green form,null,"Apparent value, measured at pH 7.4",pubmed_11021400,,,,,,,
3NO2-PBA,6.3,"aqueous solution (PBS, pH 7.16)",303.15,boronic acid,null,electron-withdrawing groups (EWGs) on PBA increase spore labeling,chemrxiv_10.26434_SLASH_chemrxiv-2023-15vg7,,,,,,,
Poly[(2-Aminoethyl)glycol] (Chitosan),6.3,null,null,null,null,Primary amino groups determine properties of chitosan and its pH sensitivity,pubmed_11360505,,,,,,,
CA,6.39,"buffered solution (150 mM NaCl, 20 mM Na phosphate, 25 mM ammonium citrate, 20 mM ammonium acetate)",null,carboxylic acid group from bile acid substitution,null,"Bile acid-containing lipid nanoparticle (BA-LNP), CA-100 formulation",pubmed_10750194,,,,,,,
2-methoxy-4-nitrophenol,6.45,null,null,null,null,null,pubmed_10375238,,,,,,,
sildenafil citrate,6.5,water,310.15,basic,null,solubility decreases with increases in pH,pubmed_10671963,,,,,,,
Chitosan,6.5,acidic aqueous environments,null,null,0.1,Solubility in acidic environments due to abundance of protonated -NH2 groups,pubmed_11436026,,,,,,,
"1-isobutyl-1H-imidazo[4,5-c]quinolin-4-amine",6.52,HCl 0.037 M,298.15,null,0.07,pKa computed from Equation (1) by measuring the pH of a saturated IMQ solution in diluted HCl,pubmed_10893280,,,,,,,
4-Mercaptophenylacetic acid,6.6,null,293.15,Thiol,null,mostly present as a dianion at neutral pH,chemrxiv_10.26434_SLASH_chemrxiv-2023-1k49m,,,,,,,
"1,1,2-trimethyl-1H-benzo[e]indolium",6.6,Britton Robinson (BR) buffer,298.15,null,null,pKa calculated using Henderson-Hasselbalch equation from absorbance intensities at two different wavelengths (465 nm and 585 nm),chemrxiv_10.26434_SLASH_chemrxiv-2023-51js9,,,,,,,
silica,6.7,water,298.15,null,2.85102222,null,arxiv_1707.00590v1,,,,,,,
ALC-0315,6.71,Lipid Nanoparticle (LNP) formulation,310.15,null,0.99,Calculated value; Trend comparison with experimental values,chemrxiv_10.26434_SLASH_chemrxiv-2024-32z25-v2,,,,,,,
4′-Hydroxy-10-methylpyranoflavylium,6.72,null,298.15,null,0.01,free dye,pubmed_10885154,,,,,,,
Sulconazole,6.78,null,null,null,null,"Strong base, logP: 6.06, poor water solubility (1.29 µg/mL), molecular weight: 397.755 g/mol",pubmed_10672792,,,,,,,
SEP (SuperEcliptic pHluorin),7,null,null,null,0,"Used for comparison, fluorescent protein biosensor",chemrxiv_10.26434_SLASH_chemrxiv-2024-rcfzm-v2,,,,,,,
Daidzein,7.01,null,null,null,null,[38],pubmed_10610233,,,,,,,
Ellagic Acid (7),7.04,null,null,null,0.9932,*This pKa value is likely due to the hydrolysation of the lactone moieties during titration of the compound at low pH values.,pubmed_10464554,,,,,,,
