iupac_name,pka_value,solvent,temperature,functional_group,uncertainty,additional_info,paper,f1,Notes,rand
corneal_endothelial_cell_function,null,null,303.15,fibrosis_prevention,1.5,HGF_treatment_effects_on_cecs,pubmed_11395100,,,0.4780645987
null,null,null,null,null,null,null,pubmed_10816949,,,0.1206418481
null,null,null,null,null,null,null,pubmed_11586680,,,0.9750183406
2-nonanone,null,DMSO,290.15,null,null,Reference compound known to repel C. elegans,pubmed_10274637,,,0.6619338882
null,null,null,null,null,null,null,pubmed_11897958,,,0.0798544514
peptoid-based nanoparticles,66.5,lipid nanoparticles (LNPs),null,ionizable lipid component,null,Particle pKa of 6–6.5 generally shows highest efficacy in selective liver expression.,pubmed_11342374,,,0.4278625126
null,null,null,null,null,null,null,pubmed_10820461,,,0.3605669895
null,null,null,null,null,null,null,pubmed_11274550,,,0.7946220208
failed,failed,failed,failed,failed,failed,failed,pubmed_11664087,,,0.8323003519
null,null,null,null,null,null,null,pubmed_11676885,,,0.3536969628
null,null,null,null,null,null,null,pubmed_10901033,,,0.4701194051
null,null,null,null,null,null,null,pubmed_11720038,,,0.4948143484
null,null,null,null,null,null,null,pubmed_11001699,,,0.6197330882
melatonin,10,null,null,aromatic/amide,null,Neurospora crassa used as a model organism for studying melatonin signaling pathways.,pubmed_11774363,,,0.0005327978
null,null,null,null,null,null,null,pubmed_11492829,,,0.0459986068
null,null,null,null,null,null,null,pubmed_10993259,,,0.3309614533
null,null,null,null,null,null,null,pubmed_11429714,,,0.8271428039
null,null,null,null,null,null,null,pubmed_11099068,,,0.1216411404
null,null,null,null,null,null,null,pubmed_11233971,,,0.8131749756
failed,failed,failed,failed,failed,failed,failed,pubmed_11241265,,,0.5267773478
null,null,null,null,null,null,null,pubmed_11343830,,,0.4957669834
null,null,null,null,null,null,null,pubmed_11589196,,,0.6653650464
doxycycline,null,null,null,null,null,"doxycycline is a tetracycline-class antibiotic effectively fighting against various infections, such as anthrax, Lyme disease, cholera, and syphilis. Doxycycline inhibits bacterial protein biosynthesis, thereby exerting its antibacterial activity.",pubmed_11350910,,,0.4595104745
null,null,null,null,null,null,null,pubmed_11799843,,,0.7926079733
null,null,null,null,null,null,null,pubmed_10931720,,,0.7035884359
uric acid,5.5,null,null,aromatic amine,null,null,pubmed_11575574,,,0.3934724291
histidine,5.18,aqueous,298.15,HNε2,null,Histidine residue with pKa ~5; populates HNε2 tautomeric state.,pubmed_11328173,,,0.4042608798
cationic degradable lipid-like material,4.905,"mix of DOPE, cholesterol, C14-PEG2K",295.15,cationic ionizable lipid,null,null,pubmed_10904786,,,0.3315302408
null,null,null,null,null,null,null,pubmed_11287067,,,0.8012068088
null,null,null,null,null,null,null,pubmed_11847011,,,0.9763084189
null,null,null,null,null,null,null,pubmed_11044572,,,0.7838311412
Ethaline,69.08,acetonitrile,298.15,acid (carboxylic),3.79,used as cosolvent with ethylene glycol,pubmed_11734430,,,0.2063429838
null,null,null,null,null,null,null,pubmed_11706630,,,0.6322541451
null,null,null,null,null,null,null,pubmed_10802352,,,0.51636035
null,null,null,null,null,null,null,pubmed_11273352,,,0.0797291438
null,null,null,null,null,null,null,pubmed_11882769,,,0.1334075532
null,null,null,null,null,null,null,pubmed_10919074,,,0.7117487486
melamine,8.9,ethylenediamine solution,300.65,amine group,0.2,used in chelation studies,pubmed_10899315,,,0.3729441075
null,null,null,null,null,null,null,pubmed_11593800,,,0.885053552
null,null,null,null,null,null,null,pubmed_11106456,,,0.1499556755
null,null,null,null,null,null,null,pubmed_10915086,,,0.4188182019
null,null,null,null,null,null,null,pubmed_11714201,,,0.0535690219
null,null,null,null,null,null,null,pubmed_11694611,,,0.9921384288
null,null,null,null,null,null,null,pubmed_10874037,,,0.9144292171
null,null,null,null,null,null,null,pubmed_10975991,,,0.149128275
null,null,null,null,null,null,null,pubmed_11743101,,,0.514872849
null,null,null,null,null,null,null,pubmed_11462623,,,0.1069745172
YejK,null,null,298.15,DNA,null,E. coli YejK protein binds DNA non-seq specifically; forms a dimeric clamp structure with a central pore that facilitates DNA binding.,pubmed_11229321,,,0.3887159878
null,null,null,null,null,null,null,pubmed_11581704,,,0.0379485413
eempa,10,water-lean solvent,298.15,carbamic acid,null,provided in the paper,pubmed_11230897,,,0.2101747645
null,null,null,null,null,null,null,pubmed_11638306,,,0.7146783539
null,null,null,null,null,null,null,pubmed_11145428,,,0.5019478279
null,null,null,null,null,null,null,pubmed_11596651,,,0.9525452796
null,null,null,null,null,null,null,pubmed_11484629,,,0.4768909123
null,null,null,null,null,null,null,pubmed_10784400,,,0.7404954771
null,null,null,null,null,null,null,pubmed_11093201,,,0.9256290128
null,null,null,null,null,null,null,pubmed_10943438,,,0.4660273741
null,null,null,null,null,null,null,pubmed_11727530,,,0.4843047778
UICP1,null,water,298.15,peptide bond,null,Peptide with four amino acids (Phg-Glu-Phg-Lys) forming β-sheet nanofibers and hydrogels at pH 4.5.,pubmed_11817957,,,0.8653252283
null,null,null,null,null,null,null,pubmed_11398916,,,0.8418295835
bixin,null,acetone,25,null,null,Acetone extraction of bixon at room temperature,pubmed_11210471,,,0.2534405785
null,null,null,null,null,null,null,pubmed_11229376,,,0.2855412059
null,null,null,null,null,null,null,pubmed_11767643,,,0.7618293855
null,null,null,null,null,null,null,pubmed_11899212,,,0.3827107286
null,null,null,null,null,null,null,pubmed_10984128,,,0.281773556
[V 6O 13–x(OH) x(NO2)_2] −2 (x=0),null,acetonitrile,298,O–H bonds,null,BDFE of 65.8 kcal/mol for [V 6O 13–2] cluster.,pubmed_11040723,,,0.2206071375
null,null,null,null,null,null,null,pubmed_11081746,,,0.4381045059
null,null,null,null,null,null,null,pubmed_11544245,,,0.6791941179
null,null,null,null,null,null,null,pubmed_11005872,,,0.488198672
null,null,null,null,null,null,null,pubmed_11501035,,,0.63341732
null,null,null,null,null,null,null,pubmed_11547096,,,0.072489711
null,null,null,null,null,null,null,pubmed_11036092,,,0.1264246854
null,null,null,null,null,null,null,pubmed_11539070,,,0.9524353277
failed,failed,failed,failed,failed,failed,failed,pubmed_11530018,,,0.0655036573
null,null,null,null,null,null,null,pubmed_11053165,,,0.845
null,null,null,null,null,null,null,pubmed_11407677,,,0.9830397938
failed,failed,failed,failed,failed,failed,failed,pubmed_10940682,,,0.2369569964
null,null,null,null,null,null,null,pubmed_11856910,,,0.0017717567
null,null,null,null,null,null,null,pubmed_11429428,,,0.3158047432
null,null,null,null,null,null,null,pubmed_11820211,,,0.5840992741
EOF2,null,Saline,294.85,null,null,null,pubmed_11702051,,,0.3359716616
null,null,null,null,null,null,null,pubmed_11763465,,,0.3995810582
null,null,null,null,null,null,null,pubmed_11523905,,,0.2464009791
amine,null,phosphate buffered D2O,293.15,imine,null,dynamic covalent imine formation,pubmed_11467966,,,0.1537622535
null,null,null,null,null,null,null,pubmed_11887588,,,0.3898208654
poplar biochar,6.5,sulfonitric mixture,300.15,carboxylic acid,null,60 °C for 30 min,pubmed_11901602,,,0.2636327634
placental small extracellular vesicles,null,null,null,extracellular vesicle,null,psEVs from human placentae,pubmed_11579211,,,0.2706084603
null,null,null,null,null,null,null,pubmed_11222155,,,0.8773562871
null,null,null,null,null,null,null,pubmed_11881275,,,0.1428575097
null,null,null,null,null,null,null,pubmed_11202593,,,0.5843621804
null,null,null,null,null,null,null,pubmed_10515948,,,0.1931762418
null,null,null,null,null,null,null,pubmed_10945681,,,0.905838514
null,null,null,null,null,null,null,pubmed_11100200,,,0.1559224695
null,null,null,null,null,null,null,pubmed_11743389,,,0.2163263639
fisetin,null,DMSO,308.15,null,null,No pKa value reported in the paper.,pubmed_11091701,,,0.8089235506
null,null,null,null,null,null,null,pubmed_11157345,,,0.9501244447
null,null,null,null,null,null,null,pubmed_11846855,,,0.9350523849
null,null,null,null,null,null,null,pubmed_11515846,,,0.2935824373
null,null,null,null,null,null,null,pubmed_10847102,,,0.3801818809
null,null,null,null,null,null,null,pubmed_11205669,,,0.1767928742
null,null,null,null,null,null,null,pubmed_11372829,,,0.1758367168
null,null,null,null,null,null,null,pubmed_11428995,,,0.9211665336
null,null,null,null,null,null,null,pubmed_11181992,,,0.845217682
null,null,null,null,null,null,null,pubmed_11032015,,,0.3672034196
null,null,null,null,null,null,null,pubmed_11306053,,,0.7554855461
null,null,null,null,null,null,null,pubmed_11758779,,,0.4774234861
null,null,null,null,null,null,null,pubmed_11331181,,,0.0109792287
tau protein,null,No solvent mentioned,0,null,null,Tau protein is a known component in progressive supranuclear palsy (PSP) pathogenesis.,pubmed_11625691,,,0.5074677819
null,null,null,null,null,null,null,pubmed_11873448,,,0.6828810847
doxorubicin,6.65,null,null,anthracycline antibiotic,0,"The PEHA-β-CD NPs disassemble around the pH-responsive pKa of doxorubicin (6.3–7.0), leading to controlled drug release.",pubmed_11768558,,,0.6620145787
Genistein,null,null,null,null,null,null,pubmed_11221477,,,0.7868594504
null,null,null,null,null,null,null,pubmed_11526604,,,0.8555764218
null,null,null,null,null,null,null,pubmed_10845143,,,0.6801482623
null,null,null,null,null,null,null,pubmed_11664480,,,0.3817917765
null,null,null,null,null,null,null,pubmed_11356007,,,0.7935332304
null,null,null,null,null,null,null,pubmed_10883022,,,0.0576639683
null,null,null,null,null,null,null,pubmed_11751231,,,0.0012300969
null,null,null,null,null,null,null,pubmed_11646716,,,0.2056366457
null,null,null,null,null,null,null,pubmed_11321707,,,0.3093259609
null,null,null,null,null,null,null,pubmed_11478412,,,0.3018275171
null,null,null,null,null,null,null,pubmed_11424537,,,0.0811827125
null,null,null,null,null,null,null,pubmed_11868948,,,0.421512261
null,null,null,null,null,null,null,pubmed_11601148,,,0.3449145353
null,null,null,null,null,null,null,pubmed_11320652,,,0.2724052768
null,null,null,null,null,null,null,pubmed_11879391,,,0.5243455512
null,null,null,null,null,null,null,pubmed_11748061,,,0.2223969535
null,null,null,null,null,null,null,pubmed_11239112,,,0.3311593859
null,null,null,null,null,null,null,pubmed_11203552,,,0.982024217
null,null,null,null,null,null,null,pubmed_11385182,,,0.0913842914
null,null,null,null,null,null,null,pubmed_11013646,,,0.3916777775
null,null,null,null,null,null,null,pubmed_10898356,,,0.2461475632
spermidine,10.8,malonic acid buffer,298.15,polyamine group,0.1,antioxidant and growth regulator,pubmed_10899315,,,0.5437944517
null,null,null,null,null,null,null,pubmed_11508640,,,0.3523032381
camptothecin,10.29,deionized water,298.15,α-hydroxy lactone,null,pKa of camptothecin related to its α-hydroxy lactone ring and pH-sensitive prodrug micelles,pubmed_11511143,,,0.5017138456
null,null,null,null,null,null,null,pubmed_11477632,,,0.5298006989
null,null,null,null,null,null,null,pubmed_10974061,,,0.3009367958
null,null,null,null,null,null,null,pubmed_11496981,,,0.1922236811
null,null,null,null,null,null,null,pubmed_11579983,,,0.6931641712
null,null,null,null,null,null,null,pubmed_11045723,,,0.0217477386
null,null,null,null,null,null,null,pubmed_11470957,,,0.848313651
null,null,Dulbecco’s modified Eagle medium (DMEM),310.15,null,null,"Electrophysiological assays in HEK 293 cells showed that EN300-257539, EN300-264105, and EN300-268551 significantly inhibited ASIC1a currents upon a rapid pH drop from 7.5 to 6.0.",pubmed_11011685,,,0.1325416518
null,null,null,null,null,null,null,pubmed_11112715,,,0.3398813107
failed,failed,failed,failed,failed,failed,failed,pubmed_11537416,,,0.3237399932
null,null,null,null,null,null,null,pubmed_11472321,,,0.4389481426
null,null,null,null,null,null,null,pubmed_11557960,,,0.9270255729
pyrene-appended boronic acids,null,aqueous phosphate buffer,298,boronic acid,null,"Electrochemical impedance spectroscopy (EIS), capacitive changes, pH optimization, binding affinity",pubmed_10964244,,,0.5432222164
null,null,null,null,null,null,null,pubmed_11014673,,,0.4850246233
null,null,null,null,null,null,null,pubmed_11035426,,,0.7942019585
null,null,null,null,null,null,null,pubmed_10934406,,,0.7574026731
null,null,null,null,null,null,null,pubmed_11406808,,,0.1784723678
null,null,null,null,null,null,null,pubmed_11472427,,,0.3303180782
failed,failed,failed,failed,failed,failed,failed,pubmed_11769294,,,0.412001845
null,null,null,null,null,null,null,pubmed_11791223,,,0.3859673366
null,null,null,null,null,null,null,pubmed_11856779,,,0.6078037338
null,null,null,null,null,null,null,pubmed_11117260,,,0.0506881911
no compound reported with pKa information,null,null,0,no functional group specified,null,No additional info provided on pKa measurement.,pubmed_10878505,,,0.408692898
null,null,null,null,null,null,null,pubmed_11202557,,,0.0606650056
null,null,null,null,null,null,null,pubmed_11677524,,,0.3853325048
null,null,null,null,null,null,null,pubmed_10959531,,,0.2057909854
null,null,null,null,null,null,null,pubmed_11221507,,,0.3120285592
SM934,18.77,Ethyl acetate,300,amide or amide-like functional group,1.42,"Hydrogen bonding affects pKa, measured via pH titration",pubmed_11543433,,,0.087273513
null,null,null,null,null,null,null,pubmed_10803594,,,0.7364168144
null,null,null,null,null,null,null,pubmed_11730298,,,0.2061465879
null,null,null,null,null,null,null,pubmed_11751454,,,0.7291670146
null,null,null,null,null,null,null,pubmed_11532756,,,0.2320551279
null,null,null,null,null,null,null,pubmed_11305675,,,0.2936918484
null,null,null,null,null,null,null,pubmed_11558819,,,0.8561598319
null,null,null,null,null,null,null,pubmed_10974851,,,0.4309283334
null,null,null,null,null,null,null,pubmed_11013034,,,0.7729970301
null,null,null,null,null,null,null,pubmed_11441084,,,0.9387986995
histidine,6.5,null,null,basic,null,most common around model value 6.5,pubmed_11601431,,,0.1582036675
null,null,null,null,null,null,null,pubmed_11165581,,,0.6046296153
null,null,null,null,null,null,null,pubmed_10245805,,,0.5285189869
null,null,null,null,null,null,null,pubmed_11786818,,,0.075036671
null,null,null,null,null,null,null,pubmed_11405573,,,0.2602064151
null,null,null,null,null,null,null,pubmed_10882135,,,0.7786925759
null,null,null,null,null,null,null,pubmed_11353043,,,0.3854699421
ryanodine receptor type 2,null,null,null,calcium release channel,null,cryo-EM structures show primed state linked to arrhythmias and heart failure,pubmed_11402997,,,0.0658355597
null,null,null,null,null,null,null,pubmed_10835804,,,0.1136296631
atenolol,9.6,aqueous,298.15,inclusion complex,null,Spectrofluorometric methods based on inclusion complex formation of ATE and PRO with β-CD have not been reported. This work is devoted to the validation and development of spectrofluorometric methods for the determination of ATE and PRO in pharmaceutical formulation.,pubmed_11206265,,,0.2728064067
null,null,null,null,null,null,null,pubmed_11312285,,,0.3055475852
methanesulfonic acid,1.9,null,298.15,sulfonic acid,null,Extraction of MSA from wastewater using trioctylamine; Experimental conditions optimized for maximum extraction efficiency; Thermodynamic analysis of the extraction process; Regeneration of TOA via back-extraction with NaOH,pubmed_11615037,,,0.1879306424
null,null,null,null,null,null,null,pubmed_11055256,,,0.1311636695
null,null,null,null,null,null,null,pubmed_11169277,,,0.9117059084
null,null,null,null,null,null,null,pubmed_10927590,,,0.2608919325
null,null,null,null,null,null,null,pubmed_11420188,,,0.7410723916
null,null,null,null,null,null,null,pubmed_11325428,,,0.5327733266
null,null,null,null,null,null,null,pubmed_11117229,,,0.8069690873
null,null,null,null,null,null,null,pubmed_11587069,,,0.9913842487
null,null,null,null,null,null,null,pubmed_10941249,,,0.4356389337
null,null,null,null,null,null,null,pubmed_11683220,,,0.1613815178
poly(acrylic acid),null,water,298.15,carboxylic group,0.1,no pKa reported in the paper,pubmed_11434948,,,0.0646374042
null,null,null,null,null,null,null,pubmed_11110362,,,0.8367555519
null,null,null,null,null,null,null,pubmed_11425640,,,0.5089380557
doxorubicin,null,null,298.15,anthracycline derivative,3.78,Computed using QSAR/QSPR models with DFTB3,pubmed_11420546,,,0.6235435747
null,null,null,null,null,null,null,pubmed_11394571,,,0.8500307463
null,null,null,null,null,null,null,pubmed_10900206,,,0.1499539458
null,null,null,null,null,null,null,pubmed_10974325,,,0.5545456856
null,null,null,null,null,null,null,pubmed_11848605,,,0.5952094169
synthetic salicylaldehyde-based probes,null,null,298,primary amine functional group related to 3-aminotyrosine (PTA),null,probes designed for detecting and labeling PTA in proteins,pubmed_11066840,,,0.5355633788
null,null,null,null,null,null,null,pubmed_11537019,,,0.4016892433
null,null,null,null,null,null,null,pubmed_11284531,,,0.2654207137
null,null,null,null,null,null,null,pubmed_11209022,,,0.932017511
null,null,null,null,null,null,null,pubmed_11359997,,,0.9294742602
null,null,null,null,null,null,null,pubmed_10964084,,,0.0465365525
failed,failed,failed,failed,failed,failed,failed,pubmed_11640738,,,0.050441406
null,null,null,null,null,null,null,pubmed_11901460,,,0.1622521009
null,null,null,null,null,null,null,pubmed_11570944,,,0.4002980203
null,null,null,null,null,null,null,pubmed_11229411,,,0.7485129354
null,null,null,null,null,null,null,pubmed_11653257,,,0.5059453424
null,null,null,null,null,null,null,pubmed_11796385,,,0.8869786588
null,null,null,null,null,null,null,pubmed_10857711,,,0.2680917575
null,null,null,null,null,null,null,pubmed_10972619,,,0.0476712389
AcpCP-Y165oCNF Pfr state,74.88,Tris-buffered solution (pH 7.8),300,Hydrogen bonding and noncovalent electric field effects,4.14,null,pubmed_11613453,,,0.5191213251
null,null,null,null,null,null,null,pubmed_10985074,,,0.2898109846
null,null,null,null,null,null,null,pubmed_11241587,,,0.7461667096
Ubiquitin,null,Water (TIP3P),273.15,null,null,null,pubmed_11181327,,,0.6421587211
null,null,null,null,null,null,null,pubmed_11575204,,,0.8190154135
null,null,aqueous solution,298.15,chromophoric groups,null,"EPR spectroscopy revealed that singlet oxygen is a major ROS product formed upon DOM photolysis in the absence of HNPs, while superoxide radicals are predominantly generated when hematite nanoplatelets were present.",pubmed_10867828,,,0.2979668644
null,null,null,null,null,null,null,pubmed_10797999,,,0.4402886392
failed,failed,failed,failed,failed,failed,failed,pubmed_11522581,,,0.8312367077
null,null,null,null,null,null,null,pubmed_11724882,,,0.8096401177
null,null,null,null,null,null,null,pubmed_11521691,,,0.5321097462
null,null,null,null,null,null,null,pubmed_11554538,,,0.6226399762
null,null,null,null,null,null,null,pubmed_11509851,,,0.7080235975
null,null,null,null,null,null,null,pubmed_11313209,,,0.2479141541
null,null,null,null,null,null,null,pubmed_10818440,,,0.2174192215
null,null,null,null,null,null,null,pubmed_11497408,,,0.093799179
null,null,null,null,null,null,null,pubmed_11620136,,,0.5676214339
null,null,null,null,null,null,null,pubmed_11881906,,,0.4063043403
null,null,null,null,null,null,null,pubmed_10809224,,,0.016410646
GSSH,5.45,buffer solution,298.15,persulfide,null,Persulfide used in pH-dependent reactions with mBrB.,pubmed_11039317,,,0.1136225357
null,null,null,null,null,null,null,pubmed_11870749,,,0.891692199
null,null,null,null,null,null,null,pubmed_11416942,,,0.4509461618
null,null,null,null,null,null,null,pubmed_11009634,,,0.289949629
null,null,null,null,null,null,null,pubmed_11726975,,,0.7954682068
null,null,null,null,null,null,null,pubmed_10845149,,,0.4376556089
null,null,null,null,null,null,null,pubmed_10975074,,,0.0897244234
null,null,null,null,null,null,null,pubmed_11134876,,,0.8712544199
null,null,null,null,null,null,null,pubmed_11266555,,,0.2764127022
null,null,null,null,null,null,null,pubmed_11333469,,,0.2536907508
null,null,null,null,null,null,null,pubmed_11091883,,,0.5766649076
Carbonic Anhydrase II,null,null,298.15,null,null,null,pubmed_11084925,,,0.2254484028
paraoxonase-2,null,null,277.15,lactone,null,"The study focuses on human paraoxonase 2 (PON2) enzyme's role in biofilm inhibition and proteomic interactions, but no specific pKa value is reported for the compound.",pubmed_11173892,,,0.4353119775
nvlnvll-655,null,null,null,alk inhibitor,null,selective alk inhibitor for diverse mutations,pubmed_11609626,,,0.2691774864
null,null,null,null,null,null,null,pubmed_11083860,,,0.0115840707
melopsin (OPN4),null,null,309.15,photoreceptor,null,null,pubmed_11062245,,,0.9032817215
null,null,null,null,null,null,null,pubmed_10970251,,,0.5856518939
O-aY-cpFP0.1,8.5,cell culture medium,300.15,Amino group,null,pH sensitivity affecting fluorescence and protein stability,pubmed_10813706,,,0.5431258085
null,null,null,null,null,null,null,pubmed_10926163,,,0.555883649
null,null,null,null,null,null,null,pubmed_11731398,,,0.6165875085
null,null,null,null,null,null,null,pubmed_11130271,,,0.1928113338
null,null,null,null,null,null,null,pubmed_10945854,,,0.2945966893
null,null,null,null,null,null,null,pubmed_11323271,,,0.259533423
null,null,null,null,null,null,null,pubmed_11699053,,,0.933613498
null,null,null,null,null,null,null,pubmed_11780176,,,0.4623093267
null,null,null,null,null,null,null,pubmed_11841278,,,0.3571250592
null,null,null,null,null,null,null,pubmed_11782226,,,0.6434371329
null,null,null,null,null,null,null,pubmed_11765445,,,0.7533481936
null,null,null,null,null,null,null,pubmed_11597753,,,0.7280113061
null,null,null,null,null,null,null,pubmed_11064889,,,0.78943246
null,null,null,null,null,null,null,pubmed_10898838,,,0.2933396252
