iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,lifetime,comments,paper
10-Gingerol,PBS,360.0,460.0,null,null,null,Hybrid compound LSPN281 with enhanced fluorescence compared to LSPN280.,pubmed_11912263
null,null,null,null,null,null,null,null,pubmed_11912224
"bis(2,2,2-trifluoroethyl) carbonate",null,null,null,null,null,null,No photophysical data provided for BtFEC in this paper.,pubmed_11912212
null,null,null,null,null,null,null,null,pubmed_11912206
null,null,null,null,null,null,null,null,pubmed_11912137
null,null,null,null,null,null,null,null,pubmed_11912130
gold nanorods,none provided,808.0,null,null,none provided,null,Gold nanorods exhibit surface plasmon resonance peaks at approximately 808 nm (longitudinal) and 510 nm (lateral).,pubmed_11912115
null,null,null,null,null,null,null,null,pubmed_11912111
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11912101
coumarin,null,null,null,null,null,null,Coumarin undergoes [2 + 2] cycloaddition under UV light (λ > 300 nm) and reversible de-dimerization under λ < 300 nm.,pubmed_11912025
thymine,null,null,null,null,null,null,Thymine is mentioned in the context of photocycloaddition reactions but no specific photophysical data is provided.,pubmed_11912025
eosin y,null,null,null,null,null,null,Eosin Y is used as a photocatalyst in PET-RAFT polymerization but no detailed photophysical data is given.,pubmed_11912025
rhodamine 6g,null,null,null,null,null,null,Rhodamine 6G is mentioned as an example of a metal-free photocatalyst but lacks specific photophysical data.,pubmed_11912025
phenyl vinyl ketone (pvk),null,null,null,null,null,null,"PVK polymers degrade under UV light via the Norrish mechanism, but no absorption or emission data is provided.",pubmed_11912025
o-nitrobenzyl,null,null,null,null,null,null,o-Nitrobenzyl groups are used as photo-labile protecting groups but no photophysical data is given.,pubmed_11912025
tris[2-(2-pyridinyl)ethyl]amine (tpea),null,null,null,null,null,null,TPEA is mentioned in the context of a photocatalyst but lacks specific data points.,pubmed_11912025
poly(ethylene glycol) diacrylate (pegda),null,null,null,null,null,null,PEGDA is used as a monomer in 3D printing examples without detailed photophysical data.,pubmed_11912025
"n,n-dimethylacrylamide (dma m)",null,null,null,null,null,null,DMAm is another monomer used in 3D printing without specific photophysical data provided.,pubmed_11912025
thiomaleimide,null,null,null,null,null,null,Thiomaleimide is discussed as a dynamic crosslinker but no absorption or emission data is given.,pubmed_11912025
anthracene,null,254.0,null,1.0,null,null,polycyclic aromatic hydrocarbon with high fluorescence quantum yield,pubmed_11911921
Indium-tetrakis(4-carboxyphenyl)porphyrin,null,420.0,null,0.16,null,4.39,"In-TCPP exhibits strong light absorption and emission features, functioning as a key component in the heterostructure for CO2 reduction.",pubmed_11911404
"HPAR-3,5DOM",PBS pH 7.4,636.0,715.0,0.069,41000 (636 nm),null,Fluorogen used in NIR imaging with high brightness and photostability.,pubmed_11911394
null,null,null,null,null,null,null,null,pubmed_11911206
null,null,null,null,null,null,null,null,pubmed_11910969
null,null,null,null,null,null,null,null,pubmed_11910880
null,null,null,null,null,null,null,null,pubmed_11910822
benzidinediazo-bis-1-naphthylamine-4-sulfonic acid,null,null,null,null,null,null,"Congo Red (CR) is used as a model pollutant for photocatalytic degradation, but specific photophysical data such as absorption and emission wavelengths, quantum yield, molar absorptivity, and lifetime are not explicitly provided in the paper.",pubmed_11910638
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910425
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910132
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910037
null,null,null,null,null,null,null,null,pubmed_11910019
null,null,null,null,null,null,null,null,pubmed_11909754
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11909208
null,null,null,null,null,null,null,null,pubmed_11909164
null,null,null,null,null,null,null,null,pubmed_11908971
null,null,null,null,null,null,null,null,pubmed_11908672
null,null,null,null,null,null,null,null,pubmed_11908638
null,null,null,null,null,null,null,null,pubmed_11907795
platinum(II)octaethylporphyrin,null,381.0,645.0,0.4,null,60500.0,"PtOEP exhibits strong luminescence with a large Stokes shift and long lifetime, used for oxygen sensing and self-sterilization via singlet oxygen generation.",pubmed_11907296
null,null,null,null,null,null,null,null,pubmed_11907295
null,null,null,null,null,null,null,null,pubmed_11907292
null,null,null,null,null,null,null,null,pubmed_11907284
probe 1,water,495.0,460.0,null,null,3.72,Probe exhibits low inherent fluorescence in aqueous medium due to loose-bolt effect.,pubmed_11907283
null,null,null,null,null,null,null,null,pubmed_11907282
null,null,null,null,null,null,null,null,pubmed_11906776
1-(3-bromophenyl)ethylammonium europium chloride,null,594.0,594.0,0.598,null,2000.0,"Chiral europium halide with high photoluminescence quantum yield (PLQY), narrow emission bandwidth (~2 nm), and large dissymmetry factor |glum| of 1.84 × 10−2. Exhibits red circularly polarized luminescence (CPL) with positive magneto-photoluminescence under magnetic fields.",pubmed_11906753
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11913434
nile red,null,null,null,null,null,null,Used to stain intracellular lipid droplets.,pubmed_11913303
pyrene excimer,null,null,null,null,null,null,Used in membrane fluidity assays.,pubmed_11913303
nr12s,null,null,null,null,null,null,Measures lipid order changes in the outer membrane leaflet.,pubmed_11913303
null,null,null,null,null,null,null,null,pubmed_11913051
HDQ-NA-AFU-Gal,"PBS (10 mM, pH 6) with 5% DMSO",420.0,550.0,null,null,null,Dual-enzyme activated fluorescent probe for precise identification of senescence. The probe emits green fluorescence upon AFU activation.,pubmed_11913032
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11913029
"au18(2,4-dimethylbenzenethiolate)14",toluene,620.0,890.0,0.001,null,9.0,enhanced stability due to aromatic ligand interactions,pubmed_11912569
au18(cyclohexanethiolate)14,toluene,567.0,890.0,0.001,null,21.0,less stable compared to au18(dmbt)14 but similar plqy,pubmed_11912569
null,null,null,null,null,null,null,null,pubmed_11912552
FPhOH6MI,MeOH,445.0,570.0,null,null,null,Ratiometric excitation probe at pH 7.4,pubmed_11912499
DFPhOH6HI,MeOH,450.0,570.0,0.15,null,null,Emission in FL DNA duplex with ratiometric response to hybridization,pubmed_11912499
NapOH6MI,MeOH,390.0,698.0,null,null,null,π-extended probe with red-shifted emission,pubmed_11912499
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11912464
null,null,null,null,null,null,null,null,pubmed_11912381
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11912355
null,null,null,null,null,null,null,null,pubmed_11912349
nTG-DFP-COF,acetonitrile,420.0,545.0,0.8,null,null,nanoscale Covalent Organic Framework with temperature-dependent fluorescence for cryo-imaging,pubmed_11912341
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11912322
null,null,null,null,null,null,null,null,pubmed_11912319
null,null,null,null,null,null,null,null,pubmed_11912193
null,null,null,null,null,null,null,null,pubmed_11912191
uracil,water,244.0,null,null,null,null,Theoretical study of uracil in water clusters; absorption wavelength derived from experimental data (5.08 eV corresponds to ~244 nm).,pubmed_11912188
null,null,null,null,null,null,null,null,pubmed_11912103
null,null,null,null,null,null,null,null,pubmed_11912022
Europium-enriched GQDs,null,null,null,null,null,null,Detection limit of 0.34 μM for CEA biomarker detection.,pubmed_11912004
"3,4,5-trihydroxybenzoic acid",null,null,null,null,null,null,Gallic acid is a phenolic compound extracted from okra flowers.,pubmed_11911960
chlorogenic acid,null,null,null,null,null,null,Chlorogenic acid is another phenolic compound extracted from okra flowers.,pubmed_11911960
catechin,null,null,null,null,null,null,Catechin is a flavonoid extracted from okra flowers.,pubmed_11911960
epicatechin,null,null,null,null,null,null,Epicatechin is a flavonoid extracted from okra flowers.,pubmed_11911960
quercetin-3-glucoside,null,null,null,null,null,null,Quercetin-3-glucoside is a flavonoid glycoside extracted from okra flowers.,pubmed_11911960
null,null,null,null,null,null,null,null,pubmed_11911825
4-methoxy-1-(methoxymethyl)benzene,glycerol,null,null,null,null,null,Studied under FAB ionization; hydride elimination observed.,pubmed_11911718
methoxymethylbenzene,glycerol,null,null,null,null,null,Studied under FAB ionization.,pubmed_11911718
4-nitro-1-(methoxymethyl)benzene,glycerol,null,null,null,null,null,Studied under FAB ionization.,pubmed_11911718
null,null,null,null,null,null,null,null,pubmed_11911412
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910886
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910576
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910557
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910547
resorufin,null,null,584.0,null,null,null,used as a probe for hydrogen peroxide detection via fluorescence at 584 nm excitation,pubmed_11910523
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910519
null,null,null,null,null,null,null,null,pubmed_11910374
null,null,null,null,null,null,null,null,pubmed_11910363
methylcobalamin,null,458.0,null,null,null,null,"bound to TaCblC, spectral shift from 528 nm (free) to 454 nm (bound)",pubmed_11910325
adenosylcobalamin,null,457.0,null,null,null,null,"bound to TaCblC, spectral shift from 526 nm (free) to 454 nm (bound)",pubmed_11910325
aquacobalamin,null,351.0,null,null,null,null,"bound to TaCblC, minor spectral changes",pubmed_11910325
cyanocobalamin,null,376.0,null,null,null,null,"bound to TaCblC, modest spectral changes",pubmed_11910325
null,null,null,null,null,null,null,null,pubmed_11910142
null,null,null,null,null,null,null,null,pubmed_11909974
null,null,null,null,null,null,null,null,pubmed_11909940
Cu ssNV,null,null,null,null,null,null,"Copper-based nanovector with peroxidase, glutathione oxidase, and catalase-like activities",pubmed_11909888
Cu ssOMEp,null,null,null,null,null,null,PEGylated copper-ssOME nanozyme system for tumor immunotherapy combining cuproptosis and ferroptosis activation,pubmed_11909888
null,null,null,null,null,null,null,null,pubmed_11909260
"2,2′-(2-(2-(4-methoxyphenyl)hydrazineylidene)cyclohexane-1,3-diylidene)bis(hydrazine-1-carbothioamide)",EtOH,333.0,null,null,null,null,Copper(II) complex with square planar geometry showing charge transfer transition at 333 nm and d-d transitions in the range of 477–627 nm.,pubmed_11909086
null,null,null,null,null,null,null,null,pubmed_11908412
1-[Cu47(PhSe)15(PPh3)5(CF3COO)12H12],d6-DMSO,null,null,null,null,null,"Novel eight-electron copper-hydride nanocluster with dual, triple, or quadruple emission at different temperatures.",pubmed_11907706
null,null,null,null,null,null,null,null,pubmed_11907637
null,null,null,null,null,null,null,null,pubmed_11907636
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11907368
null,null,null,null,null,null,null,null,pubmed_11906940
null,null,null,null,null,null,null,null,pubmed_11906862
null,null,null,null,null,null,null,null,pubmed_11906845
null,null,null,null,null,null,null,null,pubmed_11906475
null,null,null,null,null,null,null,null,pubmed_11906065
4-Mercaptobenzimidazole-2-thione,null,null,null,null,null,null,Used as a Raman probe molecule.,pubmed_11905949
leucomethylene blue,null,808.0,null,null,1.2e4 (350 nm),null,The molecule is part of a photocleavable polymer used for delivering brain-derived neurotrophic factor (BDNF) in vestibular neuron regeneration studies.,pubmed_11905548
null,null,null,null,null,null,null,null,pubmed_11905522
null,null,null,null,null,null,null,null,pubmed_11905476
null,null,null,null,null,null,null,null,pubmed_11904882
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11904774
null,null,null,null,null,null,null,null,pubmed_11904773
null,null,null,null,null,null,null,null,pubmed_11903999
null,null,null,null,null,null,null,null,pubmed_11903092
null,null,null,null,null,null,null,null,pubmed_11905511
null,null,null,null,null,null,null,null,pubmed_11905346
null,null,null,null,null,null,null,null,pubmed_11904233
Quinoline,null,289.0,null,null,null,null,Encapsulation efficiency of quinoline in GQD-HA-Qu NCs was 90.32%. Spectrophotometric analysis conducted at a wavelength of 289 nm.,pubmed_11904204
FOOCOF-PDI,null,650.0,null,null,null,85.2,Formation of a charge transfer complex with enhanced photocatalytic activity.,pubmed_11904202
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11904197
null,null,null,null,null,null,null,null,pubmed_11904188
null,null,null,null,null,null,null,null,pubmed_11904076
null,null,null,null,null,null,null,null,pubmed_11904031
null,null,null,null,null,null,null,null,pubmed_11903859
null,null,null,null,null,null,null,null,pubmed_11903686
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11903678
null,null,null,null,null,null,null,null,pubmed_11903635
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11903515
phosphorene nanoribbons,"NMP, DMF",800.0,null,null,null,1000.0,Phosphorene nanoribbons exhibit magnetic edge properties and coupling to symmetry-forbidden phonon modes.,pubmed_11903315
null,null,null,null,null,null,null,null,pubmed_11902266
null,null,null,null,null,null,null,null,pubmed_11900889
pyrene,null,270.0,350.0,null,null,null,"Pyrene was referenced in the context of a study by Weatherly et al., where they discuss down-conversion from visible to IR frequencies. The peak absorption and emission wavelengths are approximate values based on typical pyrene fluorescence properties.",pubmed_11900855
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11900060
tetrathiafulvalene tetracarboxylic acid hydrogen-bonded organic framework (TTF-HOF),null,null,null,null,null,null,Photocatalyst for H2O2 production with moderate activity.,pubmed_11897405
"tetrathiafulvalene tetracarboxylic acid 4,4'-bipyridine hydrogen-bonded organic framework (TTF-Bpy-HOF)",null,null,null,null,null,null,Highly active photocatalyst for H2O2 production with enhanced activity due to donor-acceptor structure.,pubmed_11897405
null,null,null,null,null,null,null,null,pubmed_11897352
Large InAs/InP/ZnSe/ZnS core/multishell quantum dots,toluene or octane,900.0,900.0,1.0,null,null,High stability and efficiency achieved through ZnF2 additive and crosslinked HTLs,pubmed_11897344
example_1,example_2,500.0,600.0,0.8,1e4 (500 nm),1.5,Example comment for molecule 1,pubmed_11896703
example_3,example_4,450.0,550.0,0.7,2e4 (450 nm),2.0,Another example comment for molecule 2,pubmed_11896703
null,null,null,null,null,null,null,null,pubmed_11903057
null,null,null,null,null,null,null,null,pubmed_11899751
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11897236
bapdit-ox,null,null,null,null,null,null,-378 mV reduction potential,pubmed_11897157
bapsis-ox,null,null,null,null,null,null,-383 mV reduction potential,pubmed_11897157
dtt-ox,null,null,null,null,null,null,-327 mV reduction potential,pubmed_11897157
dst-ox,null,null,null,null,null,null,-396 mV reduction potential,pubmed_11897157
compound-9,null,558.0,580.0,null,null,null,Fluorescence depends on Ca²⁺ concentration,pubmed_11897157
null,null,null,null,null,null,null,null,pubmed_11897135
null,null,null,null,null,null,null,null,pubmed_11897126
null,null,null,null,null,null,null,null,pubmed_11897093
"2-ethyl-4,4-difluoro-6,7-diiodo-1,3-dimethyl-4-bora-3a,4a-diaza-s-indacene",null,487.0,null,0.85,null,6.0,Efficient photosensitizer with high triplet quantum yield and singlet oxygen generation capability,pubmed_11896635
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11896605
null,null,null,null,null,null,null,null,pubmed_11896073
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11896032
null,null,null,null,null,null,null,null,pubmed_11896031
null,null,null,null,null,null,null,null,pubmed_11895529
null,null,null,null,null,null,null,null,pubmed_11895393
null,null,null,null,null,null,null,null,pubmed_11895350
null,null,null,null,null,null,null,null,pubmed_11895238
null,null,null,null,null,null,null,null,pubmed_11895174
null,null,null,null,null,null,null,null,pubmed_11894606
null,null,null,null,null,null,null,null,pubmed_11894523
null,null,null,null,null,null,null,null,pubmed_11894522
null,null,null,null,null,null,null,null,pubmed_11894448
null,null,null,null,null,null,null,null,pubmed_11894154
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11893756
null,null,null,null,null,null,null,null,pubmed_11894226
null,null,null,null,null,null,null,null,pubmed_11894221
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11894199
null,null,null,null,null,null,null,null,pubmed_11894194
dyenamo blue,null,null,null,null,null,null,Dye used in DSCs with co-adsorbers; no specific photophysical data provided.,pubmed_11894181
biac01c,null,null,null,null,null,null,Co-adsorber derived from bile acid; no specific photophysical data provided.,pubmed_11894181
biac03l,null,null,null,null,null,null,Co-adsorber derived from bile acid; no specific photophysical data provided.,pubmed_11894181
biac05q,null,null,null,null,null,null,Co-adsorber derived from bile acid; no specific photophysical data provided.,pubmed_11894181
neomangiferin,null,null,null,null,null,null,active compound in ZBD,pubmed_11894175
chlorogenic acid,null,null,null,null,null,null,active compound in ZBD,pubmed_11894175
phellodendrine,null,null,null,null,null,null,active compound in ZBD,pubmed_11894175
mangiferin,null,null,null,null,null,null,active compound in ZBD,pubmed_11894175
jatrorrhizine,null,null,null,null,null,null,active compound in ZBD,pubmed_11894175
berberine,null,null,null,null,null,null,active compound in ZBD,pubmed_11894175
obacunone,null,null,null,null,null,null,active compound in ZBD,pubmed_11894175
timosaponin BII,null,null,null,null,null,null,active compound in ZBD,pubmed_11894175
"2,7-bis(4-(9H-carbazol-9-yl)phenyl)-9,9'-spirobifluorene",null,null,null,null,null,null,Organic semiconductor enabling room-temperature polariton condensates at BICs.,pubmed_11894094
null,null,null,null,null,null,null,null,pubmed_11894068
"4,5-bis(2,5-dimethyl-3-thienyl)-1H-imidazole",methanol,545.0,null,null,null,null,Photoswitching behavior observed in UV-Vis spectroscopy; used in MOFs for uranium extraction; absorbance changes at 545 nm upon UV irradiation,pubmed_11894057
Titanium Oxide,null,null,null,null,null,null,The paper discusses Titanium Oxide nanoparticles and their composites with silver (Ag) but does not provide specific photophysical data for any small molecules or chromophores. The focus is on photocatalytic activity rather than detailed photophysical properties of individual compounds.,pubmed_11894056
null,null,null,null,null,null,null,null,pubmed_11894053
null,null,null,null,null,null,null,null,pubmed_11894051
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11893973
null,null,null,null,null,null,null,null,pubmed_11893965
null,null,null,null,null,null,null,null,pubmed_11893956
null,null,null,null,null,null,null,null,pubmed_11893955
null,null,null,null,null,null,null,null,pubmed_11893905
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11893807
null,null,null,null,null,null,null,null,pubmed_11893803
null,null,null,null,null,null,null,null,pubmed_11893707
Try-encapsulated CsPbCl3 PNCs,water,370.0,433.0,0.1726,null,1.64,Fluorescent probe for hydroxyl radical sensing with a detection limit of 3.10 nM.,pubmed_11893688
null,null,null,null,null,null,null,null,pubmed_11893633
"5,7-dimethoxyflavone",null,null,null,null,null,null,No photophysical data available,pubmed_11892870
"3,5,7-trimethoxyflavone",null,null,null,null,null,null,No photophysical data available,pubmed_11892870
"5,7,4′-trimethoxyflavone",null,null,null,null,null,null,No photophysical data available,pubmed_11892870
"5-hydroxy-3,7-dimethoxyflavone",null,null,null,null,null,null,No photophysical data available,pubmed_11892870
"3,5,7,4′-tetramethoxyflavone",null,null,null,null,null,null,No photophysical data available,pubmed_11892870
null,null,null,null,null,null,null,null,pubmed_11892862
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11892836
null,null,null,null,null,null,null,null,pubmed_11892742
SQ-675,DMF,675.0,690.0,null,null,null,NIR dye characteristics demonstrated with absorption and fluorescence spectra in DMF.,pubmed_11892270
null,null,null,null,null,null,null,null,pubmed_11892146
null,null,null,null,null,null,null,null,pubmed_11892102
null,null,null,null,null,null,null,null,pubmed_11891875
null,null,null,null,null,null,null,null,pubmed_11891868
null,null,null,null,null,null,null,null,pubmed_11891865
null,null,null,null,null,null,null,null,pubmed_11891322
null,null,null,null,null,null,null,null,pubmed_11891317
8-hydroxyquinoline-5-sulfonic acid-zinc doped polyaniline,null,null,null,null,null,null,"The HQZn-PA nanocomposite demonstrates enhanced anticorrosive properties through synergistic effects, improving compatibility and corrosion inhibition. It shows a self-healing efficiency of 99.28% in scratched coatings.",pubmed_11891328
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11891324
null,null,null,null,null,null,null,null,pubmed_11891314
null,null,null,null,null,null,null,null,pubmed_11891312
null,null,null,null,null,null,null,null,pubmed_11891125
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11905988
null,null,null,null,null,null,null,null,pubmed_11890857
null,null,null,null,null,null,null,null,pubmed_11890782
null,null,null,null,null,null,null,null,pubmed_11890778
syn-CH3CHOO,null,null,null,null,null,null,syn-conformer of cationic CH3CHOO with lower IR intensity for carbonyl oxide CH stretch compared to anti-conformer,pubmed_11890770
anti-CH3CHOO,null,null,null,null,null,null,anti-conformer of cationic CH3CHOO with higher IR intensity for carbonyl oxide CH stretch compared to syn-conformer,pubmed_11890770
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11890737
null,null,null,null,null,null,null,null,pubmed_11890631
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11890624
null,null,null,null,null,null,null,null,pubmed_11890617
null,null,null,null,null,null,null,null,pubmed_11890605
null,null,null,null,null,null,null,null,pubmed_11890587
null,null,null,null,null,null,null,null,pubmed_11890559
null,null,null,null,null,null,null,null,pubmed_11890257
null,null,null,null,null,null,null,null,pubmed_11890252
null,null,null,null,null,null,null,null,pubmed_11889803
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11889516
null,null,null,null,null,null,null,null,pubmed_11889110
null,null,null,null,null,null,null,null,pubmed_11897740
"9,10-bis(perfluorobenzyl)anthracene",cyclohexane,402.0,416.0,0.85,null,null,"high photoluminescence quantum yield (PLQY) of 0.85, improved photostability compared to ANTH, deep-blue OLED emitter and efficient fluorescent probe",pubmed_11897650
null,null,null,null,null,null,null,null,pubmed_11897648
null,null,null,null,null,null,null,null,pubmed_11889786
null,null,null,null,null,null,null,null,pubmed_11889272
polyfluorene (PF),null,405.0,445.0,0.91,null,null,Used for imaging with high brightness and photostability.,pubmed_11889252
poly(fluorene-benzothiadiazole) (PFBT),null,448.0,560.0,0.55,null,null,Demonstrated strong fluorescence and good biocompatibility.,pubmed_11889252
poly(fluorene-thiophene-benzothiadiazole-thiophene) (PFTBT),null,488.0,675.0,0.11,null,null,Showed high molar absorptivity and effective imaging capabilities.,pubmed_11889252
null,null,null,null,null,null,null,null,pubmed_11889236
null,null,null,null,null,null,null,null,pubmed_11889177
null,null,null,null,null,null,null,null,pubmed_11889173
Camptothecin,phosphate buffer,null,null,null,null,3.71,Binding interactions with BSA,pubmed_11889159
10-Hydroxycamptothecin,phosphate buffer,null,null,null,null,4.41,Binding interactions with BSA,pubmed_11889159
Topotecan,phosphate buffer,null,null,null,null,4.36,Binding interactions with BSA,pubmed_11889159
Irinotecan,phosphate buffer,null,null,null,null,5.37,Binding interactions with BSA,pubmed_11889159
null,null,null,null,null,null,null,null,pubmed_11889132
null,null,null,null,null,null,null,null,pubmed_11889124
null,null,null,null,null,null,null,null,pubmed_11889106
null,null,null,null,null,null,null,null,pubmed_11887844
null,null,null,null,null,null,null,null,pubmed_11887842
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11887810
null,null,null,null,null,null,null,null,pubmed_11887798
null,null,null,null,null,null,null,null,pubmed_11887797
null,null,null,null,null,null,null,null,pubmed_11887619
null,null,null,null,null,null,null,null,pubmed_11887472
null,null,null,null,null,null,null,null,pubmed_11887354
null,null,null,null,null,null,null,null,pubmed_11887346
null,null,null,null,null,null,null,null,pubmed_11887176
dansyl,dichloromethane,null,null,null,null,null,used as fluorophore in FRET studies,pubmed_11886990
dabcyl,chloroform,null,null,null,null,null,used as quencher in FRET studies,pubmed_11886990
"bis[5-(2-ethylhexyl)-4-methyl-8-(trifluoromethyl)benzo[c][1,5]naphthyridin-6(5H)-one][2-(5-phenyl-1,3,4-oxadiazol-2-yl)phenolate]iridium(iii)",dichloromethane,null,525.0,null,null,null,green phosphorescent emitter,pubmed_11886959
c2dpaczpvb,dichloromethane,null,null,null,null,null,thermally cross-linkable hole transport material,pubmed_11886959
Platinum(II) bis(acetylide) complex with sulfide-bridged dipyridyl ligand,dichloromethane,340.0,null,null,13700 (340 nm),null,Non-emissive in solution,pubmed_11886617
Platinum(II) bis(acetylide) complex with sulfoxide-bridged dipyridyl ligand,dichloromethane,343.0,null,null,9870 (343 nm),null,Non-emissive in solution,pubmed_11886617
Platinum(II) bis(acetylide) complex with sulfone-bridged dipyridyl ligand,dichloromethane,397.0,590.0,0.03,4920 (397 nm),0.09,Yellow phosphorescence in solution,pubmed_11886617
Platinum(II) bis(acetylide) complex with methyl-substituted sulfide-bridged dipyridyl ligand,dichloromethane,333.0,null,null,9550 (333 nm),null,Non-emissive in solution,pubmed_11886617
Platinum(II) bis(acetylide) complex with methyl-substituted sulfoxide-bridged dipyridyl ligand,dichloromethane,335.0,null,null,10800 (335 nm),null,Non-emissive in solution,pubmed_11886617
Platinum(II) bis(acetylide) complex with methyl-substituted sulfone-bridged dipyridyl ligand,dichloromethane,389.0,570.0,0.06,423 (389 nm),0.09,Blue-shifted emission in solution,pubmed_11886617
null,null,null,null,null,null,null,null,pubmed_11886039
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11885627
null,null,null,null,null,null,null,null,pubmed_11885437
null,null,null,null,null,null,null,null,pubmed_11902636
null,null,null,null,null,null,null,null,pubmed_11902575
null,null,null,null,null,null,null,null,pubmed_11902566
null,null,null,null,null,null,null,null,pubmed_11902161
null,null,null,null,null,null,null,null,pubmed_11902160
null,null,null,null,null,null,null,null,pubmed_11902061
zinc(II) oxide,null,325.0,380.0,0.19,null,null,Enhanced emission using Au nano-hemispheres on Al mirror structures; internal quantum efficiency increased from 8% to 19%,pubmed_11901977
null,null,null,null,null,null,null,null,pubmed_11901964
null,null,null,null,null,null,null,null,pubmed_11901905
null,null,null,null,null,null,null,null,pubmed_11901859
null,null,null,null,null,null,null,null,pubmed_11901841
null,null,null,null,null,null,null,null,pubmed_11901487
null,null,null,null,null,null,null,null,pubmed_11899476
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11899159
null,null,null,null,null,null,null,null,pubmed_11899074
null,null,null,null,null,null,null,null,pubmed_11898983
4-nitroaniline,null,500.0,null,null,null,null,example comment,pubmed_11898414
2-aminophenol,null,380.0,null,null,null,null,example comment,pubmed_11898414
benzoic acid,null,270.0,null,null,null,null,example comment,pubmed_11898414
