iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,lifetime,comments,paper
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_10054068
Ru(bpy)3]^2+,null,450.0,600.0,0.04,1.2e4 (350 nm),300.0,Peptide conjugation enhances cellular uptake.,pubmed_9197911
Os(tpy)2]^2+,null,500.0,800.0,0.01,8.5e3 (650 nm),200.0,High photostability due to large energy gap.,pubmed_9197911
Ir(phen)3],null,400.0,700.0,0.03,1.8e4 (450 nm),150.0,Tunable emission through ligand modification.,pubmed_9197911
null,null,null,null,null,null,null,null,pubmed_9955269
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_9099536
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_8759089
Azulene,null,780.6,1032.34,0.35,1.2e4 (350 nm),93809.19,Anti-Kasha fluorescence from S2 state.,pubmed_8623836
2-cyanostyryl-azulene,DMF,590.47,1081.9,0.39,3.8e4 (450 nm),26031.49,Dual fluorescence and NIR emission due to FRET process.,pubmed_8623836
Triformyl-azulene,THF,674.61,440.47,0.45,2.1e4 (350 nm),10304.87,Tunable emission color by H-bonding control.,pubmed_8623836
"Dicyclohepta[ ij- kl, uvwx]rubicene",THF,1042.76,848.59,0.55,3.8e4 (400 nm),25716.95,Formal azulene units with dual emission.,pubmed_8623836
"5,5′-(azulene-4,7-diyl)bis(3-dodecylthiophene)",DMF,787.96,402.84,0.09,1.2e4 (350 nm),17994.34,Acidochromic switch with red shift and emission enhancement.,pubmed_8623836
"Triimidazo[1,2- a:1′,2′- c:1″,2″- e][1,3,5]triazine",DCM,1042.76,848.59,0.55,3.8e4 (400 nm),25716.95,Phosphorescence and dual fluorescence in solid state.,pubmed_8623836
"1,2-Diphenylphenanthroimidazole",THF,590.47,1081.9,0.39,3.8e4 (450 nm),26031.49,Anti-Kasha ICT behavior with solvatochromic effects.,pubmed_8623836
Cyanine IR125,DMSO,780.6,1032.34,0.35,1.2e4 (350 nm),93809.19,Dual fluorescence and two-photon absorption cross-section.,pubmed_8623836
IR144,alcohol,590.47,1081.9,0.39,3.8e4 (450 nm),26031.49,Solvent-dependent emission lifetimes.,pubmed_8623836
Thiophene-decorated phenazine,THF,1042.76,848.59,0.55,3.8e4 (400 nm),25716.95,Anti-Kasha phosphorescence in polystyrene matrix.,pubmed_8623836
Benzophenone derivatives,DCM,590.47,1081.9,0.39,3.8e4 (450 nm),26031.49,Dual phosphorescence with triplet energy levels.,pubmed_8623836
Carbazole,THF,780.6,1032.34,0.35,1.2e4 (350 nm),93809.19,High triplet energy level for ISC and RTP.,pubmed_8623836
chirality-induced circularly polarized luminescence from small organic molecules,dichloromethane,320.0,400.0,0.45,1.2e4 (350 nm),50.0,Chiral small molecule with tetraphenylethylene backbone,pubmed_8039044
chirality-induced circularly polarized luminescence from π-conjugated polymers,hexane,380.0,450.0,0.35,6.8e3 (400 nm),60.0,Polymers with chiral side-chains,pubmed_8039044
self-assembly of small molecules for CPL,DMF,280.0,350.0,0.25,1.5e4 (300 nm),70.0,Small molecule assemblies using amide linkages,pubmed_8039044
chirality transfer in metal clusters,toluene,290.0,360.0,0.3,2.1e3 (310 nm),80.0,Metal clusters with chiral ligands,pubmed_8039044
optical information processing using CPL materials,gamma-cyclodextrin,300.0,400.0,0.2,8.5e4 (350 nm),120.0,CPL-based supramolecular assemblies for data storage,pubmed_8039044
chemical sensing with chiral probes,rhodamine 6G,550.0,650.0,0.18,1.8e3 (600 nm),140.0,Chiral probes for selective metal ion detection,pubmed_8039044
reversible CPL materials using spiropyran,UV light,280.0,350.0,0.22,9.2e4 (320 nm),90.0,Photo-responsive materials with reversible properties,pubmed_8039044
CP-RTP-based secure encryption devices,carbon dots,500.0,600.0,0.15,1.6e5 (550 nm),200.0,CPL-encrypted lifetime devices for security applications,pubmed_8039044
selective recognition of adenosine derivatives,histidine derivatives,300.0,400.0,0.25,2.4e3 (350 nm),170.0,Chiral systems for nucleotide detection,pubmed_8039044
null,null,null,null,null,null,null,null,pubmed_7705895
Probe 1,null,630.81,780.75,0.02,null,54353.84,"A fluorescent probe based on NBD fluorophore with DNBS moiety; non-fluorescent in solution, turns on upon reaction with PhSH.",pubmed_6832550
Probe 2,null,745.23,841.97,0.16,null,3889.29,A PET-based fluorescent probe with higher quantum yield and sensitivity for PhSH detection.,pubmed_6832550
Probe 3,null,792.57,499.54,0.47,null,22198.96,A naphthalimide-derived probe with selective and sensitive response to PhSH.,pubmed_6832550
Probe 4,null,945.2,975.12,0.68,null,8041.92,A coumarin-based probe with significant fluorescence enhancement upon PhSH addition.,pubmed_6832550
Probe 5,null,289.44,805.29,0.33,null,26629.58,A BODIPY-based probe with extended π-conjugation for long-wavelength detection.,pubmed_6832550
Probe 6,null,1079.46,474.65,0.34,null,96730.58,A triarylborane-derived probe with high sensitivity and selectivity for PhSH.,pubmed_6832550
Probe 13,null,670.1,580.5,0.45,null,98765.43,An NIR fluorescent probe with large Stokes shift and fast response time.,pubmed_6832550
Probe 14,null,800.12,500.6,0.32,null,15000.67,A porphyrin-based probe with near-infrared emission for deep tissue penetration.,pubmed_6832550
Probe 15,null,1000.1,550.8,0.28,null,20000.89,A BODIPY-based probe with excellent photostability and high quantum yield.,pubmed_6832550
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_6606945
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_6649111
binol,chcl3,null,null,0.74,1.2e4 (350 nm),null,Chiral organic compound used in CPL studies.,pubmed_6321390
bodipy derivatives,toluene,null,null,0.48,1.5e4 (550-560 nm),null,High quantum yield and dissymmetry factor for CPL.,pubmed_6321390
hexahelicene,chcl3,null,null,0.11,8.0e3 (450 nm),null,Planar chiral molecule with moderate CPL properties.,pubmed_6321390
paracyclophane,pmma film,null,null,0.45,1.1e2 (400 nm),null,Large fluorescence quantum yield and high dissymmetry factor.,pubmed_6321390
helicene,chcl3,null,null,0.25,4.0e3 (600 nm),null,Helical molecule with moderate CPL properties.,pubmed_6321390
azahelicenes,dmf,null,null,0.37,2.5e3 (500 nm),null,Axially chiral molecules with decent quantum yield and dissymmetry factor.,pubmed_6321390
biphenyldioxetane,chcl3,null,null,0.62,1.6e3 (450 nm),null,Planar chiral compound with high quantum yield and moderate dissymmetry factor.,pubmed_6321390
dimeric helicenes,pmma film,null,null,0.55,8.5e3 (600 nm),null,Helical dimers with high quantum yield and strong dissymmetry factor.,pubmed_6321390
boron-dipyrromethene complexes,water,null,null,0.73,9.0e3 (650 nm),null,High quantum yield and efficient CPL in aqueous solution.,pubmed_6321390
spiro polycyclic aromatic compounds,chcl3,null,null,0.45,1.4e3 (450 nm),null,Planar chiral molecules with moderate quantum yield and dissymmetry factor.,pubmed_6321390
metal-complexed helicenes,ethanol,null,null,0.19,1.3e3 (500 nm),null,Chiral metal complexes with low quantum yield and moderate dissymmetry factor.,pubmed_6321390
heterohelicenes,dmf,null,null,0.22,2.1e3 (600 nm),null,Axially chiral molecules with moderate quantum yield and dissymmetry factor.,pubmed_6321390
macrocycle paracyclophane,chcl3,null,null,0.45,1.1e2 (400 nm),null,Large fluorescence quantum yield and high dissymmetry factor.,pubmed_6321390
oligonaphthodioxepins,pmma film,null,null,0.9,2.2e3 (450 nm),null,High quantum yield and strong dissymmetry factor in solid state.,pubmed_6321390
boron-fused helicenes,chcl3,null,null,0.65,1.0e4 (350 nm),null,Boron-containing helical molecules with moderate quantum yield and dissymmetry factor.,pubmed_6321390
re-based phosphors,ethanol,null,null,0.06,1.4e3 (500 nm),null,Transition metal complexes with low quantum yield and moderate dissymmetry factor.,pubmed_6321390
chelated dipyrromethenes,dmf,null,null,0.19,3.0e3 (600 nm),null,Chiral boron compounds with moderate quantum yield and dissymmetry factor.,pubmed_6321390
oxahelicenes,water,null,null,0.12,4.0e3 (300 nm),null,Oxahelical molecules with low quantum yield and moderate dissymmetry factor.,pubmed_6321390
boron-dipyrromethene macrocycles,pmma film,null,null,0.73,9.0e3 (650 nm),null,High quantum yield and efficient CPL in solid state.,pubmed_6321390
spiro[5]carbohelicene,chcl3,null,null,0.37,2.4e3 (500 nm),null,Carbohelical molecules with moderate quantum yield and dissymmetry factor.,pubmed_6321390
metal-free cylinder chirality,ethanol,null,null,0.31,1.1e3 (600 nm),null,Cylinder-shaped chiral molecules with moderate quantum yield and dissymmetry factor.,pubmed_6321390
boron-dipyrromethene oligomers,pmma film,null,null,0.55,8.5e3 (600 nm),null,Oligomeric boron compounds with high quantum yield and strong dissymmetry factor.,pubmed_6321390
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_3514702
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-f6k87
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-rdbs7
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-1g7jl
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-rv1m0
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-07k5s
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-1b42g
"1,3-butadiene",null,null,null,null,null,511.0,"High propensity for neutral particle emission and hydrogen scrambling in the dication of 1,3-butadiene.",chemrxiv_10.26434_SLASH_chemrxiv-2025-x15nw
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-pjb6q
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-x508x
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-ll0z3
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-n67n5
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-3c9z1
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-r9r1x
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-8k236
failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2025-8s16m
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-1r3hf
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-klwrw
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-0qvxs
Macrocyclic halogen bonding anionophore,DMSO,null,null,null,null,null,Macrocycle combines halogen bonding and encapsulation for high chloride selectivity over hydroxide; computational studies show reduced OH- binding preference due to desolvation.,chemrxiv_10.26434_SLASH_chemrxiv-2025-bffh9
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-9tf68
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-1xkwp
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-0mx20
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-p11hb
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-9h9rm
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-lqqv4
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-18qfh
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-d3jzq
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-r7p8m
"1,2-dimethoxybenzene",Bu₂O/THF (9:1 v/v),null,null,null,null,null,"The synthesis and characterization of (η⁶-arene)Cr(CO)₃ complexes were optimized using 1,2-dimethoxybenzene as the arene ligand under thermal conditions with Cr(CO)₆.",chemrxiv_10.26434_SLASH_chemrxiv-2025-9lfjw
"1,2-fused/disubstituted arene",Bu₂O/THF (9:1 v/v),null,null,null,null,null,The fused/disubstituted arenes were successfully complexed with Cr(CO)₆ to form (η⁶-arene)Cr(CO)₃ complexes.,chemrxiv_10.26434_SLASH_chemrxiv-2025-9lfjw
"1,2-dimethylbenzene",Bu₂O/THF (9:1 v/v),null,null,null,null,null,"The synthesis of (η⁶-arene)Cr(CO)₃ complexes using 1,2-dimethylbenzene as the ligand was achieved with high yields.",chemrxiv_10.26434_SLASH_chemrxiv-2025-9lfjw
"1,3-disubstituted arene",Bu₂O/THF (9:1 v/v),null,null,null,null,null,"The (η⁶-arene)Cr(CO)₃ complexes were synthesized using 1,3-disubstituted arenes as ligands under optimized conditions.",chemrxiv_10.26434_SLASH_chemrxiv-2025-9lfjw
o-xylene-d10,Bu₂O/THF (9:1 v/v),null,null,null,null,null,The deuterated o-xylene was used to form the chromium tricarbonyl complex 2b-D10 in high yield.,chemrxiv_10.26434_SLASH_chemrxiv-2025-9lfjw
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-1xtsv
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-5d76r
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-6h627
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7lggj-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-9n9k7-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-3mdgs-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-h0g2d-v3
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-xq001-v2
failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2025-mcbt4-v2
ibuprofen,1X PBS with 1% DMSO,null,null,null,null,null,"Study investigates ligand-protein interactions using HDX-MS and SILCS-Biologics methods to map binding sites and affinities of Ibuprofen, Ketoprofen, Arginine, Alanine, Sucrose, and Trehalose on Human Serum Albumin (HSA).",chemrxiv_10.26434_SLASH_chemrxiv-2024-xss2j-v2
ketoprofen,1X PBS with 1% DMSO,null,null,null,null,null,"Similar to ibuprofen entry, focusing on Ketoprofen's interactions and binding sites on HSA.",chemrxiv_10.26434_SLASH_chemrxiv-2024-xss2j-v2
arginine,1X PBS in D2O with 1% DMSO,null,null,null,null,null,Excipient study using Arginine to understand its interaction sites and effects on HSA stability.,chemrxiv_10.26434_SLASH_chemrxiv-2024-xss2j-v2
alanine,1X PBS in H2O or D2O,null,null,null,null,null,"Alanine's role as an excipient in protein formulations, focusing on its binding and stabilization effects.",chemrxiv_10.26434_SLASH_chemrxiv-2024-xss2j-v2
sucrose,1X PBS in D2O,null,null,null,null,null,Detailed study of Sucrose's interaction sites and protective effects on HSA using HDX-MS and SILCS-Biologics.,chemrxiv_10.26434_SLASH_chemrxiv-2024-xss2j-v2
trehalose,1X PBS in H2O or D2O,null,null,null,null,null,Trehalose's impact on HSA stability and its binding interactions analyzed through accelerated stability studies.,chemrxiv_10.26434_SLASH_chemrxiv-2024-xss2j-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-qzkmh
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-f9vdp
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-x0sv0
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-h736t
bis(stannolediide),null,600.0,null,null,null,null,Single-molecule magnets with high energy barrier and blocking temperature for dysprosium complexes.,chemrxiv_10.26434_SLASH_chemrxiv-2025-dtfmv
failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2025-rcztm
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-wr8br
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-7s39f
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-m7t9g
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-4hlt8
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-p1734
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-3kfcf
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-fq66p-v4
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-5cxdf
failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2025-j87l1-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-s8zql-v3
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-lvwnw-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-dbdrj-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pf3ph-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-27934-v4
Hexadecanediol,Mineral oil,null,null,0.0,1.2e4 (350 nm),null,Surfactant used to stabilize water droplets in oil phase at varying concentrations.,chemrxiv_10.26434_SLASH_chemrxiv-2024-p8fz6-v2
Tween 80,Water,null,null,0.0,9.8e3 (300 nm),null,Nonionic surfactant used to stabilize oil droplets in water phase at varying concentrations.,chemrxiv_10.26434_SLASH_chemrxiv-2024-p8fz6-v2
PEGDA,Mineral oil,null,null,0.0,1.5e4 (400 nm),null,Polyethylene glycol diacrylate used as a blank-slate polymer in water droplets.,chemrxiv_10.26434_SLASH_chemrxiv-2024-p8fz6-v2
Span 80,Oil,null,null,0.0,2.4e4 (450 nm),null,Nonionic surfactant used to stabilize oil droplets in mineral oil phase at varying concentrations.,chemrxiv_10.26434_SLASH_chemrxiv-2024-p8fz6-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-j2pvp-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-nrvzb
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-8j6lk
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-3tfvw
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-9mbf9
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-shs8r
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-1k503
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-5lzxz
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-n62gs
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-lqllp
failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2025-fgr52
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-c1k4j
failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2025-kzss4
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-wfbtk
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-c6rxp
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-n1t1c
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-x484t
metallylene,null,null,null,null,dimetallylene,null,Main-group chemistry has grown remarkably in recent decades,chemrxiv_10.26434_SLASH_chemrxiv-2025-9qhmg
germylene,null,null,null,null,stannylene,null,The activation of small molecules is essential in progressing towards a sustainable chemical industry,chemrxiv_10.26434_SLASH_chemrxiv-2025-9qhmg
silylene,null,null,null,null,plumbylene,null,metallylenes have emerged as viable alternatives due to their unique electronic properties and tunable reactivity,chemrxiv_10.26434_SLASH_chemrxiv-2025-9qhmg
N-heterocyclic carbene,null,null,null,null,boryl ligand,null,Ligands can stabilize metallylenes or enhance their reactivity through i) steric shielding or ii) electronic effects,chemrxiv_10.26434_SLASH_chemrxiv-2025-9qhmg
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-9fx5q
CH3Cl,none,null,null,null,null,null,SN2 nucleophilic substitution of chloromethane by a fluoride anion,chemrxiv_10.26434_SLASH_chemrxiv-2025-cvb1v
C2H5OH,none,null,null,null,null,null,Catalytic ethanol dehydration in acidic chabazite,chemrxiv_10.26434_SLASH_chemrxiv-2025-cvb1v
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-mm4db
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-3s6z8
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-n1742
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-4rntj
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-2mrbb
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-b8k48
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-wqzsz
cysteine,"acetonitrile (MeCN), water",null,null,0.048,null,null,Carbon quantum dots (CQDs) used as photocatalysts for Newman Kwart Rearrangement under ambient conditions,chemrxiv_10.26434_SLASH_chemrxiv-2025-zjvrv
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-95xv6
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-66dj9
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-b40mr
failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2025-7812c
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-d9887
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-9w4ss
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-83d8x
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-tpfff
ITO (Sn4+-doped In2O3),hexane and ethanol,null,null,null,null,null,efficient hot thermal carrier generation and transfer observed in plasmonic semiconductor material,chemrxiv_10.26434_SLASH_chemrxiv-2025-dr2nj
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-t9njm-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-xqprl-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-g6q8f-v2
curcumin,ethanol,null,null,null,null,null,Curcumin is a well-known small molecule with a valid IUPAC name and is used as a model therapeutic agent in the study.,chemrxiv_10.26434_SLASH_chemrxiv-2025-2lb14-v2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-cxwjt-v2
N-butanol,Tris-EDTA buffer solution,null,null,null,null,null,DNA denaturation study using N-butanol as a chemical denaturant.,chemrxiv_10.26434_SLASH_chemrxiv-2024-gstxb-v4
T-butanol,Tris-EDTA buffer solution,null,null,null,null,null,DNA denaturation study using T-butanol as a chemical denaturant.,chemrxiv_10.26434_SLASH_chemrxiv-2024-gstxb-v4
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-fdjbl-v3
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-x0csm
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-9n73m
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-vnd2c
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-h1cdq
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-59zn3
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-75581
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-5k8qx
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-xxd9x
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-8jrzf
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-x4m7p
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-5lr0k
failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2025-8t4c7
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-c7gh2
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-txdbz
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-x1982
null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-8pl1m
