reactants,products,paper,Valid
CC/C=C/C(=O)c1ccccc1.FC(F)=NN=C(Br)c1ccccc1,CCC(C(=O)c1ccccc1)C1NNC(C(F)F)N1c1ccccc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
C/C=C/C(=O)OC.FC(F)=NN=C(Br)c1ccccc1,COC(=O)C1CCNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
C/C=C/C(=O)OCC.FC(F)=NN=C(Br)c1ccccc1,CCOC(=O)C1CCNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COC(=O)/C=C/C(C)C.FC(F)=NN=C(Br)c1ccccc1,COC(=O)C1C(C(C)C)CNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
CCC/C=C/C(=O)OC.FC(F)=NN=C(Br)c1ccccc1,CCCC1CNN(c2ccccc2C(F)F)C1C(=O)OC,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COC(=O)/C=C/c1ccccc1.FC(F)=NN=C(Br)c1ccccc1,COC(=O)C1C(c2ccccc2)CNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COC(=O)/C=C/c1ccc(C)cc1.FC(F)=NN=C(Br)c1ccccc1,COC(=O)C1C(c2ccc(C)cc2)CNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COC(=O)/C=C/c1ccc(Cl)cc1.FC(F)=NN=C(Br)c1ccccc1,COC(=O)C1C(c2ccc(Cl)cc2)CNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COC(=O)/C=C/C(=O)OC.FC(F)=NN=C(Br)c1ccccc1,COC(=O)C1(C(=O)OC)CNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
C/C=C/C(N)=O.FC(F)=NN=C(Br)c1ccccc1,NC(=O)C1CCNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
C/C=C/C(=O)N(C)C.FC(F)=NN=C(Br)c1ccccc1,CN(C)C(=O)C1CCNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.NC(=O)/C=C/c1ccccc1,NC(=O)C1C(c2ccccc2)CNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
CN(C)C(=O)/C=C/c1ccccc1.FC(F)=NN=C(Br)c1ccccc1,CN(C)C(=O)C1C(c2ccccc2)CNN1c1ccccc1C(F)F,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=[N+]([O-])/C=C/c1ccccc1,FC(F)c1cc(-c2ccccc2)n(-c2ccccc2)n1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
Cc1ccc(/C=C/[N+](=O)[O-])cc1.FC(F)=NN=C(Br)c1ccccc1,Cc1ccc(-c2cnn(-c3ccccc3)c2C(F)F)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COc1ccc(/C=C/[N+](=O)[O-])cc1.FC(F)=NN=C(Br)c1ccccc1,COc1ccc(-c2cnn(-c3ccccc3)c2C(F)F)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=[N+]([O-])/C=C/c1ccc(Cl)cc1,FC(F)c1c(-c2ccc(Cl)cc2)cnn1-c1ccccc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=[N+]([O-])/C=C/c1ccc(Br)cc1,FC(F)c1c(-c2ccc(Br)cc2)cnn1-c1ccccc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COC(=O)c1ccc(/C=C/[N+](=O)[O-])cc1.FC(F)=NN=C(Br)c1ccccc1,COC(=O)c1ccc(-c2cnn(-c3ccccc3)c2C(F)F)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccccc1.O=[N+]([O-])/C=C/c1cccc2ccccc12,FC(F)c1cc(-c2cccc3ccccc23)n(-c2ccccc2)n1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
Cc1ccc(C(Br)=NN=C(F)F)cc1.O=[N+]([O-])/C=C/c1ccccc1,Cc1ccc(nn1)C(C(F)F)c2ccccc2,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
FC(F)=NN=C(Br)c1ccc(Br)cc1.O=[N+]([O-])/C=C/c1ccccc1,FC(F)C(c1ccccc1)c2ccc(Br)nn2,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COc1ccc(/C=C/[N+](=O)[O-])cc1.FC(F)=NN=C(Br)c1ccc(F)cc1,COc1ccc(-c2cnn(-c3ccc(F)cc3)c2C(F)F)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COc1ccc(/C=C/[N+](=O)[O-])cc1.FC(F)=NN=C(Br)c1ccc(Br)cc1,COc1ccc(-c2cnn(-c3ccc(Br)cc3)c2C(F)F)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
COC(=O)c1ccc(/C=C/[N+](=O)[O-])cc1.Cc1ccc(C(Br)=NN=C(F)F)cc1,COC(=O)c1ccc(-c2cnn(-c3ccc(C)cc3)c2C(F)F)cc1,Asian J Org Chem - 2022 - Ren - Synthesis of Difluoromethyl Pyrazolines and Pyrazoles by  3 2  Cycloaddition Reaction of,yes
CCOC(=O)C(=CC(=O)c1ccccc1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccccc2)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccc(C)cc1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccc(C)cc2)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccc(OC)cc1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccc(OC)cc2)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccc(F)cc1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccc(F)cc2)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccc(Cl)cc2)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1cc(Cl)ccc1Cl)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2cc(Cl)ccc2Cl)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccc(Cl)cc1Cl)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccc(Cl)cc2Cl)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccc(Br)cc1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccc(Br)cc2)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccc([N+](=O)[O-])cc1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccsc1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccsc2)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1cc2ccccc2o1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2cc3ccccc3o2)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1cccc2ccccc12)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2cccc3ccccc23)oc(-c2ccccc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccc(C)cc1)C(=O)c1ccccc1.N#CN,CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(C)cc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccccc1)C(=O)c1ccc(C)cc1.N#CN,CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(C)cc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccccc1)C(=O)c1ccc(OC)cc1.N#CN,CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(OC)cc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccccc1)C(=O)c1cccc(Cl)c1.N#CN,CCOC(=O)c1c(-c2ccccc2)oc(-c2cccc(Cl)c2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1.N#CN,CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(Cl)cc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccccc1)C(=O)c1ccc(Br)cc1.N#CN,CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(Br)cc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccccc1)C(=O)c1ccc([N+](=O)[O-])cc1.N#CN,CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc([N+](=O)[O-])cc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)c1c(-c2ccccc2)oc(-c2ccccc2)c1NC(N)=O,O=C1NC(=O)c2oc(c3ccccc3)c(c2N1)c4ccccc4,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(C)cc2)c1NC(N)=O,Cc1ccc(cc1)c2oc3C(=O)NC(=O)Nc3c2c4ccccc4,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(F)cc2)c1NC(N)=O,Fc1ccc(cc1)c2oc3C(=O)NC(=O)Nc3c2c4ccccc4,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(Cl)cc2)c1NC(N)=O,Clc1ccc(cc1)c2oc3C(=O)NC(=O)Nc3c2c4ccccc4,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(Br)cc2)c1NC(N)=O,Brc1ccc(cc1)c2oc3C(=O)NC(=O)Nc3c2c4ccccc4,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,no
CCOC(=O)c1c(-c2ccc(C)cc2)oc(-c2ccccc2)c1NC(N)=O,Cc1ccc(cc1)c2c3NC(=O)NC(=O)c3oc2c4ccccc4,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)c1c(-c2ccc(OC)cc2)oc(-c2ccccc2)c1NC(N)=O,COc1ccc(cc1)c2c3NC(=O)NC(=O)c3oc2c4ccccc4,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)c1c(-c2ccccc2)oc(-c2cccc(Cl)c2)c1NC(N)=O,Clc1cccc(c1)c2c3NC(=O)NC(=O)c3oc2c4ccccc4,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc(Cl)cc2)c1NC(N)=O,Clc1ccc(cc1)c2c3NC(=O)NC(=O)c3oc2c4ccccc4,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C(=CC(=O)c1ccc([N+](=O)[O-])cc1)C(=O)c1ccccc1.N#CN,CCOC(=O)C1=C(c2ccccc2)O[C@@]2(c3ccc([N+](=O)[O-])cc3)OC(N)=N[C@@H]12,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
CCOC(=O)C1=C(c2ccccc2)O[C@@]2(c3ccc([N+](=O)[O-])cc3)OC(N)=N[C@@H]12,CCOC(=O)c1c(-c2ccccc2)oc(-c2ccc([N+](=O)[O-])cc2)c1NC(N)=O,Eur J Org Chem - 2023 - Zhang - DABCO‐Promoted Bicyclization Rearrangement Reaction Synthesis of Tetrasubstituted Furans,yes
