mof_name,metal_center,organic_linker,crystal_system,space_group,surface_area,pore_volume,pore_size,synthesis_method,thermal_stability,chemical_stability,applications,topology_code,additional_properties,paper,TP/TN/FP/FN,Notes,rand
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-221r5,TN,,0.1577323058
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-51bpl,FN,,0.6551077536
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-5w7wq,FN,,0.0003775235
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-nrhcf,TN,,0.7420169925
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-78mtl,TN,,0.2766468793
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-h5c6b,TN,,0.0749563712
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-k170m-v2,TN,,0.2018883389
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_10566514,TN,,0.991192586
null,"QDs,CNTs",nanoparticles,tetragonal,Fd-3m,2.645,null,78.09,null,solution synthesis method,up to 40°C for stability in air at room temperature and higher temperatures up to 300 °C depending on specific material requirements,resistant to acidic/basic conditions with limited solubility under certain pH ranges,optical devices,"RCSR symbols like pcu,dia,tbo",Pubmed_10674406,FP,,0.7341073051
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_10848714,TN,,0.0851051284
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11027138,FN,,0.585268876
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11125313,TN,,0.9341393567
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11181996,TN,,0.4270377604
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11186162,TN,,0.6233081708
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11187750,TN,,0.4759308696
null,null,null,null,null,null,null,null,null,null,null,null,null,null,Pubmed_11275002,TN,,0.2294873502
Octacyano-Cu-Phthalocyanine,Cu,Phthalocyanine,cubic,P21/c,46.37,0.59,180.4,"XRD patterns recorded using a diffractometer (Rigaku, Ultima IV)",up to 300 °C,stable in acidic and basic environments,photoconductors for laser printers,pcu,used as photoelectric conversion materials,Pubmed_11270545,FP,,0.8160313761
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11244229,,,0.5409931629
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10669447,,,0.3728722124
null,null,null,null,null,null,null,null,null,null,null,null,null,null,unpaywall_10.26434_SLASH_chemrxiv-2022-00xd7,,,0.2669084072
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qjw9z,,,0.8894772457
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11313433,,,0.6343524661
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-r4hpx,,,0.41886989
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-r72sm-v2,,,0.2738961524
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-f7t09,,,0.1806852391
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sg3mk,,,0.7069843267
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-prk53-v2,,,0.5964034933
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10802901,,,0.0280483579
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2310.18332v2,,,0.0186993498
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11256081,,,0.3134439704
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10734697,,,0.030096893
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11007821,,,0.4122897305
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-7x71w,,,0.5365873484
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11268505,,,0.3674647436
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-nz8hc-v2,,,0.0468274502
TTPE-COF681.27/2.93585,-/Fe(III),3.07 × 10−6,null,null,null,null,null,null,null,null,null,null,null,pubmed_10901996,,,0.9300717358
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10801475,,,0.9859753272
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10952360,,,0.6639102392
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10655246,,,0.2274620458
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-wwd09,,,0.6957376467
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11207124,,,0.2838263097
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2211.08861v1,,,0.1842133973
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11046421,,,0.8445860043
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-89jlx,,,0.1516847962
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-w341f-v2,,,0.243152651
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10971411,,,0.8705383474
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11089931,,,0.2210843086
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11094723,,,0.2680443462
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11133347,,,0.0316072714
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11206542,,,0.7542769492
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-60ngs,,,0.6598653151
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10421097,,,0.6072020174
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qwhz1,,,0.1604537659
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-n0xm9-v3,,,0.6194902824
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10924141,,,0.4811084326
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11203356,,,0.6209101202
Enabling long-distance hydrogen spillover in nonreducible metal-organic frameworks for catalytic reaction,Cu,null,cubic,P 2_1/c,7.48,0.93,169.48,"Synthesis of Pt nanoparticles, general synthetic method for MOFs/Pt, synthesis of cubic Zn-ZIF-8@Pt@Zn-ZIF-8 homologs",>50°C,Stable in acidic and basic environments,Selective hydrogenation of N-heteroarenes via controllable hydrogen spillover from Pt to MOFs-shell,pcu,"Surface area increased with shell thickness, pore size varied with linker type, theoretical calculations provided insights into hydrogen migration mechanisms]",pubmed_11269641,,,0.6337650029
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vlh6f,,,0.2117434316
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1f3st,,,0.3495965577
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11259922,,,0.9640166089
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-f5ll4,,,0.1891694162
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5f0cv,,,0.1864480958
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10828635,,,0.8068995557
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-906jv,,,0.7893699515
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-f7n5n,,,0.995545862
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rf0jn,,,0.8145186203
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10574269,,,0.3923230555
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9bnjv-v2,,,0.5543656254
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10707916,,,0.2382683393
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-3klgk,,,0.4602917437
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11066737,,,0.9361036748
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r2hng,,,0.8344274717
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-wwpbt,,,0.9835506408
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hfpqg-v2,,,0.8500721445
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10923900,,,0.3487548237
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10801355,,,0.9260733661
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hqbz5-v2,,,0.142484678
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2104.15069v1,,,0.2684725141
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-h5zqj,,,0.4727626366
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11303086,,,0.8827941106
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hqkm6,,,0.716680937
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11223133,,,0.048695137
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10915056,,,0.6532903132
MetaCell,Fe-Cu,Liposomal bimetallic Fe-Cu MOFs,Cubic,P 2_1/c,544.66,2.86,122.23,Hydrothermal synthesis,>50°C,Stable in acidic and basic environments,Synergistic cuproptosis and ferroptosis against malignancies,pcu,"Photothermal effects incite targeted release of Fe-Cu-MOFs within cancer cells, enhancing treatment efficacy. MetaCell demonstrates promising outcomes in tumor-bearing mice, effectively eliminating solid tumors and preventing recurrence.",pubmed_11006215,,,0.4811137426
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lbn4r,,,0.0366253534
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2201.05758v3,,,0.5939041909
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11205739,,,0.0299295394
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10610366,,,0.7753070516
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5v6gh,,,0.2192387504
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10530816,,,0.8727718992
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-fn3hf,,,0.2648540856
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-jvp7r,,,0.8069935457
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10858446,,,0.6472685726
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7hgts,,,0.0326834377
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-n2wqd,,,0.6223780643
Tri2Di3,Aldehyde,Diamine,Cubic,P 2_1/c,970.5,2.73,174.25,"Automated high-throughput experimentation, sample preparation and characterisation",Up to 300°C,Stable in organic solvents,"Sensing applications, blending with porous polymers for enhanced functions",pcu,Shape-persistent cage with small internal cavity,chemrxiv_10.26434_SLASH_chemrxiv-2023-63ckv,,,0.7098906948
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9g6hj,,,0.4150899309
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10938891,,,0.2488776408
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bh0d1,,,0.9472436823
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-4cvqh,,,0.5924630309
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-0w70n-v2,,,0.6299686143
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10570907,,,0.2451855005
ZIF-62,Zn,Benzimidazole/Imidazole,Cubic,P 4/nmm,5768.17,4.39,29.88,Ball penetration viscometry,>500 °C,Stable in acidic/basic conditions/water,Micro-optical elements,pcu,"Surface area and pore volume determined by BET method; Pore size calculated from N2 adsorption isotherm; Thermal stability assessed through TGA; Chemical stability evaluated under various environmental conditions; Applications include gas uptake, permeation, and optical functionality; Topology code derived from RCSR symbols.",pubmed_11176310,,,0.0729228661
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10853915,,,0.44532327
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_9999480,,,0.8853044547
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10813421,,,0.6569745194
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11177053,,,0.2972505859
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10528853,,,0.5220917885
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10792156,,,0.9506999399
ZJU-X100,zirconium,crown ether strut 18-6,tetragonal,P4/mmm,592.37,0.87,128.47,solvothermal method,high temperature decomposition (>600°C),stable in water and pH range from 0 to 11,"radioactive metal ion separation,sorbent material for strontium ions",pcu,custom-designed efficient collector for radioactive metal ions,pubmed_11005732,,,0.0868457328
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qsdd1,,,0.3748757041
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10780238,,,0.1369377091
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7zbtf,,,0.1496712391
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11083359,,,0.5793655703
metal_center,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8nq9g-v2,,,0.2204784134
mof_name,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0b8ft,,,0.1100615307
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-28gnw,,,0.1753344568
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2403.20034v1,,,0.9065963202
yet_another_mof_name,Cu2+,benzene linker,orthorhombic,C1,345.7,0.86,9.2,Sol-gel method,Up to 600°C without significant degradation,Stable in neutral pH but reactive with strong acids and bases,Adsorbent material for water purification,tbo,High adsorption capacity at room temperature,chemrxiv_10.26434_SLASH_chemrxiv-2023-d5d3r,,,0.7886635792
Amphiphilic Platinum Complexes,Platinum,Salicylaldehyde Schiff Base,Cubic,P 21/c,848.95,0.376,149.02,Synthesis of complexes via condensation reaction followed by metalation with platinum(II) chloride,Up to 400°C,"Stable in acidic and basic conditions, soluble in organic solvents but not water","Photocatalysis, drug delivery, sensing applications",pcu,Hydrophobicity affects self-assembly and morphology transformation,pubmed_11151868,,,0.368594324
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10785780,,,0.5599604526
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11304309,,,0.4523270291
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1802.04929v2,,,0.479952869
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11128019,,,0.0336507219
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11284227,,,0.4896080822
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-ltvf9,,,0.1429734905
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mfbd6,,,0.961540685
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-r97bm,,,0.5410259373
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11085226,,,0.6671675099
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-f13jf,,,0.1066243362
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1cl1f,,,0.7142935514
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-j55nv,,,0.4994558061
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-w9c0z,,,0.3743548463
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,arxiv_1411.0481v1,,,0.4193119351
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cwnwc,,,0.2523024085
another_example_mof,yet_another_element_or_cluster,a_different_linker_type,null,null,null,null,null,null,null,null,null,null,null,pubmed_11253523,,,0.8174249132
RhCp*(66dhbpy),Rh(III),"4,4’-dihydroxy-2,2’-bipyridine",tetragonal,P 4/n,1070.41,4.67,108.77,"solution synthesis under Ar atmosphere with [Ru(bpy)3]2+, BIH and TEOA",>500°C,"tolerant to acidic, basic, water environments",CO2 reduction to formic acid,pcu,"high selectivity in CO2 reduction, enhanced efficiency in HCOOH formation upon addition of water",chemrxiv_10.26434_SLASH_chemrxiv-2024-t3ltd-v2,,,0.3720186206
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10744379,,,0.1268070019
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11265921,,,0.2038873849
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10761682,,,0.0880648086
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8982t,,,0.0477588442
Microwave Synthesis of Porous Nickel Dihydroxyterephthalate,Ni(II),"2,5-dihydroxyterephthalic acid",Cubic,P 31 m,913,0.64,161.64,MW method at 110°C for 1h,Higher crystallinity (smaller crystal size) compared to low temperatures,"Stability in different chemical environments (e.g., acidic, basic, water)",Catalytic activity in the oxidation of cyclohexene using aqueous H2O2 as oxidant,pcu,"Surface area increased with increase in synthesis temperature from 90°C to 110°C due to smaller size of crystals; however, surface area and pore volumes decreased with increase in temperature due to rapid crystallization at higher temperature. Irradiation time also allowed increasing the surface area.",unpaywall_10.5012_SLASH_bkcs.2010.31.6.1489,,,0.4647636265
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-cz438,,,0.5838093406
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2306.02982v2,,,0.80056507
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2309.04608v1,,,0.2404765743
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,arxiv_2004.05467v1,,,0.9480843109
Yb-BTB-H2O-DEF,Lanthanide,"H3BTB (N,N-Diethylformamide)",Hexagonal,P6122,58.3,null,null,Solvothermal synthesis at 140°C for 3 days,Up to 230°C thermal stability,"Stable in acidic, basic and water environments",Improves hemodynamic parameters of heart failure patients,pcu (hexagonal framework),Theoretical pore size is 5.4 Å,unpaywall_10.1590_SLASH_1414-431x20177050,,,0.4660814195
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4hn4s-v3,,,0.3399061782
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-2tcx0,,,0.321499574
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10780899,,,0.5819551405
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10466721,,,0.706671769
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11276815,,,0.709705286
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3bqt6,,,0.3377568205
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2110.05525v2,,,0.345288998
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11215747,,,0.5620977706
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-8099f,,,0.5227308657
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-n1x1n,,,0.2624359969
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10753556,,,0.5647648626
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-kjgxz-v4,,,0.5031607901
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10928519,,,0.2027484735
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10468501,,,0.3467942635
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dnqpd,,,0.6332423948
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10723130,,,0.635142138
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4ppbk,,,0.3993350281
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10647046,,,0.3513520907
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-l39zx,,,0.201687458
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1608.04103v2,,,0.5619882157
mof_name,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-91mfg,,,0.8685775804
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3lq16,,,0.7808586054
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10894868,,,0.0298128056
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11216081,,,0.2942349513
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1207.0868v1,,,0.136281186
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10915408,,,0.1552701346
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gvvk0,,,0.202775686
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11019502,,,0.5155298735
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-kv4c0,,,0.7241523138
