mof_name,metal_center,organic_linker,crystal_system,space_group,surface_area,pore_volume,pore_size,synthesis_method,thermal_stability,chemical_stability,applications,topology_code,additional_properties,paper,TFPN,Notes,rand
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11902238,,,0.8306125503
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11903436,,,0.1848966235
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11883987,,,0.9238463533
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11905443,,,0.6986691521
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11868574,,,0.6348704018
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11910916,,,0.5490291724
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11828903,,,0.3309617226
FeSNC,Iron,null,Porous carbon structure,null,349.1,null,null,Template-assisted and ligand site construction methods,null,null,Bisphenol A removal via PMS activation,null,Highly dispersed iron species with sulfur–nitrogen co-doping,pubmed_11808356,,,0.176839476
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11873929,,,0.5278351987
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11824958,,,0.7857592802
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901668,,,0.4528630124
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11886636,,,0.000132968
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11903459,,,0.5389592315
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11894554,,,0.3981688062
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11868577,,,0.0250057692
example_11,Cd,VOL9,Triclinic,P-1,574,null,null,Reaction in DMA/MeOH/H₂O,null,Stable under catalytic conditions,"Gas storage, catalysis",TBO,High H₂ adsorption capacity,pubmed_11901807,,,0.1401018123
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11836364,,,0.7852454686
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901621,,,0.1697080308
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11854982,,,0.4553266843
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901896,,,0.8007839986
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11858496,,,0.3952213675
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11850414,,,0.5506396594
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11861424,,,0.3004991075
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11883809,,,0.9569572501
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11850594,,,0.7470198025
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11861909,,,0.5731721246
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11863386,,,0.6109781514
Z867 core–nanoshell,"Co,Zn",2-methylimidazole (2mIm),null,null,820,null,2.26,Synthesis details in ESI Section S1,Thermally stable under standard conditions,Chemically stable in aqueous and organic environments,Supercapacitor electrode material for energy storage,null,"High surface area, hierarchical porosity",pubmed_11844434,,,0.4398566424
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11856901,,,0.1228114793
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11863280,,,0.5158822685
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11857908,,,0.4178290914
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11831073,,,0.7097451854
ZIF-8,Zinc (Zn²+),2-methylimidazole (2-MIM),null,null,null,null,null,One-pot synthesis method involving zinc nitrate hexahydrate and 2-methylimidazole with encapsulation of doxorubicin followed by surface modification with LT-PEG-COOH via electrostatic interactions,null,"Good chemical stability under physiological conditions, pH-responsive degradation in acidic environments",Targeted drug delivery for colorectal cancer treatment using doxorubicin (DOX),null,pH-sensitive release behavior,pubmed_11858906,,,0.8808738238
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11898633,,,0.477428193
ZIF-8,zinc (Zn²+),imidazole,null,null,null,null,null,synthesized via microwave-assisted synthesis,null,null,used in fuel cell membranes to enhance proton conductivity,null,exhibits molecular sieve network structure with sodalite topology,pubmed_11901833,,,0.7375426621
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11811131,,,0.5907674266
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11838571,,,0.5786871344
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11868841,,,0.255853429
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11889569,,,0.1363825442
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11852113,,,0.8293350935
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11912505,,,0.4235942927
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902637,,,0.2046231644
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11857907,,,0.8406915162
2f-UiO-PDI,Zr,dcph-Me PDI,cubic,Im-3m,1502,0.78,16,"solvothermal synthesis with ZrCl4, DMF, and acetic acid as modulator under solvothermal conditions at 90 °C",null,stable in various solvents and water,photocatalysis for radical addition reactions,UiO-66,high surface area and stability,pubmed_11912319,,,0.249859506
MIL-53 (Fe),Fe,"1,4-benzenedicarboxylate",null,null,null,null,null,null,null,High stability in water,Oil/water separation,null,"Hydrophilicity, high stability in water, photocatalytic and adsorptive activities",pubmed_11886428,,,0.0751067994
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11894338,,,0.1493785421
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11904211,,,0.3666534317
q2D-FcU66,Zr,terephthalic acid,null,null,null,null,null,Ice-templating followed by fluorination,null,Resistant to air corrosion and electrolyte decomposition,Artificial solid electrolyte interface (ASEI) for Li metal batteries,null,"High surface area, good ionic conductivity",pubmed_11847004,,,0.321903235
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11844752,,,0.3108195586
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901468,,,0.1207564517
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11814143,,,0.5409954758
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11905135,,,0.5278638569
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11873843,,,0.29673789
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11877876,,,0.7635929694
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11857173,,,0.688530589
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11901479,,,0.5043757067
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11887423,,,0.6234093576
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11911372,,,0.3442914104
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11905450,,,0.50595404
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11888230,,,0.8667830538
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11859903,,,0.2834706472
2D–Cu–HOF,Cu^2+,hexahydroxyl cyclotricatechylene (HHCC),orthorhombic triclinic,null,265,0.254,null,solvothermal reaction with Cu(II) acetate and HHCC in H2O/MeOH with NH3·H2O at 60°C for 5 days,stable up to 200°C,"chemically stable in various solvents including DMF, H2O, THF, acetone, and DCM",electrocatalytic CO2 reduction to C2 products (ethanol and ethylene),null,"high crystallinity, undulated structure with π-π stacking, self-adaption interlayered sites for efficient C–C coupling",pubmed_11850663,,,0.087074205
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11887029,,,0.8511937819
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11847421,,,0.3324462196
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858137,,,0.185338326
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11910425,,,0.0832029921
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11886713,,,0.2442565975
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11887809,,,0.8601869054
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11868662,,,0.1097675457
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11855519,,,0.5916971434
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11898452,,,0.4784589042
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902377,,,0.6704761984
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11868998,,,0.0394871053
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11894362,,,0.5852289079
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11814627,,,0.1887812491
Ni/Co BTC MOF,"Ni, Co",H3BTC (trimesic acid),null,null,null,null,null,Cathodic electrochemical deposition,null,Stable in aqueous environments,Catalyst in bio-electro-Fenton systems for pollutant degradation and energy generation,null,"High surface area, porous structure, wet stability, catalytic activity",pubmed_11846976,,,0.901351399
Li[Eu(BTFA)4],Eu^3+,"BTFA (4,4,4-trifluoro-1-phenyl-1,3-butanedionate)",null,null,null,null,null,microwave-assisted synthesis,null,photoreduction under UV exposure,"UV sensors, molecular dosimeters, photovoltaic applications",null,"high quantum efficiency in nonpolar solvents, lower stability in nonpolar solvents",pubmed_11881040,,,0.5465136347
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858420,,,0.7042941875
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11817928,,,0.9394669558
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11811014,,,0.4006672734
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858542,,,0.7813899247
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11905133,,,0.5078458418
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902575,,,0.8791816558
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11902640,,,0.4552538004
example_1,V,Ligand L1,Monoclinic,P2₁/c,null,null,null,Reaction in methanol,null,Stable under catalytic conditions,Catalysis for epoxidation,PCU,High catalytic activity,pubmed_11901807,,,0.3094595179
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11828848,,,0.6049753847
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11866208,,,0.5987109283
MIL-88B(Fe 2/ Ni),"Fe, Ni",terephthalic acid,null,null,null,null,null,solvothermal method using DMF and heating at 100°C for 20h,up to 550°C,null,catalyst for synthesizing nicotinonitriles,null,"high porosity, large pore volume",pubmed_11815556,,,0.9468831047
Ln₂(C₂O₄)₃·nH₂O,"Lanthanide (La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu)",Oxalate (C₂O₄^2−),Monoclinic or Triclinic,P2₁/c or p-1,2040,null,null,Homogeneous precipitation via oxamic acid hydrolysis,Decomposes at >500°C,Stable in aqueous solutions; exfoliable in ethanol,"Thin films, inkjet printing, luminescent materials, magnetic devices, sorption",Honeycomb or layered,"Exfoliates into 2D nanosheets, high surface area after activation",pubmed_11881034,,,0.1564697688
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11894654,,,0.6509883942
Cu3(HHTP)2,Copper(II),"2,3,6,7,10,11-hexahydroxytriphenylene (HHTP)",null,null,null,null,null,Solvothermal synthesis,Stable under humid conditions and prolonged storage,Stable in presence of ionic liquids and NO gas exposure,Gas sensing for detection of nitric oxide (NO) gas,null,High conductivity due to ionic liquid functionalization,pubmed_11873966,,,0.4877424524
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11894595,,,0.9379340054
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11859392,,,0.317268875
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11902628,,,0.7884584849
ZIF90,zinc,imidazole-2-carboxaldehyde (2-ICA),null,null,null,null,null,self-assembly synthesis involving zinc ions and imidazole-2-carboxaldehyde (2-ICA),null,"sensitive to ATP and acidic environments, facilitating drug release",targeted delivery of Spermine (Sp) to macrophages in atherosclerotic plaques for inhibiting ferroptosis and reducing atherosclerosis progression,null,ability to release drugs in response to ATP and acidic conditions; good stability over time in various environments,pubmed_11877808,,,0.9445564423
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11886731,,,0.3481655079
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11811375,,,0.8957621714
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11891859,,,0.0029460676
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11840620,,,0.8612905194
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11811206,,,0.7781674559
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11859622,,,0.677929787
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11902780,,,0.714112255
example_1,example_2,example_3,example_4,example_5,null,null,null,example_9,example_10,example_11,example_12,example_13,example_14,pubmed_11858622,,,0.4424584606
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11811701,,,0.9372175434
[Dy2(1-tza)4(phen)4]·(ClO4)2·(H2O)2,Dy³⁺,"1-tza, phen",tetragonal,I41/acd,null,null,null,solvothermal synthesis,78-395 °C,stable in humid conditions,"luminescent, single-molecule magnet, proton conductor",null,1D H-bonding network for proton conductivity,pubmed_11901984,,,0.4580147008
CA-ANA,null,null,null,null,1147,0.4,38,Chemical activation using phosphoric acid followed by carbonization at 400°C,null,null,Wastewater treatment for removal of Acid Orange 7 dye,null,High surface area and mesoporous structure,pubmed_11858260,,,0.7594645005
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11811699,,,0.9605965219
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11851829,,,0.2891577801
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11855882,,,0.4154506503
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11859603,,,0.4681219661
Zn1Sn1/SNC,"Zn, Sn",2-methylimidazole,null,null,1582.3,null,null,Ligand co-etching method with pyrolysis at 1000°C under Ar atmosphere,null,Maintains structure after reactions without significant leaching,CO2 electroreduction to formate with high efficiency and current density,null,"Yolk-shell structure, Zn-Sn dual sites for enhanced catalytic activity",pubmed_11882884,,,0.027272508
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11913072,,,0.495813664
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901645,,,0.8724729023
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11869206,,,0.3825654886
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11891900,,,0.6532855208
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11891781,,,0.8450485973
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11874780,,,0.1007439839
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11908822,,,0.2948458521
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901307,,,0.6074112253
mn-tcpp,Mn³+,TCPP (tetracarboxyphenylporphyrin),null,null,null,null,null,Coordination of Mn³+ with TCPP molecules via solvothermal synthesis,null,null,Enhanced photodynamic therapy through GSH depletion and ROS generation,null,"Responsive to intracellular GSH levels, releases TCPP upon reduction",pubmed_11860060,,,0.0679252124
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11861261,,,0.3023423657
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858615,,,0.745219219
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11871041,,,0.5158762778
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11912114,,,0.1359630534
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11848404,,,0.7605096684
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11851078,,,0.0970430309
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11857922,,,0.0093814931
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11886906,,,0.4864494009
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11853472,,,0.0237979873
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11855843,,,0.114226961
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11838904,,,0.5097301393
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11847370,,,0.60508489
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11905990,,,0.3659684777
MIL-88 A(Fe)/C,Iron (Fe),Fumaric acid (C4H4O4),null,null,43.79,0.036,null,Hydrothermal synthesis combining MIL-88 A with carbon in water,null,null,Treatment of dairy wastewater using enhanced electro-Fenton method,null,"High surface area, stability, porosity, catalytic efficiency",pubmed_11904188,,,0.6948741942
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11830095,,,0.6777004956
ZIF-8,Zn²⁺,2-methylimidazole,null,null,1652.67,null,null,Solvothermal synthesis followed by pyrolysis with Ni²+ ions,null,null,Electrochemical detection of Cu²⁺ and Hg²+,null,"High surface area, mesoporous structure",pubmed_11901796,,,0.7886273935
complex 1,Cu(II),C6F5,null,null,null,null,null,Prepared using Cu(II) ions and β-diketonate ligands via known protocols,null,null,Selective adsorption of CO₂ and benzene,null,"Non-porous adaptive crystal (NAC), encapsulates aromatic molecules",pubmed_11851097,,,0.0055522572
MOF-801,null,null,null,null,null,null,null,nanoparticle delivery system,null,null,HCC immunotherapy,null,null,pubmed_11911377,,,0.6039499922
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11891191,,,0.6305671039
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11842804,,,0.4587189737
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11879999,,,0.8014059963
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858165,,,0.1882442401
FeMn@R@H,"iron (Fe), manganese (Mn)",resiquimod (R848),null,null,null,null,null,modification with hyaluronic acid,null,null,tumor immunotherapy by activating TLR 7/8 and inducing pyroptosis,null,nanoparticles with high porosity,pubmed_11859595,,,0.0970263144
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11894524,,,0.9896998394
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11870030,,,0.5277773293
example_1,null,null,null,null,null,null,null,example_synthesis_method,example_thermal_stability,example_chemical_stability,example_applications,example_topology_code,example_additional_properties,pubmed_11882420,,,0.5473770923
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11886424,,,0.3228215016
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11898414,,,0.2432452694
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11892924,,,0.1757707889
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11889621,,,0.0692660273
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11904844,,,0.7047797802
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11846985,,,0.008940289
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11886005,,,0.932274106
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11858530,,,0.3328305827
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11849288,,,0.315572344
mof_1,In,biphenyltetracarboxylate (bptc^4−),tetragonal,I4122,1000,null,8,Encapsulation of white phosphorus P4 molecules within the MOF structure followed by photo-polymerization using visible light to form a double-helical chain composite.,Thermally stable with weight loss corresponding to removal of water and phosphorus as per TGA data,Air-stable under ambient conditions after polymerization,"Gas detection, photocatalysis, water purification",null,Indium-based MOF with cylindrical channels,pubmed_11821825,,,0.0890442159
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11850678,,,0.4125335992
example_organic_inorganic_hybrid_supramolecule_1,Hg²⁺,L,monoclinic,P2₁/n,null,null,null,room temperature volatilization method,decomposes around 230°C,null,photocatalytic degradation of tetracycline,null,null,pubmed_11858477,,,0.7416458845
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11848744,,,0.6153189023
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11868503,,,0.961284112
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11882832,,,0.4425365885
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11897725,,,0.2981307933
Ce-MOF-1,Cerium(IV),"1,4-benzenedicarboxylic acid (BDC)",null,null,592,0.4401,2.97,Green synthesis using water as solvent and no exchange solvent,High thermal stability up to 500 °C,Stable in acidic solution but decomposes in basic solutions,"Adsorption of organic dyes (Congo Red, Malachite Green), wastewater treatment",null,"High surface area, good porosity, ability to adsorb both anionic and cationic dyes",pubmed_11868615,,,0.599889087
